"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","2005",1.309473,
"AUS","EXCH","TOT","NATUSD","A","2006",1.327973,
"AUS","EXCH","TOT","NATUSD","A","2007",1.195073,
"AUS","EXCH","TOT","NATUSD","A","2008",1.192178,
"AUS","EXCH","TOT","NATUSD","A","2009",1.282189,
"AUS","EXCH","TOT","NATUSD","A","2010",1.090159,
"AUS","EXCH","TOT","NATUSD","A","2011",0.969463,
"AUS","EXCH","TOT","NATUSD","A","2012",0.965801,
"AUS","EXCH","TOT","NATUSD","A","2013",1.035843,
"AUS","EXCH","TOT","NATUSD","A","2014",1.109363,
"AUS","EXCH","TOT","NATUSD","A","2015",1.33109,
"AUT","EXCH","TOT","NATUSD","A","2005",0.80412,
"AUT","EXCH","TOT","NATUSD","A","2006",0.797141,
"AUT","EXCH","TOT","NATUSD","A","2007",0.730638,
"AUT","EXCH","TOT","NATUSD","A","2008",0.682675,
"AUT","EXCH","TOT","NATUSD","A","2009",0.719843,
"AUT","EXCH","TOT","NATUSD","A","2010",0.755045,
"AUT","EXCH","TOT","NATUSD","A","2011",0.719355,
"AUT","EXCH","TOT","NATUSD","A","2012",0.778294,
"AUT","EXCH","TOT","NATUSD","A","2013",0.753159,
"AUT","EXCH","TOT","NATUSD","A","2014",0.753731,
"AUT","EXCH","TOT","NATUSD","A","2015",0.901659,
"BEL","EXCH","TOT","NATUSD","A","2005",0.80412,
"BEL","EXCH","TOT","NATUSD","A","2006",0.797141,
"BEL","EXCH","TOT","NATUSD","A","2007",0.730638,
"BEL","EXCH","TOT","NATUSD","A","2008",0.682675,
"BEL","EXCH","TOT","NATUSD","A","2009",0.719843,
"BEL","EXCH","TOT","NATUSD","A","2010",0.755045,
"BEL","EXCH","TOT","NATUSD","A","2011",0.719355,
"BEL","EXCH","TOT","NATUSD","A","2012",0.778294,
"BEL","EXCH","TOT","NATUSD","A","2013",0.753159,
"BEL","EXCH","TOT","NATUSD","A","2014",0.753731,
"BEL","EXCH","TOT","NATUSD","A","2015",0.901659,
"CAN","EXCH","TOT","NATUSD","A","2005",1.211763,
"CAN","EXCH","TOT","NATUSD","A","2006",1.134363,
"CAN","EXCH","TOT","NATUSD","A","2007",1.074099,
