"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",3875.7,3.6,6.4,1.2,13359.3,253.3,233.4,92.3,9,95.4,57.5,1.2,8.1,1.7,0.3,0.7,1,1.3,0.1,10.4,12.9,29.2,197,10.5,509,4.5,0.7,0.8,2.2,14.4,59.3,47.4,35.1,21.9,33.6,0,4416.5,0,260.7,1976.5,54.3,0,11.1,5839.4,0,31548.8
"DOM_05T06",48.2,596.8,5.3,52.6,76.3,7.7,1.6,14.9,6653.8,176.7,20.6,15.2,42,3.4,0.9,1.7,2.3,11.7,0.3,1.8,817.6,17.8,39.2,57.3,39.1,4.4,5,0.9,3.8,21.6,22.9,11.8,15.8,20.1,42.5,0,91.2,0,17.9,1921.4,-35.1,0,0.1,3105,0,13954.2
"DOM_07T08",75.6,40,214,15.7,31.3,7.6,1.6,21,120.1,246.7,5.9,386.8,994.9,22.8,1,3.8,6.1,2,0.3,15,29.3,431.5,22.3,17.9,1.3,0.3,0.2,0.1,0.3,36.3,12.1,19.9,2.2,0.5,9.6,0,56.3,0,2,6.4,4,0,0,1284.7,0,4149.4
"DOM_09",108.1,779.4,68.3,74,19,0,0.7,3.5,9,2.3,6.8,1.6,0.7,0.1,0,0,1.3,0,0,0.6,24.9,40.3,0,2.1,0,0,0,0,0.1,0,2.2,5.9,3.2,0.1,0.1,0,0,0,73.9,0,0,0,0,2.7,0,1231.2
"DOM_10T12",646.1,20.1,9.7,2.2,2112.9,87.3,9,33.6,15.2,66,20.9,16.2,37,11,5.3,5.6,8.7,13.9,0.8,7.4,24.5,47.2,334.9,39.3,936.9,22.2,11.2,6.8,18.5,25.8,62.9,58.6,35,46.6,167.6,0,22824.2,0,108,110.2,28.6,0,39.6,11030.6,0,39108.4
"DOM_13T15",116,31,10,4,215.8,2986.7,11.9,29.8,12.2,66.4,72.4,9.7,23.4,10.7,6.1,6.9,10,59.1,2.1,55,21.6,39,144.1,46.3,44,22.9,9.8,3.4,14.8,24.7,59.4,60,24.6,79.7,94.4,0,7477.8,0,60,125.7,7.8,0,27.5,1244.4,0,13370.8
"DOM_16",79.5,20.3,19.7,2.8,60.5,28.7,638.2,86,9,28.7,28.4,20.7,7.7,21.2,4.3,7,10,40.1,2.5,226.7,33.9,554.6,86.2,28,23.4,18.7,3.9,3.1,4.3,204.1,55.6,14.5,20.5,5.1,67.9,0,87.7,0,13.6,146.9,9.5,0,1.3,256.5,0,2981.3
"DOM_17T18",64.8,12,10,1.5,531.4,86.7,21,941.2,14.5,104,61.7,26.4,13.3,14.2,12.2,12.2,12.9,25.7,0.7,20.1,31.8,26.2,246.6,51.8,71.7,440.2,29.5,29,83.5,25.2,210.7,84.8,123.3,57,89.2,0,873.5,0,63,178.4,-2.4,0,3.3,485.4,0,5188.2
"DOM_19",1242.7,326.6,199.5,46.7,420.7,192.8,41.2,89.7,1337.1,767.5,272.3,112,340.5,56,17.7,28.5,33.6,64.8,4.8,35,436.8,316.6,557,2227.8,114.4,60.9,49.9,24.6,96,104.1,288,226.7,121.6,116.3,209.5,0,2253.7,0,117.2,71.4,11.6,0,14.6,2755.3,0,15803.5
"DOM_20T21",691.5,76.4,41.8,7.8,293.5,301.7,41.4,122.4,246.6,1056.5,713.9,54.8,127,47.8,28.3,36.8,27.7,86,4,36.1,45.3,116,114.9,61.5,29.7,39.1,10.9,4.8,10.8,53,100.3,36.2,37.4,246.5,113.9,0,2382.9,0,793.4,91.4,5,0,6.4,2594.8,0,10936.4
