"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",3425.3,102.5,24,0,11642.1,99.9,995.1,19.9,0.7,156,101.2,0,0,2.6,0,0,0,0,0,8.8,10.8,376.8,1063.4,24.8,1329.5,3.7,0,0,2.5,8.6,274.7,182.4,61.4,49,86.3,0,6224.7,0,573.7,1578.4,49.6,0,152.8,5360.4,0,33991.9
"DOM_05T06",107.6,2687.9,124.2,0.5,131.9,4.9,5.3,94.7,6226.9,586.7,49.8,288.9,571.6,19.7,1.5,3,5.5,12.6,3.9,7.7,4020.2,146.4,342.1,210.7,168,9.1,18,2.9,13.3,138.8,143.4,60.6,51.6,62.5,183.6,0,1237,0,5.6,156.9,121.1,0,3.3,20604.8,0,38634.6
"DOM_07T08",15.3,381.5,6454.7,0.7,8.4,0.3,0.3,0.9,3.1,408.1,3.1,1208.6,17151.3,6.6,0.6,1,2.9,0.3,1.1,10.6,11.7,1640.9,147.7,10.5,6.8,2.2,3.6,3.2,3.7,94.3,48.7,10.1,6.1,3.2,12.8,0,35.3,0,7.8,295.1,-19.3,0,3.6,13313.2,0,41300.9
"DOM_09",0,3879.4,1850.7,2724.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5,0,0,0,0,0,0,0,989.4,0,0,0,0,4.1,0,9530.7
"DOM_10T12",2015.4,24.1,27.2,5.3,6341.1,52.6,18.1,65.1,26.2,289.4,55,21.3,47.2,22.2,6.5,6.8,11.4,7.8,5.5,17.7,33.5,333.4,2410.7,93.7,6426.3,21.6,6.7,13.9,24.8,56.7,288.4,550.9,210,342.6,621.6,0,20698.8,0,84.4,100.2,38.4,0,533.1,10235.3,0,52191
"DOM_13T15",28.5,24.6,25.8,3.6,47.4,471.8,22.7,35.1,9.7,41.8,60.1,14.8,25.9,20.9,6.9,7,12.1,26.1,6.9,82,12.7,279.8,353.2,36.7,46.8,14.3,5.7,4.4,4.3,14.1,62.9,76.8,22.8,36.2,102.5,0,2178.2,0,9.4,100.5,7,0,144.8,1075.5,0,5562.4
"DOM_16",33.6,107,66.6,9.5,41.4,7.5,844.4,96.8,7.5,31.7,34,41.1,16.8,44.2,5.6,7.5,16.1,19.1,13.5,294.4,13.6,3655.4,276.7,47.3,40.7,15.3,3.6,3.6,3.8,144.1,122.5,38.2,26.5,10.6,85,0,180.9,0,7,157.1,4.8,0,25.5,721.7,0,7321.6
"DOM_17T18",34.7,33.8,39,5.3,348.5,36.5,46.3,1708,8.5,139.9,88.8,69.4,13.6,33.5,14.5,13.2,20.2,18,3.7,44,54.4,337.7,1545.5,192.8,170.2,1087.7,124.1,212.9,295.1,116.1,913.1,465.2,392.2,126.2,380.1,0,1758.4,0,217.4,146.4,-6,0,56,796.9,0,12102
"DOM_19",460.8,316.4,501.1,130.7,150.7,22.7,38.7,62.3,397.3,454.2,62,183.2,147.5,79,9.2,14.7,31,20.2,10.6,38.1,433.7,1991.8,1483.9,3381.1,148.1,35.2,57.4,62,116.4,268.2,563.7,468.9,125.4,91.1,222.3,0,2925.1,0,6.9,36.5,7.1,0,132.6,1265.8,0,16953.7
"DOM_20T21",356,147.4,150.9,27.7,169.7,98.2,67.5,183.9,105.5,1236.2,755.9,122.6,115.5,90.6,26.7,32.1,34.1,38.9,17.7,59.9,99.7,899.3,421.6,98.4,79,39.4,10.6,7.8,12.4,176.7,279.2,114.9,61,366.5,179.4,0,2995.4,0,2257.8,169.4,4.7,0,82.5,3900.4,0,16093
"DOM_22",77.1,155,131.3,32,366.3,58.4,43.6,128.7,21.9,179.4,674.2,79.6,64.3,107.1,50.1,61.5,88.8,154.5,31.1,102.2,68.1,2463.7,984.8,285.2,117.3,28.2,5.6,4.7,4,145.3,253.6,107.9,37.2,54.2,121.8,0,1087.6,0,10.8,592,12.6,0,9.5,910.2,0,9911.4
