"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",2156.7,0.3,1,0,2634.2,18.5,1256.2,361.6,0.7,45.9,33.9,3.4,16.1,3.5,0.5,1.4,3,1.7,0.3,9.8,11.2,60.1,42,15.1,291.1,2,1.3,3.7,4.7,17.7,40.5,14.4,6.3,29.6,14.1,0,3067.2,0.3,285.9,247.7,29.7,0,188,1014.9,0,11936.2
"DOM_05T06",1.2,2.4,0.4,0,4.4,0.7,1.6,2.2,111.3,9.2,1,2.9,26.3,1.8,0.8,1.2,5.1,1.5,0.3,1.5,51.8,6.3,12.4,29.7,2.4,0.7,0.9,0.2,0.5,2.6,4.6,1.3,0.6,2,1.5,0,78.3,0,35.2,20.3,-12.1,0,0.5,1084,0,1499.4
"DOM_07T08",4,0.3,25.6,0.1,4.2,0.4,2.2,35.9,4.1,49.2,2.9,176.7,278.3,7.9,0.4,3,3.5,1,0.1,2.7,11.7,248.1,9.4,10.7,0.8,0.3,0.5,0.2,0.8,16.1,5.6,18.8,1.6,1.3,0.9,0,49,0,14.1,106.2,8.6,0,4.5,207.2,0,1318.8
"DOM_09",0.6,1.1,0.6,0,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0.9,1.9,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,3.2,0,0,0,0,11.4,0,21
"DOM_10T12",391.5,0.8,1.5,0,2238.9,23.5,23.8,35.5,9.5,84.1,16.2,14.2,23.8,22.7,10.2,16.3,34.7,16.5,3.9,21.5,46.4,66.6,268.9,45.6,2091.3,15,9.1,5.9,17.8,24.4,104.3,122.7,44.5,173,160.9,0,8946.8,3.8,265.1,80.3,34.8,0,527.8,5910.6,0,21954.6
"DOM_13T15",6.4,0.4,0.5,0,15.3,306.5,7,13.3,2.8,19.4,24.6,15,7.4,12.7,6.5,7.9,16.3,51.4,4.4,91,9.9,46.7,63.6,9.5,16.8,3.4,2.4,1.1,5.9,2.8,17.9,7.1,7,17.6,7.2,0,1400.1,0,6.1,28.6,8.7,0,125.9,2206,0,4603.2
"DOM_16",21.1,4.4,6.4,0,36.6,5.1,1905.9,69.7,1.7,23.6,26.6,38.4,12.7,80.1,11.8,28.9,45.2,28.1,5.1,379.2,103.5,1467.5,62.5,13.3,22.9,2.2,2.3,2.7,2.8,172.3,42.4,36.2,12.4,10.6,23.2,0,436.4,0,4.6,1120.6,259.8,0,21.7,4497.2,0,11047.8
"DOM_17T18",10.6,3.8,6.4,0,288.9,25.4,177,1885.8,2.1,83.5,68.9,68.8,22.5,58.4,30.7,34.5,77.1,49.2,7.3,47.9,109.2,113.8,582.9,113.9,102.9,694,83.7,89.3,230,74.9,763.7,246.1,149.6,130.4,156.6,0,830.9,0,28.4,45,-1.7,0,52.6,4610.7,0,12155.6
"DOM_19",68.8,5.6,19.1,0.2,58.1,13.3,33.4,27.4,16.4,154.2,32.4,47.5,128.8,38.4,13.3,22.2,39.8,19.6,7.8,29.2,119.3,187.9,218.7,517.7,34.7,11.2,15.1,10.2,9.5,42.7,99.1,71.9,42.5,44.5,42.9,0,2497.4,0,111.5,58.9,13.1,0,103.9,1853.5,0,6881.7
"DOM_20T21",75.3,3.5,6.8,0.1,102.2,49.6,82.4,103.4,45,480.6,231,77.2,116.7,86.6,40.4,74.3,103,68.5,11.4,63.5,69.7,196.1,289.9,52.3,37,19.5,16.6,7,10.4,31.1,115.4,30.5,12.4,111.3,30.2,0,1019.8,0,1096.2,168.2,46.1,0,75.8,8196.8,0,13454.1
"DOM_22",18.4,3.9,11.5,0.1,211,28.6,36.7,60.1,9.5,77.4,220.3,59.5,62,181.5,77.3,122.1,280,269.1,75.5,120,48.9,490.9,310,104.2,43.1,12.2,20.6,8.8,35.5,35.6,107.3,28,9.8,45.9,20.6,0,411.2,0,36,215.2,55.5,0,4.1,3327,0,7294.9
"DOM_23",38,3.6,15.5,0.1,137.8,8.2,67.3,18.2,3.7,53.3,82.7,790.2,128.4,96.6,62.4,57.5,77.7,104.6,9.7,45,42.1,2893.2,93.2,30.5,37.8,3.6,4.4,3.8,3.8,103.7,58.9,69.3,9.2,32.1,8.8,0,324,0,23.7,854.9,178.8,0,6.1,2641.9,0,9224.5
"DOM_24",7.3,3.7,3.3,0.1,30.2,4,13.4,41,4.1,35.5,26.3,36.6,1532.6,1194.9,93,682,836.6,342.6,61,240.3,122.9,620,74.7,15.9,6.3,2.6,6.9,2.1,3,11.6,21.4,8.1,3.8,11.9,7.2,0,109.4,0,38.3,102.3,57.5,0,8.9,12969,0,19392.8
"DOM_25",40.9,19.5,13.5,0.3,239.7,16.1,99.3,22.7,6.5,58.6,94,31.9,425.8,1963.5,103.3,470.6,981.8,510.4,92.7,320.4,94.8,1388.5,320.9,68.7,44.9,9.9,13.8,5.9,27.8,100.4,166.9,85.9,34.8,47.7,37.3,0,720.4,0,26,2638.2,610.2,0,24.6,6413.2,0,18392.7
"DOM_26",5.8,0.5,0.6,0,16,4.2,5.9,10.3,1.6,8.4,8.3,6.8,7.2,19.6,302.6,73.8,68.1,48.1,6.3,31.9,27.2,68.1,65.8,23.6,14.3,8.8,68.9,29.5,15.5,6.8,60.5,33.6,9.4,50.4,10.3,0,739.3,0,250.8,954.1,97.4,0,67.7,4817.8,0,8045.9
"DOM_27",16.1,4.6,6.4,0,29.7,6.4,13.1,10.8,5,8.6,17.4,11.1,90.3,59.6,233.5,1020.8,444.6,407.8,135.3,157.5,339.5,645.1,229.4,65.5,30.6,18.7,91.9,153,36.5,45.8,140.5,149.5,23,40.9,43.1,0,434,0,63.1,1947,433.6,0,45,6111,0,13765
"DOM_28",74.1,36.5,14.5,0,45,13.1,28.5,28.4,20.1,20.6,26.9,30.9,94.2,83.2,46.7,96.9,1456.7,273.7,34.6,78.1,64.5,374.4,168.2,43.7,16.5,4.8,7.8,11.3,6.6,21.8,52.9,39.4,11.5,10.2,13,0,869.9,0,86.6,4035.9,674.7,0,8.2,15352.5,0,24377.2
"DOM_29",4.6,1.4,1,0,9.3,4.3,2.8,4.1,0.8,3.5,7.7,6.2,6.9,20.4,10.1,18.8,78.7,1853.2,51.8,31.3,16.3,37.5,227.7,50.1,4.5,1.6,2.7,7.2,4.5,5,40.4,25.2,2.4,12.4,4.5,0,1086.8,0,151.4,2009.8,274.1,0,48.4,15454.6,0,21584.1
"DOM_30",2.2,0.3,0.2,0,3.6,0.7,1.6,1.5,0.6,1.6,1,1.1,2.3,3.2,1.9,2.1,33.7,6.3,575.4,2.6,2.4,7.6,45.8,162.6,1.7,0.8,0.8,0.5,0.6,3.1,21.8,131.9,0.7,2.1,2.9,0,250.1,0,288.1,915.3,184.7,0,1.3,879.9,0,3546.8
"DOM_31T33",44.7,7.4,6.8,0.2,72.9,34,56.7,49.2,10.6,35.1,28.4,42.9,204.8,102.8,40.7,70.1,148.7,166.4,9.7,415.5,137.3,187.7,143,162,43.1,13.5,39.5,15.7,25.1,121.8,156.5,51.4,15.6,261.6,36.8,0,2641.2,0,57,1816.1,166.6,0,220.2,4700.1,0,12559.5
"DOM_35T39",158.8,30,113.8,0.8,442.5,75.2,285.4,738.5,13.3,443.4,177.8,443,1955.1,258.5,100.8,114.3,176.2,156.8,35.4,142.1,16259,430.1,821.6,925.5,519.7,87,172.5,51.2,157.8,1412.2,697.6,663,421.5,718.9,354.8,0,4373.8,0,3173.5,584.7,5,0,9,2183.6,0,39883.5
"DOM_41T43",147.6,86.9,57.9,0.5,86,43.3,274.6,154.8,88.9,74.3,87.1,235.2,132.9,289.4,41,113.8,219.1,152.9,10.2,178.8,495.8,6690.7,827.5,1527.2,156,42.6,178.8,84.2,296.1,3465.4,988.9,726.8,369.8,287.5,222.4,0,1898.2,0,54.9,34085.1,31.9,0,20.1,646.2,0,55571.1
"DOM_45T47",836.8,40.6,70.2,1,2367.7,594.4,751.6,769.7,323.7,1067.8,589.8,505.7,917,900.7,500,733.8,1506.3,1435.2,158.1,827,1322.2,2372.5,5589.5,1625.3,1198.1,451.7,390.3,300.9,254.7,402.5,1866.3,539.4,215.9,760.1,402.4,0,18030.3,2.3,1471.8,5080.3,690.4,0,746.8,16160.3,0,74771.4
"DOM_49T53",70.1,8.1,84.1,0.7,358.8,69,259.8,312.1,87.3,192,127.7,343.8,311.2,222.2,80.3,128.1,297.1,149.5,35.6,154.3,314.3,624.9,1809.7,3570.7,149.7,149.2,190.2,65.5,454.7,182.3,961,335.9,83.5,198.6,145.9,0,8930.4,0.5,3912.6,712.1,-55.4,0,1594.6,12321.4,0,39944.1
"DOM_55T56",47.6,3.6,4.9,0.3,104.9,13.1,41.2,41.4,4.4,34.3,23.3,35.5,49.3,66.5,16.7,29.5,78.3,46.7,16.7,51.6,164.4,224.7,601.5,559.6,231.6,65.1,37.5,107.7,266.6,360.7,1402,318.4,180.3,680,228,0,10667.5,12.7,2425.1,48.3,1.4,0,5779.3,164.2,0,25236.4
