"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",750.3,0.2,0.2,0,6236,84.5,221,58.5,2.9,55.9,11.4,2.8,23.2,1.2,0.2,0.3,0.5,12.4,0.1,18,12.4,11.4,305.2,4,225.7,0.6,1,6.5,1.7,7.6,30.8,9.3,2.4,64.8,15.5,0,2926.6,0,13.8,128.8,21,0,58.9,2152.7,0,13480.3
"DOM_05T06",0,0,0,0,0.2,0,0,0.1,94.6,3,0,0.3,5.7,0,0,0,0,0,0,0,5.9,0,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0,0.2,0.1,0,1.9,0,0,0,1,0,0,151.8,0,265.4
"DOM_07T08",0.3,0,0.9,0,2.2,0.2,0.1,0.6,1.9,21.7,0.2,23.4,24.8,0.4,0.1,0.4,0.2,0.9,0.1,0.6,0.4,48.8,3.6,0.9,0.4,0.1,0.3,0.3,0.1,1,2.2,0.7,0,0.3,0.2,0,9.8,0,0.4,1.3,1.1,0,0,519.2,0,669.9
"DOM_09",0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,17.4,0,18.7
"DOM_10T12",1649,0.3,1.4,0,7951.6,52.9,17.9,59.6,181.9,915.5,34.7,32.2,58.7,32.5,12.5,12.7,36,34.5,6.7,30.3,91.1,184.4,937.2,122.7,3051.5,32.8,50.4,26.5,46.7,42,292.2,345,163.2,591.6,348.7,0,14296,9.4,988.3,244.3,77.7,0,317.6,18715.3,0,52095.9
"DOM_13T15",5.1,0.2,0.3,0,46.4,851.3,7.2,33.7,24.5,174.6,57.4,15.1,12.8,19.6,2.9,3.2,7.4,101.1,5.9,92.5,13.4,104.7,177.8,18.5,22.7,5,7.2,8.8,3.7,3.4,39.3,40.8,11.8,52.5,22.3,0,1217.6,0,23.3,52.9,4.8,0,90,3234.2,0,6615.9
"DOM_16",14.7,0.6,1.7,0,33.6,6.9,557,23.5,9.7,98.5,16.9,31.1,16,25.6,2.1,7,12.7,10.6,3.3,162.5,18.8,1102.6,36.8,12.4,15.1,1.1,2.7,1.8,1.2,16.5,36.3,9,0.7,3.2,12.4,0,279.7,0,21.2,37.5,4.6,0,11.3,1334.1,0,3993.4
"DOM_17T18",15.2,0.3,2.9,0,372.7,33.7,93,1329.3,20,216.5,132,63.2,29.7,58.8,13,17.6,22.2,48.8,6.1,95.6,46.5,123.9,948.5,133.3,67.1,763.4,27.5,26.9,85,50.9,703.7,376.9,115.1,168.7,221.1,0,433.3,0,15.8,40.7,0.4,0,28.1,3099.5,0,10046.9
"DOM_19",499.9,6.5,34,0.9,359.4,90.3,43.8,76.3,6583.5,3502.7,147.1,374.9,756.5,90.4,22.9,36.1,78.3,58.1,25.9,142.7,209.7,873.2,919.2,2815.3,100.1,34.2,58.2,66.9,112.5,94.4,609.3,331.1,48.9,302.2,135.6,0,3742.9,0,65.4,165.5,110.6,0,87.1,24015.4,0,47827.8
"DOM_20T21",251.8,2.9,9.1,0.3,380.7,205.7,93.5,293.6,2123.9,5161.2,639.5,164.6,408.1,142.6,66.5,77.7,66.9,129.9,22.4,137.8,294.9,550.2,1136.1,280,78.7,57.8,61.8,80.5,132.7,84.3,635,113.5,33.3,716.6,164.3,0,2339.9,1.6,4387.7,1343.7,48.5,0,87.5,39048.8,0,62056.2
"DOM_22",19.2,0.9,2.7,0.1,219,27.8,23.3,74,39.7,230.7,197,43.4,96.1,147,21.5,37.2,78.6,309.9,20.7,74.9,68.5,475.9,146.5,65,26.2,4.8,9.5,6.9,5.9,13.5,33.3,32.3,1.7,26.4,21.2,0,290.1,0.1,97.6,149.7,28.8,0,4.9,4439.5,0,7612.1
"DOM_23",27.1,0.7,10,0.1,185.3,18.9,12.8,12.3,43.4,122.6,10.2,748.5,155.1,43.1,15.7,47.6,18.5,94.3,9,15.7,38.9,3110,327.8,27.7,37.6,8.7,19.8,8.5,8.7,60.7,233.6,18.8,3.3,21.6,19.1,0,634.2,0.1,70.6,186,9.8,0,5.1,3127.9,0,9569.3
"DOM_24",10,1.2,1.6,0.3,46,8,7.1,53.6,73,194.8,31.6,46.3,3337.2,1367.3,58.6,358.8,608.6,520.5,84.4,231,197.6,1196.4,97.1,37.5,4.1,3.3,10.9,15.5,8.5,10.6,34.7,24.2,3.5,17.8,9.5,0,103,0.1,160.6,185.9,44.4,0,2.3,15608.8,0,24816.3
"DOM_25",41.5,5,8.1,0.4,291.7,38.4,26.8,43.9,93.4,249.7,55,99.3,873.4,952.7,79.3,134.4,319.8,282.3,64.4,309.4,130.1,2052.1,129.5,174,38.1,5.8,26.9,16.8,20.1,88.3,179.2,114.4,12.1,61.3,36.7,0,455.6,0.1,52.2,2423.5,202.5,0,8.2,4998.5,0,15195.4
"DOM_26",7.1,0.4,0.6,0,19.5,2.5,4.1,8.4,13.8,30,1.3,9.3,44.7,31.6,101.8,25.3,44.2,45,6,33.2,40.4,120.5,40.2,45,5,2.2,26.4,22.3,8.7,7.2,56.1,17,4.8,19.5,5.2,0,351.4,0.2,96.2,977.5,13.6,0,18.7,1888.6,0,4195.6
"DOM_27",10.1,0.3,0.6,0,37.7,3.6,4.1,9.1,19.8,56.4,9.2,10.5,70.9,104.1,23.3,139.3,80,86,12.8,47.2,105,498.4,67.4,45.6,9.5,4.2,10,8.4,5.7,7.3,42.2,16.8,4.3,13.4,6,0,488.4,0.1,40.1,542,35.7,0,12.2,2503.5,0,5191.1
"DOM_28",55.3,2.4,5.1,0.1,91.1,19.7,10.6,24.7,47.5,99.6,9.1,22.9,175.9,99.6,21.7,18.8,608.4,134.9,23.1,62.9,78.7,395.2,149.3,94.8,14.9,6.9,29.3,18.4,11.9,23,113.4,25.2,9.4,50.2,12.7,0,224.3,0.2,129.6,2261.1,156.4,0,4.2,7037.2,0,12379.8
"DOM_29",11.4,0.4,1.1,0.1,35.1,10.9,2.5,5.7,12.5,35.2,6.4,8.3,54.2,46.6,4.4,17,20.1,1076.6,10.6,54.3,21.5,99,135.9,180.6,7,2.9,8,15.8,12,16.2,140.1,21.7,4,29.6,10.7,0,1127.3,0.1,110.1,1047.2,35.4,0,22.6,17571.3,0,22032.5
