"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",1229.6,0.8,1.5,0,1214.6,19,91.6,35.5,1.2,11.8,1,2.7,2.2,0.6,0.9,1.5,1.3,4.6,0.3,40.1,4,36.9,139.7,10.2,49.1,0.8,1.6,0.9,1,3.7,17.6,8,8.8,32.5,4.4,0,1042.2,0.2,2.8,97.6,9.8,0,51.2,1667.1,0,5851
"DOM_05T06",6.4,30.1,0.2,0.3,3.1,0.2,0.1,0.1,25.3,5.3,0.2,12.3,37.4,0.2,0,0.2,0.3,0.1,0,0.3,357.3,4.8,1.8,2.2,0.1,0.1,0.1,0.1,0.1,0.9,0.7,1.3,1.1,1.1,0.6,0,46.5,0,0.6,8.5,0.2,0,0.9,27.4,0,578.4
"DOM_07T08",4.1,0.2,64.7,0.1,2.5,0.6,0.2,0.2,2,17,1.4,35.5,741.4,20.1,0.1,1.1,3.4,0.4,0.3,0.6,2.4,58,5.8,3.5,0.9,0.2,0.6,0.6,0.2,2.9,1.8,0.4,0.1,0.8,0.5,0,17.2,0,3.2,15.2,-0.7,0,3.2,271.7,0,1284.3
"DOM_09",1.2,0.9,1.1,0.1,0.2,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,1.2,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.8,0,0,0,0,3.3,0,11.2
"DOM_10T12",241,0.6,1.3,0,645.8,7.9,1.1,2.4,7,14.8,3.7,2.5,7.1,2.2,0.6,1.7,1.7,2.6,0.7,2.3,9,18.5,40.3,14.7,272.5,1.8,1.5,1.6,4,4.7,16.4,18.6,5.8,20.1,47.8,0,3060.3,0.6,15.1,25.9,2.4,0,131.5,1168.1,0,5828
"DOM_13T15",2.2,0.1,0.2,0.1,3,258.5,0.1,0.6,0.4,2.2,2,0.2,0.7,0.2,0.1,0.4,0.4,0.2,1.1,3.3,3.8,5.7,14.5,2.7,2.4,2.1,1.1,0.5,0.3,1.4,6.7,9,0.3,13.5,5.8,0,453.5,0.3,1,3.8,0.8,0,105,1044.4,0,1954.7
"DOM_16",8.8,0,0.1,0,3.9,0.2,21.8,1.3,0.5,0.7,1.2,2.6,0.9,1.5,1.1,0.6,1.6,3.8,1.3,71.8,0.7,56.9,6.9,4.2,1.4,0.3,0.1,0.1,0.4,3.6,2.6,0.5,0.5,1,0.3,0,55.5,0,0.5,1.9,-1.1,0,6,193.6,0,459.7
"DOM_17T18",13.3,0.7,0.9,0,58.7,10.3,3.9,132.5,3.7,9.1,2.5,7.9,1.7,4.1,2.1,4.3,2.7,2.3,0.3,9.5,4.1,19.3,59.2,11.1,4.3,67.4,15.4,6.5,22,2.2,59.1,18.9,20,6.7,10.5,0,65.2,0.7,0.6,1.2,-0.9,0,12.5,171.2,0,848
"DOM_19",208.9,9,25.9,0.5,23.8,10.9,12.5,8.9,24,16.1,15.7,40.8,25.3,23.6,1.6,5,9.4,1.5,1.1,14.3,95.4,256.6,232.2,652.5,5.2,1.8,7.5,2.5,0.8,9.1,30.8,30.5,4,14,4.2,0,447.3,0,3.3,4.4,-3.3,0,31,1526.4,0,3835.2
"DOM_20T21",51.6,2.3,4,0.1,17.2,18.2,5.4,9.8,4,55.1,71.6,19.5,9.6,9.5,1.6,5.8,5.2,2.7,0.9,6.6,3.1,28.8,19.5,6.8,2.1,5.5,1.3,1.4,0.9,2,14.5,3.2,2.4,22,5.8,0,202.4,0,96.5,6.3,0.7,0,19.4,970.4,0,1715.9
