"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",5915.9,7.8,9.2,4.9,53240.2,1048.9,929.7,1191.6,3639,104,366,53.2,262.9,5.5,0.6,0.8,1,11.6,4.3,13.7,13.9,406.2,789.9,9.1,1453.6,0.8,11,2.2,22.6,51.1,79.8,351.9,239.8,162.9,148.7,0,34400.5,0,1968.6,5019.9,-280.5,0,17.4,34291.8,0,145972.1
"DOM_05T06",18,2277.1,43.7,192.3,318.4,42.2,12.5,196.1,23698,618.4,25,170.5,517.6,111.1,0.6,7.2,5.6,76.8,10,0.9,3191.9,223.5,191.4,110.5,5.8,0.9,16.3,2.8,35.1,74.2,60.2,71.3,9.1,144.6,106.3,0,123.9,0,13.7,3601.2,-228.8,0,0.2,11513.1,0,47609.5
"DOM_07T08",131.5,120.4,673.3,21.9,108.9,3.4,0.6,5.5,59.8,954,9,1426,4907.7,6.8,0.9,23.7,5.6,22.1,6,16.7,26.4,1664.1,51.6,15,2.9,0.3,0.6,0.4,5.1,27.2,11.2,72.4,5.3,5.9,18.1,0,67,0,2.5,67.6,-49.2,0,0,15903.2,0,26401.3
"DOM_09",384.4,1952.8,406.9,277.3,95.1,0,2.6,22.5,66.5,28,28.6,14.7,6,0.6,0,0,12.9,0.4,0.1,6.8,164.1,433.3,0.6,14.3,0.1,0,0,0,0.1,0,9.1,52.3,17.6,0.4,0.4,0,0,0,770.7,0,0.5,0,0,62.1,0,4831.8
"DOM_10T12",4579,100.3,38.8,5.9,26918.9,644.4,31.4,315.2,1131.5,2881.9,426.2,105,82.3,88.9,33.9,81.2,50.4,72.7,29.7,111.1,74.3,249.1,1069.5,107.4,14118.8,17.5,31.3,20.6,80.3,31.3,189,948,943.7,891.3,437.5,0,106633.9,0.1,1420.8,341.9,109.8,0,53.8,30575.3,0,196073.8
"DOM_13T15",176.3,29.3,8.5,5.4,134.2,8914.1,2.4,94.1,22.6,123.3,121.7,12.9,7.2,45.6,5.6,9.7,11.9,308.8,56.1,324.4,111.9,176.6,552.1,56.7,90.4,18.8,7.2,4.6,67.2,6.6,78.7,182.2,53.3,253.2,219.1,0,28545.9,0,154.2,138.6,12.1,0,31.1,3595.2,0,44770
"DOM_16",221.4,0.7,11.3,6.1,133.6,8.9,905,111.6,1,20.1,4.4,11.4,9.1,64,1,2,76.4,64.1,46.6,1485.8,111.6,1287.3,238.6,31.3,4.9,20.3,2.3,1.3,21.6,228.9,67.7,77.2,11.3,24.9,109.9,0,587.7,0,23.4,54.1,7.1,0,2.1,1946.9,0,8044.8
"DOM_17T18",168.4,16.3,61.9,4.9,2377,422.6,206.9,3869.3,52.6,833.8,516,504.1,23.8,365.6,352,113,75,300.8,30.5,283.3,169.7,137.2,1707.6,237.9,276.3,859,271.7,266.2,818.5,78.7,1339.4,1137.2,425.5,505.6,613.5,0,3634.9,0,85.9,214.5,-2.9,0,5.5,6840.4,0,30199.9
"DOM_19",5291,771.2,1411.3,134.4,2701.2,338.8,101.6,625.4,31749.7,7521.9,954.9,1206.6,1436.1,199.5,64,297.6,136.8,466.9,106.8,250.1,1670.3,2345.4,1889.7,19948.9,436.9,26.7,33.1,35.3,391.2,138.6,690.9,1508.7,170,571.1,440.2,0,22054.8,0,25,18.3,44.1,0,15.6,4745.1,0,112965.6
"DOM_20T21",14644.1,1050.2,320.9,38.5,1990.1,1802,330.7,1962.6,4790.1,22962.6,4774.1,1144.9,795.3,778.6,151.8,802.4,158.7,659,159.8,916.6,216.7,2117,957.2,586.1,106.2,74.2,53.9,20.2,150.4,143.8,433.6,434.1,244.4,1158.6,433.5,0,25006,0,7799.3,941,27.5,0,10.6,8173.9,0,109321.4
