"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",2.1,0.5,0.1,0,9.7,1,0.3,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.1,0.6,0,0,0,0,0,0.2,1.6,0.4,0.2,0.5,0,9.8,0,4.3,9.7,15.9,0,0.8,0.3,0,59.4
"DOM_05T06",0.9,2479.4,4.4,48.1,1.5,1,0.1,0.3,355.4,7.2,1.5,1.1,5.8,0.1,0.3,0.2,1.3,1.5,0.5,0.2,45,1.2,5.5,5.1,1.5,0.2,1,0,1.5,0.8,4.9,10.4,6.6,3.7,7.5,0,4.3,0,1.6,554.7,1648.2,0,0,6439.1,0,11653.2
"DOM_07T08",2.1,251.9,340.7,23,1,1.4,0.1,0.3,11.7,18.4,0.8,28.5,30.8,1.8,1.5,0.8,4.7,0.5,1.4,3,3.1,134.8,5.5,4.7,0.1,0.1,0.1,0,0.4,3.8,5.2,34.6,1.3,0.2,3.4,0,3.3,0,0.3,26.7,44.3,0,0,0.2,0,996.4
"DOM_09",0.1,208.3,3.4,3.8,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.1,0,0,0,0,0,0,0.3,0.4,0.1,0,0,0,0.3,0,2.2,1.9,5.7,0,0.4,23.4,0,252.4
"DOM_10T12",7.4,0.8,0.1,0.1,25.6,1.9,0,0,0.1,1.2,0.1,0,0,0,0,0,0.1,0,0.1,0,0.1,0.3,5.9,2.1,13,0.2,0.1,0,0.7,0.1,1.2,20.6,5.5,4.6,5.1,0,47,0,13.1,0.1,0.1,0,4.1,2.2,0,163.7
"DOM_13T15",0.6,44.1,1.9,1.4,0.5,168,0.2,0.4,0.2,1.5,2.9,0.1,0,0.2,1.5,0.2,1.2,4.5,1.8,3.3,0.4,2.7,11.8,6.1,1.3,1.3,0.5,0.1,4.5,0.1,3.8,34.2,4.9,8.5,5.5,0,33.4,0,8.4,9.2,26.3,0,6.8,97.7,0,502.1
"DOM_16",0,1.6,0.1,0,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.5,0,1.7,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0.1,0,0.1,0,0.3,0,0,0,0,0,0.2,0,0,6.8
"DOM_17T18",0,0.6,0.1,0,0.1,0.1,0,0.7,0,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,1.1,0.2,0,0.4,0.4,0,1.3,0,1.2,2.8,1.6,0.2,1.1,0,1.9,0,0.2,0,0,0,0.4,0,0,15.1
"DOM_19",2.7,213.1,19.5,6,1,1.6,0.2,0.2,11.8,3.1,0.7,0.6,0.8,0.2,1.1,0.3,1.5,0.9,0.6,0.3,3.4,7.5,15.2,139.1,0.6,0.4,1.8,0.2,5.5,0.9,8.7,32.4,5.9,2.4,3.9,0,50,0,3.8,0.1,0.1,0,4.6,0.1,0,552.9
"DOM_20T21",0.9,25.6,1.9,0.5,0.3,3,0.1,0.3,1.2,3.6,4.5,0.2,0.2,0.1,1.3,0.3,0.6,0.7,0.4,0.3,0.2,1,1.6,0.8,0.1,0.1,0,0,0.2,0.2,1.3,2,1,2,0.7,0,12.3,0,12.1,2,1.3,0,0.9,0,0,86.2
"DOM_22",0.1,13.8,1,0.4,0.6,0.8,0.1,0.1,0.1,0.3,2.6,0.1,0,0.1,1.9,0.4,1.4,2.3,0.5,0.3,0.1,2.6,3.4,1.5,0.1,0.1,0.4,0,0.3,0.1,1.3,1.6,0.4,0.4,0.3,0,3.2,0,0.2,2.6,3.9,0,0,0,0,49.4
