"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",971.3,0.2,0.9,0,5420.7,26.1,367.1,51.4,10.7,121.5,30.6,1.5,2.7,3.9,1,4.3,5.2,0,0.1,11.4,31,61.9,557.5,24.2,374.6,1.3,0.4,0.2,9.1,10.7,152.3,130.2,10.9,30.4,24.3,0,2979.6,0.3,3.1,167.2,-15,0,145.9,328.5,0,12058.9
"DOM_05T06",0.4,0.6,0,0,1.2,0,0.1,0.4,332.7,6.2,0.4,0.9,0.8,0.3,0.3,0.4,0.4,0,0.1,0.2,162,0.6,4.1,3.6,1.6,0.1,0.2,0.1,0.5,0.7,1.9,1,0.2,0.8,1.2,0,27.6,0,0,15.9,-13.8,0,0,0.1,0,554
"DOM_07T08",7.9,0.4,43.2,0.1,6,0.3,1.2,6.9,34.9,95.8,1.4,258.1,141.3,17.5,8.3,8.5,13.5,0.1,0.1,12.3,39.6,568.7,29.4,15,0.2,0.1,0.1,0.4,0.9,24.9,11.2,27.9,0.3,0.3,2.9,0,14.7,0,0,17.8,-2,0,0,66.2,0,1476.6
"DOM_09",0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,29.6,0,31.3
"DOM_10T12",1164.4,0.5,2.1,0.1,5627.1,23.4,23.5,36.6,42.6,876.1,16,13.5,6.5,22.8,110.1,38.5,48.3,1.1,12.2,37.4,119.1,139.7,1802,253,3173.9,24.4,18.6,55.1,121.4,39.8,321.9,686.7,59.6,366,242.5,0,13027.4,18,58.3,154.9,22,0,726.8,11177.2,0,40711.2
"DOM_13T15",3,0.1,0.4,0,8.3,92,5.4,7.1,2.6,54.7,12.3,2.5,0.6,5.8,25.8,8.8,8,0.9,4.6,36.7,5.9,20.5,82.6,15.3,15.7,2.2,1.3,3.3,10.1,1.8,24.7,36.5,2,14.5,12.8,0,685.6,0.2,2.1,3.4,8.4,0,108,2328,0,3664.6
"DOM_16",34.2,1.1,5.6,0.1,36.3,2.8,1739.3,89.6,14.7,59.9,22.2,44,3.1,82.5,121.1,63.9,78,3.8,13.3,646.2,227.5,2404.6,332.6,71.9,23.3,14.1,1.7,26.2,25.3,441.1,197,61.2,10.5,11.8,64,0,645.3,0.4,0.7,17.1,-1.3,0,26.8,1150.4,0,8814.1
"DOM_17T18",6.3,0.2,2.2,0,96.6,3.5,14.6,465.5,12.7,115.1,14,15.5,1.8,17,95.9,31.2,30,0.8,5.1,13.7,52.7,35.3,525.4,89.5,43,496.9,62,140.8,462.7,34.7,495.4,255,43.9,32.8,88.9,0,1004.6,0.4,1.4,9.9,-15.3,0,65.1,2794,0,7660.3
"DOM_19",141.8,4.5,33,0.5,77.3,5.5,27.2,24.1,890.8,253.1,19.9,78.8,70.8,50.1,104.7,60.1,68.2,1.6,24.9,39.3,1099.9,444.8,779.6,2750.2,58.2,12.8,37.2,71.8,245.2,73.1,369.4,359.5,20.3,47.5,63.3,0,6336.3,0.1,6.5,9.1,-6.3,0,221.9,1469.1,0,16445.8
"DOM_20T21",287,1.9,6.5,0.1,259.9,32.7,29.3,46.7,164.3,14302.6,212,32.7,36,47.8,197.9,87.4,50.7,3.1,15.1,30.7,85.5,102.7,541.4,114.1,20.3,16.2,3.8,9.6,31.3,32.8,1228.9,1060.1,47.9,3594.3,115,0,1223.1,0,33.4,44.6,129,0,111,72937.8,0,97327.2
"DOM_22",5.1,0.3,1.8,0,55.6,2.7,9.7,12.9,8.5,61.2,71.6,9.6,4.5,27.5,197.5,90.2,76.2,4,18.3,27.7,21.1,170.2,142.3,60.8,11.1,3,9.2,8.3,15.9,13.1,47.2,21.3,1.7,8.9,8.3,0,54.8,0,0,21.2,-1.2,0,1,5984.2,0,7287.6
"DOM_23",13.2,0.6,13.4,0.1,71.5,1.9,27.9,3.5,9.1,91.7,17.7,380.2,19.8,63.7,410,98.6,75.6,3.4,12.5,28.8,65.3,2799.4,175.5,48.5,26.2,3.1,1.7,2.8,11.4,98.1,84.6,54.5,6.7,13.7,17.5,0,132.5,0.9,0.4,21.4,-0.3,0,2.5,1801.9,0,6711.4
"DOM_24",0.6,0.2,0.2,0,2.7,0.2,0.7,2.5,1.1,4.9,1.6,2.8,48.7,140.6,82.6,118.2,120.8,1.8,16.8,20,13,104.5,14.4,6.4,0.8,0.4,0.9,0.9,2.1,1.3,4.2,2.9,0.3,1.5,1.1,0,8.5,0,0.2,6.9,8.5,0,0.7,4790.8,0,5537.2
"DOM_25",44.7,6.8,14.7,0.4,232.2,7,98.1,27.7,81.2,132.5,61.6,63,141.2,1598,1118.6,623.7,1605.7,28.4,157.9,308.6,312.3,2332.8,504.5,207.3,47.8,12.3,23.2,56.4,76,127.6,351.2,282.6,13.2,22.3,43.1,0,214.8,2.1,0.4,20.3,0.6,0,2.6,9004,0,20009.2
"DOM_26",7.8,0.5,1.3,0,34,3.5,7,10.2,12.6,81.5,8.8,6.4,4.3,30.9,5575.5,283.9,157.7,3.6,23.3,61.5,85.6,143.1,313.5,94.2,18.8,22.4,19.3,244.4,40.1,20.9,261.8,162.2,11.3,24.2,41.1,0,2279,0.6,8.8,8908,-1165.4,0,147.6,51150.1,0,69145.8
"DOM_27",4.1,0.7,1.9,0,13.4,1.1,4.6,3.3,9.6,30.1,7.6,6.9,12.6,45,1291.2,1315.2,329.8,8.2,45.6,72,345.7,511,193.7,78.1,3.2,6.4,83.1,59.3,39.7,42.4,138.9,64.4,5.9,14.3,28,0,96.2,3.8,7,2539.3,-476.7,0,36.4,15495.5,0,22518.3
"DOM_28",33.4,4.3,14.9,0.5,31.6,3.8,15.4,18.3,34.7,55.3,14.7,23.8,23.5,82.3,263.1,124.8,1022.7,8.9,69,86.2,132.2,312.1,214.2,102.6,4.4,6.7,16.1,29.2,38.3,23.4,119.8,205.6,5.6,13.2,17.1,0,230,0,10.8,2936.5,-720.8,0,3,26129.6,0,31760.9
"DOM_29",1.7,0.1,0.7,0,1.3,0,1.9,0,1.8,1.3,0,2.1,0.4,7.1,19.6,24,48.4,38.6,14.6,8.3,9.4,11.6,121.6,75.3,0.1,0.9,0,3.2,0.7,2.3,22.8,22.3,0.5,0.1,2.9,0,36.7,0,0,153.5,-175.4,0,10.6,1596.6,0,2067.8
"DOM_30",0.3,0.3,0.4,0,3.4,0.1,1.1,1.2,3.3,10.1,0.7,1.3,2.7,6.3,7.1,2.2,16.9,0.1,165.7,6.2,15.5,12.8,16.3,74.7,1.5,0.8,3.4,0.6,2.9,11.1,12,69.8,0.3,1.9,2.4,0,350.7,0,14.7,852.8,-169.5,0,0.9,4499.6,0,6004.4
"DOM_31T33",5.2,6.5,13.8,0.5,148,11.5,56.2,70.6,103.8,182,30.9,65.6,122.5,156.2,280.5,70.4,442.7,4.1,29.1,562.5,786.8,590.3,581.6,817.1,96,44.4,161.3,52,264.1,620.2,510.6,523.7,53.9,251.7,132,0,193.4,0.6,10.7,14.5,8.8,0,147.3,8018.2,0,16241.9
"DOM_35T39",284.4,30.1,116,1.5,715.4,67.7,251.4,475.1,770,1269.9,257.9,542.2,773.8,589.9,1427.8,487.8,725.7,17.2,117.3,228,20433.4,698.9,3211.3,1843.5,945,144.5,494,503.9,1710.2,1800.5,2384.6,2955.6,398.2,665,703,0,4585,51.1,470.6,246.9,-3.8,0,13.7,1139.9,0,54544.1
"DOM_41T43",108.3,6.8,34.7,0.6,63.4,6.9,49.5,43.3,112.8,170.2,28.9,66.2,36.6,130,336.7,119.5,162.8,3.2,20.4,141.6,1701.8,9640.5,1673.4,1192.4,226.5,49.4,382.9,208.9,1244.5,5565.3,1542.4,2835.4,150.4,229.2,284.2,0,1414.7,0.9,23.6,50479.1,-4.7,0,25.3,275.9,0,80784.5
"DOM_45T47",1187.6,15.3,75.5,1.6,5270.7,513,707.2,536.4,1032.5,11355.6,619.3,438,316.4,1099.8,5746.1,2009.3,2323.2,192.3,464.5,1624.3,2895.6,4738.3,23149.7,5259.9,2113.2,937.9,877.5,2057.2,2341.6,869.5,5930.5,3303.1,312.5,3302.3,1142.6,0,24059.7,27.3,329.4,12087.8,-594.3,0,1052.4,52050.9,0,183773.1
"DOM_49T53",186.5,18.2,93.9,1.2,814.7,66.5,218.7,199.9,815.6,1094.6,134.1,253.7,175.2,350.2,1349.2,457.1,610,30.7,148.8,307.1,971.8,1098,9077.1,19616.8,308.1,248,398.9,475.2,1880,265,3205,1519,108.1,338.7,314.8,0,12179.7,2.4,435.1,1547.4,-448.5,0,2547.3,17821.4,0,81235.2
"DOM_55T56",14.1,0.4,1.7,0.1,38.1,2.3,9.1,10.6,7.3,52.5,6.3,7.8,5,23.7,54.4,20.3,35.3,0.8,13.6,16.4,126.5,98.5,550.9,354.1,103.7,27.7,29.9,162.1,448.6,112.9,1008.9,338.7,42,149.9,120.1,0,13183,9.3,7.8,15.3,-0.4,0,7488.6,58,0,24756.2
"DOM_58T60",5.6,0.2,0.5,0,65.3,1.1,5.9,68.5,22.6,79.5,5.8,7.4,1.1,17.7,144.2,24.9,35.2,0.8,7.5,15,91.9,53.8,734.6,152,48.8,807,281.1,498.8,610.6,39.4,1404.9,351.2,80.4,47.7,238.8,0,1254.6,37.6,105.9,1119.9,4.6,0,67.7,753.8,0,9294.1
"DOM_61",15.5,0.5,3.9,0.1,33.2,4.2,10.1,14.8,24.1,59.2,9.4,12.2,5.5,35.6,191.4,39,66,1.2,13.4,23.6,164.6,105.7,796,405.7,70.7,118.9,2673.1,536.7,1258.3,95.4,963.8,576.7,30.6,76,120.9,0,7226.7,0,1.2,30.3,-5,0,438.7,1290.5,0,17538.7
"DOM_62T63",2.3,0.4,0.8,0,19.6,1.6,3.7,8,12,50.7,3.8,4.5,3.2,12.7,133.1,24.2,26.3,0.6,5.8,12.6,77.3,43.5,286.1,137.8,20.9,46.5,130,837.3,722.4,32.3,494.1,222.5,12,23.7,44.1,0,74.9,0.2,4.5,12496.5,-16.6,0,6,12753,0,28774.8
"DOM_64T66",108,6.4,13,0.3,104.8,15.3,46.3,55.5,82.5,155.8,36.5,42.5,24.4,116.1,414.8,126.5,171.1,4.5,45.9,83.4,511.5,504.5,3142.4,1464.9,399.6,96.4,295.6,483.4,11694.1,1501.4,1998.3,901.8,104.9,250,273.4,0,41644.5,1,70,787.3,69.2,0,627.6,46627.8,0,115103.4
"DOM_68",27.9,3.2,4.4,0.1,104.6,13.9,28.2,53.7,51.3,116.5,32.5,27.7,9.9,107.8,346.2,101.4,124.1,4.9,38.7,88.2,350.5,522.2,4826.7,1018.8,697.8,136.8,448.9,689,2228.8,1100.3,2674.5,1215,170,311.9,443.8,0,45650.9,0.4,124.8,201.3,0.3,0,741.9,265.9,0,65105.8
"DOM_69T82",141.6,94.1,69.5,1.9,837.7,37.8,152.3,214.7,915.1,5247,151.4,197.6,140.5,505,3233.6,722.5,888.2,22.9,292.2,471.3,2574.1,3031.9,10271.6,5129.4,1020.1,598.9,1226.3,2746.3,9018.4,1423.4,18185,3250,248.2,852.8,1416.8,0,5361.5,33.7,5961.9,14788.9,4.8,0,511.1,21441.5,0,123433.7
"DOM_84",72.8,8.4,15.4,0.3,249.8,11.7,51.3,72.5,147.1,495.1,24.7,54,61.9,107.2,317.2,94.9,163.6,2.1,30.8,82,1584.2,411.5,1611.7,929.8,218.5,179.9,143.4,342.4,1379.6,593.3,1851.3,1881.2,155.6,820,459.6,0,17411.5,1523,67975.3,696.4,0.1,0,562.7,992.4,0,103786.1
"DOM_85",1.1,0.4,0.5,0,4.7,0.1,0.5,2.3,4.7,17.7,1.3,0.8,1.6,1.2,24.3,5.3,6.9,0,0.9,1.6,40.1,8.8,51.3,24.3,3,4.9,10.9,33.2,102.2,8,151.3,104.8,31.4,16.8,15.9,0,4310.6,9.8,1546,4,0,0,180.5,9.7,0,6743.4
"DOM_86T88",26.3,0.6,2.8,0,105.4,2.9,16.5,9.6,21,332,12.9,13.2,23.8,42.2,28.2,11.4,62.3,1.6,7.3,6.3,208.2,37.1,638.2,408.3,59.9,80.2,86.9,16.5,1297.1,66.7,655.1,674.3,13.4,3886.6,324.8,0,55040,7817.2,249.5,45.2,-3.2,0,325.3,269.7,0,72923.1
"DOM_90T96",19.9,2.1,7.1,0.1,49.2,4.8,20.2,15.7,28.7,62.1,9.1,13,19.1,27,173.7,39.8,47,1.4,13.2,29.5,137.1,154.4,627.9,315.2,180.9,129.9,107.5,257.7,540.6,63.5,881.1,393.5,44.8,179.7,794.3,0,14165.7,1905.3,762.7,614.5,-0.4,0,1018.5,54,0,23911.3
"DOM_97T98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114.1,0,0,0,0,0,0,0,0,2114.1
"IMP_01T03",342.7,0.1,0.3,0,2124.9,10.8,28.9,2.6,5.2,56.7,11.3,0.8,0.4,2.3,5.3,3.3,3.3,0.2,0.4,4.8,15.1,30.6,218,15.5,164.8,1.3,0.6,1.8,5.9,6.1,64.3,53,4.2,14.6,12,0,1244,0.1,3.2,69.8,0,161.6,0,0,4690.8,0
