"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",2959.7,0,2.4,0.5,7493.9,20.2,701.5,292.6,0.1,12.2,8.4,0.1,0,0,0,0.2,0.1,0.2,0.9,9,0.3,18.9,50.5,0.7,424.6,0.7,0.1,0.2,0.5,0,21.6,21.1,13.8,14.9,20,0,4108.4,0,12.3,454.8,8.7,0,23.3,4391.4,0,21089
"DOM_05T06",10.2,2.1,17.4,2.2,2,0.1,0.3,1.3,178.6,7.7,0.3,1.7,3.8,0.1,0,0,0.1,0.1,0.2,0.4,91,9.3,3.5,12.9,0.3,0.3,0.2,0.1,0.6,0.4,4.5,1.1,0.5,0.6,0.7,0,19.6,0,3.7,8.3,-1.1,0,0.1,75.6,0,460.8
"DOM_07T08",19.7,0.1,2628,3.6,62,2,8,115.4,1.4,221.9,31.1,292.3,899.7,541.4,31,187.4,327,73,69.4,227.2,41.2,943.1,7.7,1,0.4,0.8,0.3,0.1,0.4,0.5,7,3.5,0.5,14.9,2.4,0,20.6,0,0.6,5.6,13.1,0,0.2,30155,0,36960.4
"DOM_09",310.7,41.7,490.3,51.1,16.1,0,1.8,9.1,10.4,3.2,5.9,3,0.3,0.1,0,0,1.3,0,0,0.5,68.3,132.1,0.2,5.5,0,0,0,0,0.1,0,8.6,7.2,3.7,0.1,0,0,0,0,174.4,0,0.1,0,0,10.9,0,1356.7
"DOM_10T12",1343.8,0.3,36.9,0.7,3681.7,7.5,5,33,6.5,103.6,12.7,15.2,2.8,2.8,1,0.8,2.8,1.6,2.8,7.5,11,65.5,206.7,37.1,1393.5,14.8,9,4.2,9,5.8,65.6,90.7,57.9,115.2,59,0,15438.7,0,208.1,88.7,34.3,0,84.7,7760.6,0,31029.3
"DOM_13T15",31.3,0.1,15,0.5,26,160.8,1.7,19.8,1.1,17.3,18.1,4.1,0.9,2.2,0.6,0.7,2.2,5.2,4.1,22.5,3.4,37.2,67.1,10.1,13.5,5.9,3.7,1.7,2.7,2.3,20,16.6,8,24.7,7.3,0,1228.7,0,2.9,47.3,2.4,0,13.1,407.6,0,2260.5
"DOM_16",27.6,0,6.7,0.5,17.4,1.2,364.2,53,0.7,8.9,6.1,9.4,0.5,4.2,0.4,0.6,2.5,2.2,4.7,46.8,27.6,420.2,28.5,3.5,1.3,2.5,1.1,0.5,1.7,0.9,10,4.8,1.4,3.6,5.5,0,95.7,0,1.1,26.7,-7.8,0,2.6,2581.7,0,3770.6
"DOM_17T18",30,0.5,59.4,0.7,252.9,7.2,78,1021.7,6.2,51.8,27,25.8,2.3,6.1,1.6,2,6.3,3.2,2.1,21.6,50.8,102.3,254.7,44.5,39.8,320.5,17.8,13.6,91.3,18.7,167.9,63.8,88.8,44.9,30.5,0,707.2,0,6.9,30.7,-9.9,0,8.1,3190.3,0,6889.6
"DOM_19",333.3,6.7,528.2,8.3,89.7,6.3,18.3,33.4,400,191.4,15.2,50.4,21.9,7.5,1,1.7,6.3,2.6,3.7,18.6,325.5,257.1,275.8,1456.7,29.6,7.1,2.2,5.7,40.3,19.2,101.2,70,33.8,39.4,18.6,0,2174.8,0,0.7,11.4,3.7,0,15.3,338.5,0,6970.8
"DOM_20T21",344.8,4.2,265.6,3.8,134.8,38.4,48.5,145.3,159.2,826.3,322.1,69.9,35.9,42.5,3.9,7.6,22.5,11.4,15.2,31.5,26.1,276.3,152.4,67.7,16.1,18.7,6.1,3.7,8.7,10.3,103.5,37.4,29.3,493.9,24.3,0,1780.3,0,29.9,95.7,8.9,0,12.7,2326.4,0,8061.6
"DOM_22",44.9,0.1,141.2,2.1,218.2,9.4,18.4,55.3,11.5,56.1,191.3,21.8,5.1,13.3,4.6,7.6,22.5,23.3,10.7,32.2,14.9,325,203.4,126.4,21.7,7.6,2.6,2.7,9.5,6.8,54.4,15.1,10.2,24.1,9.2,0,365.2,0,2.2,419,6.7,0,0.5,716.6,0,3233.6
"DOM_23",28.1,0,160.4,2.3,4,0.4,25.2,8.3,1.7,30.5,21,326.6,7.1,12.6,3.8,3.5,9,7.6,6.2,14.2,1.6,2144.5,21.2,7,17.4,1.3,0.2,0.1,0.5,0.7,8,13.6,13.9,15,6.1,0,191.9,0,0.3,18.2,0.7,0,0.1,68.9,0,3203.8
"DOM_24",10.9,1.8,85.9,6,10.8,1.2,3.9,10.8,5.7,18.8,16.4,18.8,133.8,197.6,4.6,19.8,95.5,30.3,36.5,55.4,34.5,690.5,8.6,8,0.9,1.5,2.4,0.6,0.9,0.8,8.9,3.3,1.2,6.6,1.1,0,60.7,0,0.5,33.6,0.6,0,0.4,955.1,0,2585.4
"DOM_25",60.5,0.7,174,4.5,160.1,5.7,34.1,23.5,1.3,29.7,27.9,24.1,29.6,120,5.7,9.3,76.2,25.9,28,92.2,58.5,688.8,124.5,39.1,15.8,8.3,9.5,2.4,10.6,16.9,62.9,35.1,13.6,16,8.9,0,322.3,0,6,747.2,3.7,0,0.6,420.8,0,3544.3
"DOM_26",10.5,0.3,30.7,0.8,17.6,1.2,3.1,8,0.5,6.2,4.4,6.5,2.5,3.2,31.2,4.9,11.1,4.7,4,27.4,21.2,62.6,59.9,15.2,6.4,14.1,59.8,12.5,14.6,5.1,42.9,22.6,11.6,32.9,9.2,0,414.6,0,0.8,46.4,0.7,0,2.5,151.2,0,1185.7
