"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",1539.7,1,0,0,11365.3,164.4,143.2,28.8,0.1,135.9,19.7,1.4,5,1.7,0.1,0.1,0.4,0.6,0,14,6.3,331.4,274,0.8,762.1,4.3,2.7,1.2,3.2,9.8,72.4,122.8,2.1,51.1,33.7,0,10805.5,0,327.8,1725.6,65.5,0,26.3,2232.4,0,30282.3
"DOM_05T06",16,2191,2.5,0.1,58.5,12.7,1.7,11.1,9610.5,185.6,7.3,20,25.7,3.8,0.2,2,2.8,4.3,1.6,3.8,542.3,30.7,56.4,40.3,53.2,3.8,9.8,1.3,4.2,6.9,20.4,13.4,3.3,28,24.1,0,216.2,0,8.7,50,53.6,0,1.1,32432.9,0,45762.1
"DOM_07T08",3.5,14.6,99.9,0,5.3,0.2,0,2,0,222.5,0.4,290.3,2457,82,0.3,1.4,5.6,0.9,0,8.2,0,1118.4,21.7,1.1,7.8,0.1,0.2,0.1,0.7,6.5,6.1,0,0,0.3,2.1,0,0,0,0,0,-0.1,0,0,64.9,0,4424.2
"DOM_09",5,102.3,5,0.4,0.8,0,0,0.2,1.7,0.5,0.3,0.8,0.2,0,0,0,0.1,0,0,0.1,3.1,10.7,0.1,0.1,0,0,0,0,0,0,0.4,0.6,0.2,0,0,0,0.3,0,5.3,0.1,0,0,0,25.8,0,164
"DOM_10T12",2034,21.2,5.1,0.1,5122.9,146.2,13,58.3,92.8,302,65.8,25.3,19.5,9.1,0.5,7.3,8.7,5.2,3.1,13,70.4,69.7,252.6,24.8,3467.7,13.8,12.1,3.9,14.1,13.3,98,399.6,5.8,301.3,200.4,0,26261,0,288.4,57.6,12.6,0,93.9,2114.8,0,41728.6
"DOM_13T15",127.9,6.5,3.4,0.1,28.2,2060.6,87.3,79.1,5.7,74.1,81.7,6,5.4,7.9,0.8,7.6,5.7,33.8,5.2,138.6,17.9,60.7,204.5,12.8,67.4,10.8,6.8,3.2,14.5,3.5,47.4,270.7,110.2,104.5,39.6,0,6719.4,0,25.6,18.2,6.1,0,52.7,1088.7,0,11650.7
"DOM_16",32.2,1.2,20,0,2.6,1.1,55.8,0.6,0.6,17.7,5.5,4.9,3.1,10.7,0.3,6.4,7.8,8.4,1.2,178,5.6,649.9,45.3,0.7,15.1,5.5,3.7,1.6,1.9,43.4,28.1,4.5,0.9,5.7,12.7,0,54.8,0,1.3,10.9,0.2,0,2.8,46.9,0,1299.5
"DOM_17T18",52.5,17.9,6.4,0.2,438,71.4,12.4,1088,48.4,127.3,99.2,99.1,9,14.2,1.8,24,36.6,13.3,3.3,36.1,71.5,65.8,350.5,61.9,124.4,371.9,93.2,37,127.2,18.5,260.1,220.6,270.9,112.3,79.8,0,981.5,0,62.6,35.1,-2,0,7.8,594.6,0,6144.3
"DOM_19",296.6,207.5,172.7,6,184,79.1,5.8,51.7,2594.5,877,82.7,766.3,162.8,33.4,1.6,33.4,21.5,18.3,12.9,41.3,159.2,489.6,741.4,5577.7,157.7,28.6,115.3,29,112.8,55.1,304.8,913,64.4,171.4,91.5,0,2975.6,0,19.7,1.3,34.3,0,23.4,5307.8,0,23023
"DOM_20T21",722.2,238.7,47.7,0.1,272.2,204.1,22,169,1067.2,1603.9,756.4,174.2,72.6,41.1,3.8,62.1,32.6,31.2,9.8,62.6,143.2,461.9,127.8,44.7,77.9,25.9,13.2,4.2,11.5,23.4,100.5,33.4,12,274.7,48.6,0,3575.9,0,667.2,136,-0.1,0,15.6,2524.5,0,13915.4
