"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",206.5,0.2,0.5,0.1,611.6,0.4,57.9,1.3,0.1,2,1.1,0.4,4.3,0.1,0,0,0,0,0.1,74.5,3.6,1.6,18.3,0.4,36.6,0,0,0,0.3,1.6,0.2,2,1,3.1,1.1,0,1251.4,0,24.4,63.6,10.5,0,11.8,1749.7,0,4142.6
"DOM_05T06",0.2,0.1,0,0,0.4,0,0,0.1,50.9,0.6,0,0.1,0.1,0,0,0,0,0,0,0,4.6,0.1,0.1,0.2,0.4,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0,4.7,0,0,9.3,0,0,0,0,0,72.2
"DOM_07T08",2.7,0,4.1,0.1,1.5,0,0,0.1,29.5,1,0,27.6,30.5,0.7,0,0.3,0,0,0,1.4,2.7,48,0.8,0.3,0.3,0,0,0,0,1.4,0.2,0,0,0,0.1,0,0.8,0,0,0,0,0,0,3.6,0,158
"DOM_09",5.7,1.5,1.5,0.8,1.4,0,0,0.2,0.9,0.1,0.2,0.2,0,0,0,0,0,0,0,0.2,1.8,6.3,0,0.1,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,13,0,0,0,0,5.5,0,39.8
"DOM_10T12",347.3,0.1,0.2,0,1107.1,0.9,1.6,4,6.2,12.7,2.7,1.2,0.9,0.3,0.5,0.7,0,0.1,0.1,5.7,3.3,9.9,26.5,2.1,451.5,0.5,0.5,0.2,1.2,2.5,7.1,8.5,10.5,14.9,5.8,0,1948.2,0,70.7,7.1,1.4,0,44.9,1560.1,0,5669.5
"DOM_13T15",1.3,0,0,0,2.5,24.3,0,0.8,0.6,0.4,0.9,0.2,0.1,0,0.1,0.1,0,0.1,0,8,0.4,2.5,4.6,0.4,2.6,0,0.1,0,0.3,0.2,0.5,0.6,0.3,1.3,0.9,0,195.2,0,0.9,1.5,0.4,0,17.5,228.9,0,498.6
"DOM_16",0.3,0,0,0,0.3,0,0.4,0,0,0.1,0.1,0.2,0,0,0,0,0,0,0,5.2,0,7,0.3,0,0,0,0,0,0,0.9,0.1,0,0.1,0,0.1,0,57.7,0,0,0,-0.1,0,1.2,35,0,109.2
"DOM_17T18",7.4,0.1,0.2,0.1,100.2,3.3,0,136.9,2.6,8.4,4.7,7.4,0.5,0.7,0.8,2,0,0.2,0.1,15.8,3.5,11.1,43.9,8,32.3,7.7,6.2,3.1,23.9,6.7,49.8,10.2,22,7.2,12.8,0,107.3,0,1.6,0.6,-4.2,0,3.7,184.8,0,833.8
"DOM_19",129,1,5.4,0.7,47,6.7,0.7,13.5,207.3,91.9,35.2,20.6,7.2,1.7,1.3,4.3,0.1,0.5,0.3,22.1,42.3,74.4,38.9,106.4,20.9,0.8,2.2,0.9,6.3,10.2,22.9,9.9,9.6,10.4,13.1,0,429.8,0,0.7,1,0,0,6.9,146.8,0,1550.8
"DOM_20T21",147.5,0.6,2.6,0.3,46.4,12.7,1.1,24.7,102.2,160.8,80.4,20.2,6.2,2.6,2.3,7.3,0.1,0.7,0.4,34.3,10.8,47.6,17.1,4.2,12.6,0.2,0.4,0.1,1.6,10.1,12.8,2.9,6.7,15.5,15.5,0,81.9,0,27.8,1,-0.8,0,3.8,316.7,0,1241.5
"DOM_22",10.2,0.2,0.3,0.1,61.2,4.7,0.2,6.1,5.9,9.1,28.4,5.1,1,1.2,2,5.9,0.2,1.4,0.4,24.8,2,66.6,21.2,8.2,10,0.3,1.6,0,1.1,3.6,7.1,1.6,1.8,2.8,2,0,9.4,0,0.5,0.9,-0.4,0,0.3,384.6,0,693.7
"DOM_23",8.1,0.2,0.4,0.1,21.2,0.2,0,0.5,1.1,2,0.7,62.1,1.5,1,1.4,2.3,0,0.4,0.1,6.8,1.1,365.2,9.6,1.5,8.2,0.2,0.3,0.2,0.4,9.3,3.3,1.5,2.5,1.8,1.2,0,58.7,0,0.6,8.9,-0.5,0,1.3,104,0,689.4
