"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",100.7,0,0,0,362.6,0,3.7,0,0,2.4,0,0.1,0,0,0,0,0,0,0,0.4,0,5,1.1,0.2,23.7,0.4,0.7,0,0.1,0.9,1.9,5,1.2,6.1,0.8,0,295.5,0,5.2,5.4,0.6,0,19.2,268,0,1111.1
"DOM_05T06",0,0.1,0,0.1,0.4,0,0,0,0.4,0.8,0,0.4,0.2,0,0,0,0,0,0,0,18.6,0,0.3,0.4,0.3,0,0.1,0,0,1.5,0.4,0,0,0.3,0.4,0,0,0,0,0,0,0,0,0,0,24.9
"DOM_07T08",0.1,0,0.5,0,0,0,0,0,0,0.3,0,6.8,6.3,2.6,0,0,0.1,0,0,0.1,0.9,12.4,0.3,0.8,0,0,0,0,0.1,0.3,0,0.1,0,0,0,0,0.8,0,0,0.3,-0.1,0,0.1,42.3,0,75.3
"DOM_09",1.2,0.2,0.5,0.1,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.7,5.7,0,0.2,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0.4,0,0,0,0,1.2,0,11
"DOM_10T12",107.9,0,0.1,0,224.8,0.6,0.9,1.5,0,10.1,0.9,2.4,0.1,1,0.4,0.2,0.1,0,0,1.2,4.3,12.6,33.1,10.2,117.6,1.2,0.5,1.5,5.8,5.6,5,25.4,9.7,17.1,26.2,0,1032.7,0.2,4.4,6,0,0,53.8,260.2,0,1985.3
"DOM_13T15",0.4,0,0,0,0.9,3,0.6,0.3,0,1,0.1,0.3,0,0.4,0.1,0,0,0,0,1.4,0.8,3.7,2.6,1.4,0.5,0.8,0.1,0.3,1,0.5,0.6,2.1,0.1,1,0.8,0,53.1,0,0,1.3,-0.2,0,5.7,8.4,0,93.3
"DOM_16",1.8,0,0,0,0.6,0,64.4,0,0,0.5,0,0.8,0,0.2,0.1,0,0.1,0.5,0,5.6,0.1,89.5,9.6,1,0.4,3.4,0.7,0.1,0.2,15.6,0.3,4,0.1,0.1,0.4,0,43.3,0,0,37.6,-5.2,0,3.4,7.1,0,286.3
"DOM_17T18",0.6,0,0.1,0,3.6,0.1,0.1,20.1,0,12.2,2.8,1.2,0,0.5,0.1,0.2,0.2,0.2,0,0.2,16.7,11.7,15.9,6,0.8,23.6,1.5,8,17,5.6,7.3,3.7,1.3,0.3,6.4,0,40.4,0,0,0.8,-0.2,0,5.3,14.4,0,228.6
"DOM_19",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.7,0.1,0.1,0.2,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1,1.7,0,3.9
"DOM_20T21",2.4,0,0.1,0,3.5,0.6,0.6,0.9,0,14.7,4.1,2.4,0.2,0.9,0.6,0.2,0.2,0.1,0,0.5,0.7,7.8,2,12.8,0.6,0.5,0.2,1,5.2,0.7,5.2,4.4,0.8,37.7,1.5,0,97.5,0,0,0.9,0.1,0,6,160.6,0,378.1
