"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",1290.2,1.8,16.2,0.1,3902,135.1,1021.9,138.5,1.6,63.2,13.7,5,24.6,5.5,3.8,2.7,7.7,22.6,0.9,49.9,49.6,84.8,257,22.3,485.8,1.6,1.5,3,4,25.2,67.1,6.6,3.5,12,26.4,0,2676.9,0.2,305.3,183.1,12.2,0,81.8,2028.9,0,13045.9
"DOM_05T06",10.1,16.6,0.9,3.4,14.6,4.2,3.2,16.9,166.2,129.9,5.6,24.5,521.8,7,3.2,3.1,17.2,20.9,0.8,5,1257.5,15.5,30,26.5,4.6,1.3,2.1,2.5,5.8,19.5,12.9,20,12.4,7.2,8,0,297.5,0,7.4,11.6,-1.6,0,4.5,1226.4,0,3946.6
"DOM_07T08",9.3,2,50,0.5,5.2,1,0.8,1.3,2,21.7,2.7,107.4,211.1,3.4,1,1.3,4.7,3.1,0.2,1.7,26.3,275.2,9,7.7,1.5,0.4,0.5,1,1.4,20.1,9.8,3,1,1.4,1.8,0,42,0,8.9,22.2,5.8,0,2,193.5,0,1065
"DOM_09",18.9,13.6,0.1,25.2,0.5,0.2,0.2,0.3,3.2,0.9,0.3,1.2,1.9,0.4,0.2,0.3,0.7,1.1,0.1,0.3,28.1,51.9,0.8,5.3,0.3,0.1,0.1,0.1,0.3,1.7,2.7,0.9,0.5,0.5,0.4,0,10.7,0,0.3,1.8,0.3,0,0.1,69.9,0,246.5
"DOM_10T12",1162.7,4.1,1.7,0.1,2111.1,12.6,7.3,10.2,5.8,65.2,46.5,10.7,21.3,23.7,19.6,11.3,24.5,51.8,4.4,16.9,43.7,53.6,274,35,980.9,6.3,3.5,9.8,10.1,32.5,96.1,74.9,46.5,72.8,63.3,0,8666.6,0.5,39.5,81.5,12.3,0,260.5,4270.9,0,18746
"DOM_13T15",15.4,5.2,0.6,0,10.3,198.3,1.6,4.3,0.5,16.7,57.4,3.7,3.2,13.2,6.5,7.9,19.7,229.8,2.6,46.1,8.8,28.7,54.5,11.5,6.4,2.1,0.6,1.7,1.3,4.6,26.3,14,2.7,25.8,18.5,0,516.8,0,16.9,21.2,0.1,0,58.5,2280.7,0,3744.8
"DOM_16",83.5,13.5,5,0.1,14.6,1.9,695.7,126.5,0.9,15.2,40.1,49.5,10.2,33.3,10,7.9,26.9,242.2,3.5,380.9,25.4,936.3,82.6,20.2,17.8,7.5,0.6,1.5,3,148.8,57.8,5.4,8.5,3.3,26.7,0,117.3,0,21.4,29.6,26.2,0,11.5,1478,0,4790.9
"DOM_17T18",14.2,1.1,2,0,127.8,14.9,37.8,1030.9,1.5,54.4,47.9,34,11.6,19.6,18.2,19.9,28.3,63.2,3.9,26.4,55.6,47,152.6,30.4,24.5,408.3,3.4,64.3,160.6,59.3,421.7,46.6,76.4,35.5,116.9,0,274.3,0,32.2,36.5,-23.3,0,22.6,2029.5,0,5632.5
"DOM_19",262,32.9,9.6,0.8,53.6,29.1,63.4,29.6,81.3,515.2,111.8,68.6,171.4,54.3,2.5,9.6,54.6,119.6,9.7,42.5,221.1,291.7,761.4,966.4,10.5,6.4,22.1,19.4,24.2,84.2,125,81,7.9,27.6,45.7,0,1057.2,0,24.5,2.7,0.9,0,54.4,1359.7,0,6916.2
"DOM_20T21",144.3,15.1,13,0.8,51.2,40.6,52.2,53.4,17.2,582.3,667.4,62,92.5,50.4,18.7,67.1,70.4,151.8,8.4,43.4,76.4,120.1,112.6,62.3,6.6,5.1,2.9,9.2,8.6,43.1,79.7,15.2,8.3,125.4,22.2,0,725.8,0,653.5,95.5,-10.8,0,40.4,6262.1,0,10666.5
"DOM_22",45.9,41.7,23.3,0.1,114,16.5,18.3,30.4,2.2,42.3,1148.6,83.2,48,352.2,315.3,132.5,158.5,2463.7,33.6,106.6,47,533.4,137.2,75.2,8.4,1.9,1.1,11.1,3.5,49.1,105.8,5.5,2.7,7.2,9.8,0,224.5,0,32.3,121.8,-16.9,0,7,6535.5,0,13080.1
"DOM_23",19.1,7.6,9,1.1,59.9,34.8,28.7,3.1,5.2,36.2,20.2,1037.8,71.3,47.6,39.2,26.7,43.2,63,6.3,31.9,32.5,2070.7,43.2,11.1,8.3,1.8,1.5,5.3,4.7,69.4,45.4,5.8,1.9,4.2,9,0,217.3,0,18.6,70.3,-3.2,0,5.1,2863.9,0,7079
"DOM_24",10.3,8.9,2.8,2.3,11.1,2.3,8.4,10.6,5.3,18.4,47.2,42,1087.6,1202.5,91,318.6,742.4,928,71.6,185.2,91.6,905.8,48.1,31.1,2.2,1.3,1.5,3.9,3,18.9,20,11.4,2.9,4.6,6.9,0,73.1,0,30.8,103.5,14.3,0,5.7,5668.1,0,11845.3
"DOM_25",33.3,66.2,11.9,1.2,65.1,17.7,79.2,30.9,17,85.8,106.7,69.5,277.9,2174.7,109.2,244.5,1444.2,571.2,56.1,328.7,110,1289.3,330.3,64.2,7,3.8,3.2,23.5,7.7,132.7,177.1,66.6,7.6,16,21.9,0,312.7,0.1,58.4,834.4,-2.5,0,8.4,7169.2,0,16432.7
"DOM_26",7.7,2.8,0.5,0.1,9.1,2,2.4,4.8,3.1,7.5,13.5,2.3,10.7,12.5,1220.4,152,111,92.7,6.3,30.4,23.5,49,39.9,27.3,10.5,9.5,60.1,47.9,33.1,14.2,48.8,12.2,17.6,23.1,13.4,0,349.6,0,127.3,923.9,8.6,0,33.4,10806.8,0,14371.3
"DOM_27",29.9,23.9,2.7,0.5,25.2,6.8,6.3,9.8,14.5,17.5,67.5,13.7,73.3,72.8,58.8,519,227.9,1088.2,29,214.3,151.5,456,194.1,43,18.8,2.2,3.2,23.9,4.7,74.7,66.4,23,8.7,8.8,17.3,0,482.1,0,49.1,845.7,18.4,0,18.5,7802.1,0,12813.9
"DOM_28",62.2,82.7,5.4,1.9,32.1,7.5,16.1,15.6,19.2,41.5,42.1,47.2,142.6,159.5,43.3,55.7,315,231.6,40.6,144.5,138.7,364.5,133.4,48.8,10.3,4.5,2,16.9,4.8,73.3,101.8,19.5,4.8,16.9,26.6,0,142.4,0.1,81.3,3539.6,89.3,0,5.6,9338.6,0,15670.4
"DOM_29",93.3,6.6,2.7,0.1,16,4.8,3.7,2.6,6.6,12,173.1,65.3,23.2,54.7,107,1161.6,218.3,6299.8,118.4,58.8,81.7,175.5,1041,734.8,7.7,2.1,7.6,14.1,22.3,36.2,138.5,35.9,4.7,11.5,18.3,0,1675.9,0.1,351.2,2808.2,113.7,0,33.8,28977.8,0,44721.3
"DOM_30",8,7,0.5,0.2,5.4,1.7,1.7,3.5,6.1,4.4,2.2,1.9,16.1,14.7,4,5.5,50.2,25.1,361.2,22.3,10.4,20.9,22.7,65.3,2,0.4,0.4,4.5,1.6,15,11.9,87.7,1.1,2.1,3.8,0,252.7,0,141.4,610.3,9.2,0,0.5,1216.1,0,3021.8
