"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",3635.9,39,6.1,0.6,31394.8,789.3,2189.9,127.9,0.7,61.9,552.4,4.4,116.1,9.9,4.1,4.1,14.9,58.8,8.8,148.4,22.7,173,15.3,44.2,1509.4,2.2,3.7,4.3,7.8,148.3,441.9,854.4,58.8,474.8,111.5,0,17154.1,0,49.8,1003.5,-7.1,0,114.4,7488.8,0,68843.7
"DOM_05T06",21.5,97.9,6.8,2.1,30.5,10.1,9.6,48.7,421,186.3,22.6,132,1763.5,26.3,6.8,11.3,78.8,35.7,4.7,11.5,2153.3,47.9,101.1,57.6,12.1,5.2,11.6,8,28.5,55.4,49.7,50.3,31.6,41.7,17.4,0,728.1,0,93.9,39.5,-19.8,0,7.2,1331,0,7779.2
"DOM_07T08",14.7,17.6,52,1.1,18,3.2,8.7,33.1,112.4,542.1,15.2,774,2608.4,108.3,9.3,33.5,84.6,38.2,5.3,49.4,361.1,872.4,61,34.3,4.5,1.8,5.9,4.9,13,45.9,35.1,41.5,6.2,8.3,7.9,0,268.5,0,53.3,128.1,-8.4,0,1.1,1421.8,0,7897.4
"DOM_09",4.6,3.2,4.8,1.2,1.5,0,0.3,1.5,1.5,1.5,2.9,1,0.8,0.1,0,0,3.5,0.1,0,0.6,13.1,22.3,0,1.3,0,0,0,0,0,0,1.8,2.7,0.7,0,0,0,0,0,64.9,0,-0.2,0,0,591.5,0,727.3
"DOM_10T12",8115.2,5.8,6.7,0.9,34959.2,243,112.2,529.2,346.9,4283.1,266.8,140.7,161,173.7,105.3,134.1,306.9,310.1,71.2,272,736,732.6,4196.8,472,14373.4,147.9,77.3,92.1,291.2,443.7,1686.1,3503.4,1315.7,3782.2,2167.6,0,84830.5,16.4,7521.1,534.4,73.3,0,946.1,48462.9,0,226946.7
"DOM_13T15",22,2.8,1.1,0.2,74.1,868.4,32.3,47.7,22.5,103.3,133.6,21.2,22.5,44.1,32.9,50.5,88.3,470.2,35.2,362.7,51.3,128.6,315.8,69.2,30.7,15.5,9.2,13.3,24.4,22.7,91.6,124.9,28,112.4,51.6,0,14309.9,0,70.7,314.1,-23.9,0,670.5,9707.3,0,28573.7
"DOM_16",53.5,50.1,21.5,1,119.5,46.5,5640.9,361,27.7,258.3,80.4,112.8,68.7,301.9,116.6,107.8,380.2,374.3,119.4,2231.5,177.2,4409.1,279.5,82.5,61.5,10.5,31.2,7.1,29.1,935,292.6,141.4,115.1,59.6,486.5,0,2396.1,0,51.5,3634,-297,0,26.3,6032.4,0,29435.1
"DOM_17T18",72.7,16.2,24.1,0.7,1577,257.8,173.7,15309.7,72.3,2186.7,639.4,398.1,169,553.5,700.7,787.9,848.6,921.9,102.6,906,366.4,633.1,5247.1,722.8,320.8,5355.2,678.3,264,1718,636.6,3332.5,1357.9,504.4,419,492.3,0,8042.3,0.1,186.4,308,-194.7,0,96.4,20344.7,0,76550.1
"DOM_19",1452.8,124.4,246.9,15.5,745.4,240.5,113.3,256.3,5311.8,6243.7,433.7,975.3,2990.7,249.2,151.4,363.5,458.7,534.6,294.2,287.1,2357.2,3090.3,3662.6,15483.2,280,228.5,116.6,182,157.1,921.6,1252.7,2418,326,360.1,568.8,0,28843.9,0,827.9,349,-10.6,0,70.8,21624.1,0,104598.8
"DOM_20T21",1283.9,87.6,99.8,5.1,1254.9,1158.7,639.4,1863.9,1030.7,19955.7,8277.8,1118.9,2516.4,996.4,676,703,1516.8,2546.6,402.4,784.1,641,2623.1,1554.6,731.6,378,154.2,143,343.8,457.3,752.8,1436.3,779.4,198.8,1500,835,0,20858.8,1.1,9209.6,6627.5,-219.8,0,354.5,129125.1,0,225403.6
"DOM_22",173.2,74.9,60.2,4.3,1527.1,349.2,195.8,992.1,158.8,1565.2,5985.2,352.4,773.5,1137.4,711.5,1479.7,4181.5,9970,789.8,1570.7,603.8,8873.5,2703.5,568.8,235.8,45.9,87.3,63.2,112.3,412.1,779,394.4,61.6,391.4,131.5,0,7180.7,0.2,455.8,2579.7,-198.9,0,36.4,36307.4,0,93878.2
"DOM_23",242.5,14.4,89.8,3.2,551.5,76.5,761.7,45.7,97.3,1011.2,441.8,5471.3,869.1,605.8,494.6,619.1,669.5,1663.4,183.8,655.8,889.4,16302.1,425.3,192.2,131.3,12.1,117.9,18.6,59,566,483.2,360.9,31.7,107.4,149.6,0,4928.3,0.1,199,3787.4,-269.3,0,18.6,12467.9,0,55546.6
"DOM_24",51.7,12.9,22.2,6.9,127.4,31,48.4,181.7,103,389.8,338.5,313.9,11017.6,11611.7,700.7,4888.1,11498.2,9208.9,1227.7,1992,833.3,5691.9,579.3,334.4,33.1,21.3,45,38.4,78.5,161.5,229.6,128,35.3,91,48.8,0,1409.8,0.1,390.7,1270,-519,0,16.4,73117.3,0,137806.9
"DOM_25",274.6,102.8,89.5,9.8,1264.2,196,284.4,150.7,320,1123.9,1335,368.9,4455.4,22066.4,1551.8,3258.9,14238.3,15560.2,1526.9,5115.6,1957.9,13414.7,1684.1,963.5,192.1,50.3,116.1,89,100.1,886.4,626.7,570.9,103.7,211.9,132.1,0,7281.7,0.1,358.8,18613.1,-1349.3,0,37.8,38165.8,0,157500.9
"DOM_26",36.8,7.3,7.8,0.7,186,34.4,32.9,152.2,133.7,232.7,87,61.1,196.4,197.1,2944.5,1050.4,983.6,752.7,117.5,669.3,393.5,412.8,670.6,245.7,60.7,151.4,395.4,352.5,202.1,219.1,613.8,395.5,76.3,173.5,105.7,0,10247.4,0.9,3640.5,11937.9,-1070,0,64.9,53644.7,0,90819
"DOM_27",132.5,32.8,33.2,2.8,479.7,86.3,75.3,168,306.7,483.8,288.5,243.7,1007.2,852.5,832,13845.6,6102.6,4392.2,723.7,1809.6,2743.6,8951.1,1135.6,816.6,147.6,50,245.4,190.5,129.6,707.4,452.7,297,58.1,192.6,335.9,0,11942.9,0.3,765.7,14469.5,-1122,0,62,59277.1,0,133747.6
"DOM_28",1125.3,193.9,200,27.8,829.7,308.6,124.9,452.9,349.6,1034,572.6,470.2,2593.4,3100.3,607.6,2696.3,33008.2,14573.8,1731.9,3075,1574.5,4096,1724.4,969.2,172,86.1,300.2,381.9,226.8,1004.1,758.9,472.1,91.4,534.1,140.5,0,5575.2,0.8,1901.8,55575.4,-4120.9,0,97.6,160706.9,0,299345.1
"DOM_29",211.1,25.7,44,6,214.2,73.6,54.6,98.2,69.7,222.4,218.3,150.8,264.3,541.1,160.1,500.7,6438.3,89533.9,475.9,441.5,501.5,964.1,3254.8,4263.5,71,85.8,137.6,210.2,282,366.8,1071.9,580.7,105.5,244.9,108.6,0,56715,2,4883.4,49839.4,-3228.9,0,360,213306.5,0,433870.7
"DOM_30",10,4,3.5,0.4,40.1,9.9,15.7,29.1,18.5,61.2,21.5,28.9,121.5,123.7,67.7,110.4,330.3,230.5,1480.9,62.6,96.6,142.5,104,826.3,11.5,7.9,34.4,26.1,25.5,114.5,255,715.2,8.1,35.2,12.7,0,1376.3,0.3,1672.4,5248,-756.3,0,16.4,35081.7,0,47824.9
"DOM_31T33",114.1,75.1,74.9,9.7,853.6,288.9,491.1,694.4,208.4,1407.9,432.9,679.8,3096,1877.6,1179.4,1107.7,3291.7,4114.6,341.1,2837.3,1773.7,613.8,581.3,2669.1,259.3,78.7,666.4,130.6,137.6,2733.3,422.4,788,203.7,4274.7,335.5,0,24760.2,0.2,2866.6,22252.9,-788.3,0,296.5,24700.7,0,112932.9
"DOM_35T39",1585.3,438.9,477.8,19.8,2215.6,1085.8,834.5,4496.8,1292.7,5813.2,4241.7,3085.1,12612.7,4252.5,964,1464.7,2846.3,3601.3,624.7,1121.9,32501.1,2549.4,8583.4,5765.8,1490.6,607.2,1238,625.2,2693.2,10038.2,4576.8,5272.4,1946.7,4920,2438.5,0,54667.6,4,25601.1,12490.9,13009.6,0,19.4,6173.5,0,250287.9
