"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",1279.3,0.8,0.1,0.1,4030.2,40.3,58.7,2.8,1.6,17.7,4.3,3,1.9,5.7,1.1,0.9,5.9,0.4,1.5,18.2,70.5,23,18.6,9.2,205.6,9.5,1.2,2.5,3.1,3.7,66.8,25.2,12.5,30.7,30.9,0,2147.6,0.1,139.6,276.1,89.3,0,54.8,3681.2,0,12376.1
"DOM_05T06",2.9,102.2,0.2,7.9,28.4,0,0,1,3364.7,109.3,0,7.5,35.3,0,0.1,0,0.1,0,2.7,0.9,1264.3,14.1,0.4,7,14.5,1.5,2.1,0.5,0.6,20,16.1,1.9,2.1,22.7,19.6,0,7.8,0,0,46.5,92.5,0,0.1,6429.3,0,11626.9
"DOM_07T08",3.2,0.4,3.7,0.3,2.6,0.2,0.4,1,0,16.3,0.5,51.1,18.9,1.6,0.1,0.1,2.8,0,0.5,0.1,31.2,118.5,0.2,0.1,0.4,0,0,0.1,0.1,2.9,1.1,2.3,0.5,0.4,0.2,0,37.6,0,0.6,0.5,0.3,0,0.1,143.2,0,444.1
"DOM_09",15.1,41.1,3.2,3.2,2.4,0,0.3,0.5,1.4,0.4,1.3,0.6,0.1,0.1,0,0,1.8,0,0,0.5,10.1,30.3,0,8.1,0,0,0,0,0,0,1.5,1.7,0.6,0,0,0,0,0,67.7,0,0.1,0,0,39.5,0,231.7
"DOM_10T12",1050,1.3,0.3,0.2,3048.3,7.3,4.9,11,8,117.1,15.5,5.6,1.6,5.9,2.7,2.5,10.4,1.3,3,11.2,23.6,48.4,149.4,81.5,1063.9,14.9,3.8,8,18.1,19.8,91.4,140.9,72.6,194.3,195.7,0,6428,0.8,550,48.9,36.2,0,170.2,11620.8,0,25289.7
"DOM_13T15",4,0.2,0,0,5.5,81.8,1.3,2.8,0.1,5.8,7,1.4,0.3,2.6,1.6,1.1,5.7,1.5,1.9,29.2,1.6,14.2,12,13.6,3.1,0.9,0.4,0.6,1.3,1.2,4.4,5.6,2.2,7.1,4.5,0,613.1,0,17.8,46.1,2.2,0,48.6,1059.7,0,2013.9
"DOM_16",5.3,1.2,0.5,0.2,12.6,1.5,284.3,3.9,0.3,5.9,10.4,14.7,1.6,29.5,11.6,6,36.2,11.5,11.1,244.5,22.7,1273.5,14.5,5.3,4.8,1.1,1.2,0.9,1.2,3.8,19.6,3.5,2,3.1,10.9,0,140.5,0,5.5,67,24.9,0,4.7,764.2,0,3067.6
"DOM_17T18",17.8,1.6,1.3,0.2,159.6,12.4,13.3,470.8,0.7,35.3,37.5,26.6,2.3,25.9,19.8,9.8,27,3.3,2.6,32.8,23.1,22.9,177.4,17.4,26.1,232.9,33,30.3,73.1,49.8,379.9,57.6,38.5,29,56.7,0,439.1,0,134.7,463.5,-0.3,0,22.8,906.6,0,4114.7
"DOM_19",82.9,0.7,4.3,1.3,24.8,4,3.4,2.5,53,12.2,3.4,29,14.1,13,1.2,1.1,8.6,1,2.1,8.5,52.9,137.4,47.2,2045.8,7.8,2.1,0.9,2.2,4,8.6,30.5,28.9,6.9,5,10,0,1152.9,0,0,0.4,5.9,0,37.1,1805.8,0,5663.6
"DOM_20T21",88.5,6,1.7,0.5,91.3,33.2,10.8,24.1,24.7,400,136.9,25.5,13.9,28.8,13.7,17.1,37.7,6.6,10.4,34,8.8,81.8,23.7,25.3,25,13.4,3.4,6.9,9.6,10.4,63.4,47.9,24.5,67.3,30.3,0,922.6,0,1818.2,557.1,20.5,0,41.1,8334.5,0,13140.9
"DOM_22",17.8,7.7,2,0.8,145,15.8,25.2,40.9,8.9,64.8,211.6,39.6,8.4,75.6,70.2,32.1,118.3,14,20.2,99.6,23.4,632.5,342.8,29.7,15.1,12,8.1,7.6,10.6,9.5,61.1,60.6,34,91.7,37.7,0,308.9,0,54.2,85.2,19.9,0,4.6,2164.7,0,5032.5
"DOM_23",6.5,4.7,4.5,0.7,42,3.8,80.3,2.2,6.8,15.3,25,211.7,10.4,35,25.2,13.9,128.2,9.4,11.1,21.3,20.1,2140.2,24.9,31.3,9.7,3.2,5.3,3.4,6.9,45.9,14.5,15,4.3,11.7,6.4,0,233,0,16.3,70.8,20.3,0,0.8,1158.1,0,4500.1
"DOM_24",4,2.3,0.3,0.2,13.2,0.8,7.7,8,0.8,5.2,10.4,8.4,28.2,124.7,15.3,34.8,145.8,7.1,10.2,32.5,14.3,150.4,15,6.7,2.3,1.1,1.8,1,2.1,7.2,5.9,6.4,3.1,6.5,3,0,49.4,0,3.1,33.8,28.9,0,0.5,1611.9,0,2414.4
"DOM_25",44.2,31.1,3.4,2,117.6,10.6,119.2,12.9,8.9,51,98.9,94.4,52.1,871.3,120.9,143.5,1139.5,51.9,78.1,212.7,64.4,1704.9,125.2,88.6,15.3,7.3,18.8,9.6,20.9,119.1,49.1,75.7,18.4,24.6,19,0,348.1,0,17.2,396,138.8,0,3,2463.7,0,8991.9
"DOM_26",6.5,1.7,0.2,0.1,8,0.9,1.6,4.5,0.9,4.9,4,2.4,2.2,14.8,149.4,30.5,80.8,1.8,4,10.4,21.3,83.6,27.6,30,2.3,13.2,16.4,10.2,11.7,53.3,39.9,29.5,10.5,16.3,15.4,0,583.5,0,289.3,862.8,-5.6,0,24,3830.1,0,6294.8
"DOM_27",4,3,0.1,0.1,5.1,1.5,1.7,1,1,3.8,3.5,2.4,3.5,31.1,68.6,104.5,267.8,4.7,8.8,17.4,26.5,202,22.1,18.9,2.3,5.3,14.3,2.5,3.8,27.5,13.3,19.2,3.5,6.4,19.9,0,277.1,0,24,210,43.4,0,6.8,1921.7,0,3404
