"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",2071,0.3,1.9,0.2,20165.5,359.2,864.1,619.3,5.2,364.7,185.4,16.1,65.3,10.3,5.2,6.2,8,9.7,7,28.5,13.7,318,1358.1,19.9,1861.7,13.5,3.8,1.7,4.6,18.6,93.4,97.1,34.7,66.3,53.7,0,14292.1,0.2,34.5,878.4,58.7,0,359.3,8224.9,0,52599.9
"DOM_05T06",1.1,0.1,5.2,0.7,16.2,0.4,0.3,0.5,100.2,46.2,0.5,4.7,466.8,0.8,0.2,0.3,0.4,0.8,0.2,0.9,892.1,14,9.6,16.3,3.7,0.5,0.6,0.3,1.6,1.3,3.7,9.3,1.1,5.4,2.6,0,46.4,0,6.9,18.3,-0.4,0,2.1,33.9,0,1715.9
"DOM_07T08",6.7,0.5,97.6,0.6,27.2,3.2,1.6,8.4,1.1,387.9,2.4,1373.5,3749.5,51.1,1.4,12.5,1.9,4.8,2.8,10.8,20.9,795.5,31,7.3,10,2,1,2.8,0.8,24.9,10.7,1.7,0.8,2,1.6,0,83.6,0,21.6,49.6,1.6,0,1.5,661.7,0,7478.6
"DOM_09",8.3,0.9,4.8,0.5,1.6,0,0.1,0.4,0.8,0.5,0.6,0.8,0.2,0,0,0,0.3,0,0,0.2,5.7,24.3,0,0.3,0,0,0,0,0,0,0.9,0.6,0.2,0,0,0,0,0,10.7,0,0.3,0,0,123.9,0,187.1
"DOM_10T12",5009.3,2.4,14.4,0.3,26163.5,281.9,72.5,145.1,67.7,1007.8,82.7,138.4,103.3,90.7,38.1,50.1,64.6,77,31.5,110.3,203.5,544.3,1590.2,151.2,20477.8,99.2,24.4,16.7,52.6,33.8,359.2,571.1,242.3,789,1136.7,0,50156.4,10.1,1044.4,285.2,57.8,0,1501.7,13742.7,0,126642
"DOM_13T15",101.6,11.3,2.2,0.6,130.4,6338.9,33.9,132.9,4.8,229.2,209,59.8,30.1,34.5,18.5,35.2,46.2,525.8,71.2,348.6,86.3,326.4,404.8,98.9,203.9,56.6,12,7.2,3.8,6.9,137,172.2,26.9,267.7,260.9,0,12200,0.1,57.4,105.7,35.8,0,697.7,7737,0,31270
"DOM_16",90.8,62.7,145.6,0.4,140.5,37.3,3262.9,374.6,1.9,131.4,51.5,226.2,22.9,293.1,19.5,114.1,42.6,72,54.2,2195.2,37.7,3309.7,199.2,230.3,111.2,36.4,10.7,1.5,3.1,71.8,173.7,11.7,3.7,24,154.7,0,530,0,9.2,88.8,9.6,0,55.8,1131.6,0,13543.9
"DOM_17T18",71.9,4.2,19.9,0.3,1726.7,184.8,139.4,5428.1,54.4,630,174.6,300.6,75.9,200.7,80.9,115.8,93.4,160.5,34.7,241.5,420.7,417.6,1936.1,385.7,583.7,3221.8,350.6,210.1,685.9,69.6,1873.7,760.3,562.4,352.9,652.2,0,1924.5,0.1,252.6,183.5,6.3,0,149.3,3441.8,0,28179.7
"DOM_19",543.6,38.6,214.3,5,509,42.1,113.4,92.2,3805.2,1784.3,146.3,542.1,755.3,145.3,28.9,48.8,82.1,59.2,55.5,90.8,2994.1,517.4,857.3,7162.2,340,60.1,96.7,7.3,94.2,68.4,578.3,299.2,235.9,185,191.1,0,8642.3,0.1,61.7,14.9,30.1,0,468.5,5653.9,0,37660.8
"DOM_20T21",1216.8,22.6,113.6,1.8,835.1,862.5,236.7,680.2,842.7,8130.4,2634,971.9,751.4,695.5,170.7,402.9,218.9,640.9,121.8,442.7,460.3,1918.6,800.4,213.9,204.8,125.9,19,20.8,30.6,27.7,384.5,146.9,91.2,1067.1,234.7,0,5671.4,1.1,7115.5,231.6,56.7,0,253.5,19064.8,0,58134
"DOM_22",198.6,8.3,32.3,1.4,1592.5,255.8,75.6,214.7,9.1,636.8,2793.7,228.6,198,429.7,225.7,913.2,360.9,2561.6,184.9,654.1,151,1621.2,494.3,607.7,310.4,55.7,94.5,6.5,9.3,21.1,367.2,40.7,16,138,135.4,0,998.2,0.1,79.5,199.1,27.7,0,6,5749.2,0,22704.2
"DOM_23",70,10.9,48.8,1.4,816.6,46.5,39.3,24.1,16.6,325.2,63.7,4565.1,308.3,395,166.2,170.6,184.1,533.7,67.9,127.4,223.7,23607.4,419.5,105,237.3,22.5,28.1,2.7,5.3,41.4,201.7,36.2,17.5,87.5,101.9,0,978.9,0.1,85.2,159.3,19,0,8.3,4978.4,0,39348.4
"DOM_24",24.7,2.3,49.9,2.7,160.4,14.6,16.9,184.1,37,180.8,97.6,296.9,6261.3,7818.2,295.8,2483.9,1893.3,2506.8,472,1120.1,343.6,7143.1,264.3,82.4,14,8.9,24.2,2.4,6,15.7,42.6,18.1,6.9,17.9,23.9,0,143.5,0.1,74,65,22,0,4.9,9902.8,0,42145.2
"DOM_25",882.5,48.2,383.4,3.8,1609,158.4,219.4,170.9,64.7,443.6,308.2,973.8,1396.6,4549.4,290.2,1408.9,3074.8,2406.7,471.9,1705.4,1090.5,12058.5,702.8,399.4,289.5,52.8,7,31.6,26.8,64.9,759.3,136,47.1,79.2,230.2,0,1444,0.1,79,5234.2,273.3,0,9.7,5138.3,0,48723.8
"DOM_26",12,0.5,4.6,0.1,61.2,16.9,11.2,25.7,10.4,36.7,25.8,30.4,20.7,54.7,522.5,141.1,84.1,151.6,29.3,100,55.3,260.1,181.1,47,43,57.5,314,54.4,30.4,3.1,181.7,59.4,19.3,161.9,72.6,0,1326.5,0.4,497.1,2582.4,52.7,0,113.9,5818.3,0,13271.6
"DOM_27",19.5,2.5,12.5,1,161.3,32.2,20.1,27,24.6,117.6,49.9,131.1,219.1,106,470.9,2269.7,996.8,825.6,197.5,412.4,589.9,5499.2,196.6,98.4,122.5,62,346.2,19.3,14.9,26.8,239.2,52.5,39.2,79.6,136.6,0,758.7,0.3,152.6,2893.4,161.8,0,95.2,5928.7,0,23610.8
"DOM_28",241.5,15.7,333.8,3.4,223.6,149.4,93.4,95,72,100.8,100,803,221.8,652,53.1,154.6,839.2,236.6,173.8,279,600.7,1928.1,443.5,209.9,58.1,31.6,30.4,6.6,7.5,11.7,209.8,523.1,37.6,36.9,121.7,0,1862,0.3,190.9,6866.2,281.7,0,8.7,8868.9,0,27177.4
"DOM_29",14.8,0.7,6.2,0.1,32.3,4.8,4.5,7.2,4,19.3,11.2,37.3,20.1,50.3,20.1,14.8,26.5,9443.7,51.9,66.7,132.7,118.5,4398.2,814.5,25.9,7.7,2.8,5.9,5.3,7.4,295.4,92.8,2.8,18.1,15.6,0,8945.1,0.4,213.3,9029.7,348.5,0,113.2,34543,0,68973.1
"DOM_30",12.8,1.4,4.1,0,19.2,6.7,4,4.9,6,6.9,7.1,12.7,9.6,16.3,13.4,13.9,43.6,31.7,1124.5,10.1,16.6,61.5,106.7,251.7,6.6,3.6,3.3,6.7,1.5,1.4,49,231.7,2.6,4.9,6.9,0,532.9,0.7,668.3,2420,88.2,0,2.1,7857.3,0,13673.2
