"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",245.6,0.1,0.1,0,359.9,5.6,283.5,30.1,0.1,0.4,0.3,0.4,0,0.9,0.1,0.2,0.4,0.1,0.1,15.2,3.4,4.1,7.3,4.1,14.9,0.2,0.2,0.1,0.2,0.7,4.7,2.1,2.1,1,1.1,0,314.6,0.3,1.5,27.5,1.1,0,13.4,296.2,0,1643.9
"DOM_05T06",2.4,12.8,0.1,0.2,5,0.1,0.4,0.3,45.9,20.9,0.1,4.5,0.2,0.3,0,0.1,0.1,0,0.1,0.5,122.4,0.9,0.7,1.2,2.3,0.1,0.3,0,0,1.8,1.8,0.2,0.2,1.9,2.9,0,6.3,0.1,0.2,2.2,0,0,0.2,8,0,248.2
"DOM_07T08",0.2,0.3,8.3,0,0.9,0,0.3,0.1,0,11.1,0.1,34.9,9.4,0.2,0,0.1,0,0,0.1,0.1,1.3,54.4,0.5,1,0.1,0,0,0,0,1.1,0.5,0.9,0.1,0.1,0.1,0,2.4,0,0.3,3.7,0.4,0,0.2,37.5,0,171
"DOM_09",0.6,0.7,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,2.8
"DOM_10T12",47.6,0.2,0.2,0,168,1.3,2.4,1.1,0.2,3.9,0.8,0.8,0.1,1.7,0.4,0.5,0.4,0.2,0.1,1.7,8.9,5,21.2,6.1,48.1,0.6,0.3,0.3,0.5,1.2,4.9,5.1,2.7,5.1,5.9,0,1019.5,1,7.4,3.5,0.9,0,35.4,581,0,1996.1
"DOM_13T15",1.2,0.1,0,0,1.4,49.2,2.4,0.5,0,1.1,2,0.2,0,1.3,0.4,0.3,0.5,0.8,0.2,12.3,1.2,4.9,5.2,2.7,1,0.2,0.2,0.1,0.1,0.4,1.9,2.2,0.6,2,1.4,0,137.3,0,0.4,1.6,-0.2,0,16.1,404.5,0,657.6
"DOM_16",3.8,0.5,0.1,0,2.9,0.7,302.8,1.3,0.1,1.3,5,9.8,0,4.1,0.6,1.9,1.5,2.2,0.8,87.6,12.8,220.7,12.3,17.5,1.6,0.3,0.8,0.3,0.4,7.8,4.1,0.8,0.5,0.6,1.2,0,22.8,0,1.1,7.9,1.3,0,3.3,858.9,0,1604
"DOM_17T18",3.4,0.2,0.4,0,13.4,1.8,7.8,46.5,0,2.2,2.4,1.9,0.1,2.5,0.5,0.9,1.3,0.4,0.1,2.7,1.4,3,19,4,2.4,65.9,7.7,7.9,4.9,0.6,52.6,2.9,6.4,2,10.4,0,17.5,0,0.2,0.6,-2.1,0,4.1,248.7,0,548.2
"DOM_19",3.7,0.2,0.5,0,0.8,0.3,0.8,0.3,0.2,0.8,0.3,0.5,0.1,0.6,0,0.1,0.2,0.1,0,0.6,2.2,4.7,1.9,20.2,0.3,0.1,0.1,0.1,0.1,0.4,1.2,0.8,0.6,0.4,0.4,0,86.5,0,0.2,0,1,0,3,119.5,0,253.7
"DOM_20T21",19.9,1,1.5,0,7.3,11.9,11.1,7.8,0.9,75.2,23.6,5.7,0.8,10.6,0.9,2.8,2.2,1.9,0.6,7.2,7.6,14.3,11.9,3.1,1.7,0.4,0.2,0.1,0.3,1.6,6.7,1.3,3,3.9,3.9,0,65.2,0,6.6,1.1,0.2,0,5.2,412.4,0,743.5
"DOM_22",3.3,0.5,0.1,0,12.1,1.8,4.7,3,0.1,3.5,27,6.8,0.1,4.3,2,3.3,2.5,3,0.5,8.2,4.7,50,17.2,6.5,1.5,0.1,0.1,0.3,0.3,1.3,2.9,1.8,0.8,1.7,1.2,0,17.4,0,0.2,10.6,0,0,0.2,245.1,0,450.8
"DOM_23",3.7,0.5,0.2,0,6.7,0.3,10.7,0.6,0.2,1.2,10.9,49.9,0.2,9.9,0.3,3.8,0.6,0.4,0.4,3.8,2.5,250.3,13.3,12.3,1.8,0.4,0.3,0.4,0.2,3.5,4,2.3,1.1,0.8,1,0,34.4,0,2.6,14.3,-0.8,0,1.5,209.3,0,660
"DOM_24",0.2,0.1,0.1,0,0.3,0.1,0.1,0.2,0,0.1,0.1,0.1,0.5,5.3,0.5,2.6,0.9,0.2,0.1,1.2,0.5,6,0.6,0.4,0.1,0,0,0,0,0.2,1.1,0.4,0.1,0.1,0.1,0,0.6,0,0.6,0.3,-0.1,0,0,41.1,0,64.8
"DOM_25",13.5,3,1.7,0,15.3,1.8,13.9,4,1.4,7.7,7.3,14.8,1.2,220.9,9.7,35.6,48.1,9.1,2.6,31.6,16.1,175.9,18,26,2.5,0.2,0.2,0.4,0.5,4.7,15,12.8,0.9,1.1,2,0,25.5,0,0.7,60.5,3.7,0,0.5,710.3,0,1520.8
"DOM_26",0.4,0.1,0,0,0.5,0.1,0.4,0.1,0,0.2,0.1,0.3,0.1,2.2,11.3,2.8,0.5,0.3,0.1,0.6,2.2,3,3.2,1.4,0.4,0.1,1,0.1,0.1,0.3,0.6,0.4,0.1,0.2,0.2,0,20.3,0,0.3,20.4,0.2,0,5.6,594.8,0,675.2
