"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",1355.9,0.2,2.9,0.1,2622.1,18.7,1917,2210.5,1.1,10.3,41.1,8.4,12.5,4.4,76.1,2.7,9.3,0.3,4.1,4.3,66.4,36.8,30.9,66.5,126.7,19.6,2.4,13.7,4.8,10.9,26.9,55.1,30.3,36.6,8.9,0,2472.9,0.5,86.9,449.5,51.6,0,39.9,615.8,0,12555.8
"DOM_05T06",0,0,0,0,0.3,0,0.2,1.3,62.7,2.2,0.1,0.6,8.2,0.1,0,0,0.1,0,0,0,16,0.2,0.1,0.1,0.2,0,0,0,0,0.2,0.1,0,0,0.4,0.2,0,0.2,0,0,0,0,0,0,3,0,97.1
"DOM_07T08",9,0.2,126.5,0.3,8.4,0.2,2.2,73.7,0.6,210.7,2.7,339.2,521.1,1.6,5.6,0.5,19.6,0.2,4.7,12.4,9.4,662.1,5.3,4.5,0.9,0.5,0.5,0.5,0.7,30.1,7.1,2.7,1.3,2,1.7,0,16.6,0,6.7,20.3,-0.1,0,0.7,216.8,0,2329.9
"DOM_09",0.4,0,0.4,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,26.4,0,29.9
"DOM_10T12",458.8,0.3,5,0.1,2056.6,8.8,25.4,113,20,109.3,15.3,10.6,14.6,35.4,75,12.6,61.6,1.6,10.2,18,27.3,160.9,208.4,52.1,1145.5,16.9,18.9,27,20.2,37.1,185.5,184.4,65.4,218.4,226.3,0,7958.4,1.7,209.3,89.1,3.9,0,95.6,1589.4,0,15593.7
"DOM_13T15",1.9,0,0.5,0,6.3,82.1,3.8,19.5,1.7,6.4,7.4,2.1,4.2,7.3,12.4,1.9,8.7,1.5,6.6,33.9,4.5,24.5,40.2,5.9,5.2,2.1,1.6,1.6,2.4,2.6,11.9,16.3,2.7,17.8,12.1,0,890.9,0,3.9,29.2,2.6,0,27.7,689.6,0,2003.8
"DOM_16",7.3,0.3,6.3,0.1,20.2,3.3,1063.5,344.4,3.5,18.3,16.7,25.4,12.3,41,31,10.7,33.3,3.5,35.2,149.4,152.3,3343.9,40,22.5,14.2,4.3,5.9,7.6,7.9,192.1,51.8,25.1,20.5,5.5,19.8,0,97.4,0,11.9,67.4,7.8,0,4.9,3139.8,0,9068.3
"DOM_17T18",43.4,0.6,25.1,0.2,284.1,27.6,70.3,4320,45.7,165.9,103.5,58.3,87.8,50.1,172.3,21.5,102.8,4,15.2,34.3,134,199.3,768.1,151,88.9,841.7,375.4,72.2,90.6,96.1,457.5,378.6,263.8,195.3,207.8,0,681.4,0,28.9,58.3,-31.5,0,13.3,13377.3,0,24080.5
"DOM_19",371.6,1.8,106.3,1.1,93.4,16.1,24.7,130.2,1248.5,633.5,30.8,77.2,292.5,23.8,8.6,11.1,25.4,4.2,17.3,21.6,356.1,426.3,174.8,2379.1,45.3,6.4,16.9,6.2,50.4,105.5,153.1,193.1,70.9,68.5,103,0,1715.5,0,6.5,9.4,32.2,0,30.5,4642.4,0,13732
"DOM_20T21",298.6,0.7,27.6,0.3,79.5,54.9,95,800.8,315.4,1326.9,514.7,76.1,153,79.4,49.2,63.1,36.9,7.7,40.3,36.2,176.4,238.8,79.8,67.9,26.8,10.7,8.6,10,10.3,26.8,105.8,33.6,15.8,100.7,60.9,0,923.3,0,502.7,35.9,14.5,0,20.3,5767.7,0,12293.7
"DOM_22",5.1,0.5,13.6,0.2,152.9,17.5,28.8,69,20,45.6,250,37.2,48.7,43.6,49.8,27.6,133.3,22.9,40.8,83.6,13.2,979.4,168.3,110.1,24.2,4.7,4.1,5.1,9.4,18.3,92.5,63.4,34.7,9.9,47.5,0,399.7,0,9.1,37.2,2.8,0,2.8,1813.7,0,4940.6
