"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",15818.5,0,0.2,0,38689.5,327.5,2202.8,239.1,5.9,188.2,649.5,2.4,70.9,1.4,0.3,0.5,2.8,0.9,9.7,3.5,39,558.3,200.9,11.4,3448.8,24.5,1.4,2.2,9.2,10.7,127.9,292.8,103.5,236,190.6,0,30104.5,9.8,485.3,759.3,388.4,0,274.4,19762.4,0,115255.2
"DOM_05T06",0.9,0.1,0.1,0,0.6,0.1,0,0.2,57.8,6.9,0.4,0.2,1,0.1,0,0.1,0.1,0.2,0.2,0.2,18.7,1.1,2.1,5.3,0.5,0.2,0.2,0.1,0.1,0.4,1.4,0.4,0.1,0.7,0.7,0,8.3,0,0.9,0,1.4,0,0.1,834.6,0,946.6
"DOM_07T08",51.6,0,205.6,0,26.5,0,2.1,38,1.9,844.8,8.6,1126.3,589.9,32.7,2.7,7.3,18.4,0,5.7,37.1,83.5,2509,76.8,25.3,0.3,0.5,0.4,0,0.9,106.1,48.7,0,0,2.2,1.4,0,141.4,0,0,0,-9.3,0,0,763,0,6749.3
"DOM_09",0.3,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,1.9,0,-0.1,0,0,51.8,0,55.5
"DOM_10T12",10488,0,2.8,0,30291.6,125.8,22.6,162.5,83.6,1794.6,46.9,34.1,11,20.5,5,6.8,13.1,14.1,32.7,51.9,242.3,284.8,2857,170.1,17033.6,99.7,12.8,33.8,106.2,153.8,1291.4,2120.8,985.2,3325.5,2089.9,0,88837.9,139.8,6901.2,2.3,95,0,1343,36593.2,0,207926.9
"DOM_13T15",42.3,0,2.1,0,28.7,1721.5,8.6,60.9,4.2,150.5,120.7,18.4,6.7,34.2,19.3,19,25.5,254.2,92.3,304.4,17.6,182.2,604.2,47.7,71.5,18.5,2.1,0.7,28.8,6.5,116.4,182.6,2.8,209.2,155.8,0,7074,0,0,0,5.8,0,1119.3,9655.9,0,22415
"DOM_16",436.2,0,16.3,0,92.5,21.3,1958.4,323.3,2.8,106.8,79.5,319.4,17.2,121.6,55.2,43.1,93.4,612.7,135.3,1008.6,95.2,4636.6,328,92,85.6,322.5,132.8,13,5.4,234,167.9,6.9,43.7,15.9,216.4,0,925,0,0,0,-11.9,0,35,2058.5,0,14846.2
"DOM_17T18",93,0.2,25.4,0,1230.1,92.9,53.8,4204.2,46.9,825.1,245.5,194.3,38.1,72.7,112,109,91.6,107.4,84.4,213.2,256.6,360.8,2012.8,205.5,374.7,4681.1,462.5,239.9,997.5,230.5,3837.7,841.9,653.5,282.4,723.1,0,5906.2,0,0,0,-109.5,0,90.9,8006.2,0,37893.9
"DOM_19",1882.2,20.6,283.4,0.2,605.7,94.5,69,228.5,2736.8,6914.9,102.6,442,1141.9,164.1,65,70.3,156.8,268,344.3,270.5,1209,2672.7,4916.8,14029.5,380.4,475.4,452.2,322.9,289.8,119,2743,1009,320.8,311.3,627.3,0,20034.3,0,0,0,36.8,0,92.1,15070.8,0,80974.1
"DOM_20T21",2345.7,6.8,75.2,0.1,473.9,488.2,84.2,1011.5,837.2,9664.7,4401.3,260.7,698,746,121.1,424.9,322.1,799.2,361.6,713.1,2033,1679.7,859.3,98,119.8,380.2,68.2,77.3,16.6,499.5,744.8,169.8,127.2,702.5,246.7,0,9557.3,0,7993,0,-39.7,0,333.6,76684.3,0,126186.6
"DOM_22",231.7,0,46.2,0,1328.3,134.5,52.4,360.1,960.1,1205.3,1946.1,169,194.6,557.4,642.6,902.1,944.9,2992.5,793.8,1675.4,341.6,3691.6,2527.6,561.6,226.6,352.3,387.5,78.2,64.2,75.6,907.5,0,11.1,254.6,160.9,0,3730.7,0,0,0,-34.9,0,0,14834.1,0,43307.7
"DOM_23",228,0,108.6,0,502.7,26.9,58.5,77.9,46.1,576.6,134,3466.9,288.6,365.1,320.3,158,288.4,846.5,190.5,555.3,554.8,15027.7,847.6,175.9,150.1,8.5,56.3,20.3,0,165.4,885.4,29,222.3,590.8,138.2,0,1876.5,0,0,0,-6.4,0,0,4882.8,0,33864
"DOM_24",10.6,3.6,4,0.1,25,1.2,5,36.5,14.5,48.2,64.8,92.1,2809.4,3538.9,155.8,706,1277.5,1221.5,1020.2,670.9,212.3,3962.2,163.9,43.5,0.3,2.4,7,0.9,1.4,12,46.2,13.5,6.2,8.4,23.5,0,34,0,0,0,-266.3,0,0,34742,0,50719.5
"DOM_25",391.1,0,76.1,0.1,1141.5,76.3,230.6,444.9,816.6,1033,320,332.8,1396.4,8066.6,1017.1,1759.7,3395.2,4717.5,1630.2,4042.3,980.8,12595.5,683.9,443.5,194.4,112,296.1,117.6,4.6,349.3,1249.7,625.9,35.9,345.7,267.5,0,3026.5,0,0,4913.4,1779.5,0,0,11767.3,0,70677.3
"DOM_26",0,0,1.2,0,5.8,2.1,1.8,10.4,20.3,14.6,9.4,12.9,3.1,40.6,542.6,208.1,127.9,191.5,67.6,134.8,29.7,163.5,97.5,35.4,13.6,16,148.8,87.4,21.7,1.9,227.1,66.6,17.6,223.5,86.7,0,3606.5,0,1582.2,1374.7,-106.2,0,24.4,24230.7,0,33343.8
"DOM_27",9.4,0,5.3,0,23.5,5,10.6,53,85.5,82.9,25.1,31.5,67.6,223.9,301.7,777.4,341,489.2,263.3,264.6,143.9,1258.2,399.9,141.3,31.3,29.5,313.7,138.4,14.7,137.4,439.1,18.4,5.4,13.6,76.5,0,2859.1,0,0,997.1,225.3,0,16.4,20264.5,0,30584.1
"DOM_28",63.2,0,45,0,71.4,23.1,33.3,58.7,112.3,123.6,99.2,91.6,148.4,244.1,165.9,130.2,1268.4,1340.3,445.1,1334.2,366.7,1429.7,501.5,205.6,14.4,61.5,68.6,23.1,7.7,7.7,353.3,103.9,20.5,60.5,116.5,0,334.4,0,0,6807.5,1828.6,0,0,32835.3,0,50944.6
"DOM_29",40.1,0,5.4,0,7.4,2.3,2.6,5.4,20.3,18,3,14.1,6,16.1,8,7,229.2,3630.8,165.4,83.9,95.8,38.8,1414.1,223.1,9.1,30.1,25.2,9.4,9.1,3.4,131.1,80.7,8.9,49.3,70,0,21896.9,0,0,7594.3,743.6,0,125.8,45716.8,0,82540.4
"DOM_30",21,0.7,0.1,0,0.8,0.1,0.1,0.5,3.5,0.7,0.3,0.3,0.7,5.6,1.2,12.6,47.5,3.7,3164.8,6.2,0.7,109.8,57.1,543.4,0.6,0.7,0.3,0.9,0.4,2.3,333.2,1160.6,0.8,2.2,6.2,0,785.7,0,2055.6,2491.5,459.1,0,0,51071.8,0,62353.5
"DOM_31T33",2415.7,28.8,104.7,0.2,979.9,115.6,29.7,50.5,153.1,286.2,40.6,77.9,1793.6,711,359.9,189.8,824.6,2530.2,378.2,9381.9,191.5,2925.3,2897.7,1069.1,353,29.1,369.8,45.9,98,6.4,844.8,1605.2,28,1120.3,169.7,0,11267.3,0,1343.4,31183.8,-533.7,0,228.7,14250.8,0,89946.1
"DOM_35T39",1519.5,55.8,362.5,0.3,2534.2,547.1,448.3,2911.1,2664.6,5743.8,637.2,2443.8,5393,1456.3,519.3,439.4,648.4,1480.4,756,625.2,67898.1,2020.1,6888.6,2660.1,2589.4,3260.8,1962.3,635.8,853,1485.7,5364.5,6310.6,2935.8,2972.7,2360.2,0,40610.3,0,0,0,5434.5,0,0,4222,0,191651
"DOM_41T43",326.5,15.5,122,0.1,183.9,57.7,31,76.9,589.6,144.3,77.4,86.4,251.4,227,98.6,101.1,623.9,230.8,139.7,300.2,1917.7,49641.5,618.7,549,591.5,749.5,746.2,147.5,1305.2,5735.6,3030.5,4972.9,1897.2,734.4,1390.5,0,16023.9,0,0,284931.2,0,0,0,0,0,378667.2
"DOM_45T47",13130.4,16.5,630.9,0.8,34279.5,3284.1,1521.8,2827.1,4064.6,12744,4378.4,3200,3504.3,4222.1,2345.2,2426.5,3850.8,8077.8,4399.3,6240.5,7169.7,19256.3,40800.5,12478.5,11182.1,4065.7,1768.3,1486.5,2040.3,1369.3,9939,4516.3,1629.7,6000,4647.4,0,149616.4,68.7,17305.2,19705.8,4378.8,0,2091.9,100342.3,0,537003.2
"DOM_49T53",1634.9,7.8,323.6,0.3,4963.6,500,281.9,773.8,1327,2420.2,631.4,939,1481.7,898.7,430.8,428.5,721.6,1388.5,826.4,1047,1509.9,4244.2,18715.4,25439.9,1587.6,1552.2,1899.6,1059.4,1844.1,569.1,7110,4326.5,1393.4,1481.7,1500.1,0,52294.7,14.3,55310.4,2044.6,-26,0,2434.1,51462,0,258794
"DOM_55T56",153.9,2.7,18.6,0.1,250.5,45.1,35,103.3,41,259.4,100,86.1,112.6,204.4,49.6,59.2,139.6,164.1,273.9,321.1,668.5,1058.8,3460.4,2229.9,745.3,493.7,174.9,914.4,1517.1,1516.8,8637.9,2187.3,1462.8,4473.3,1261.5,0,55967.8,140.2,23282.9,0,0,0,22238.6,0,0,134852.4
"DOM_58T60",156.7,0.7,2.1,0,388.2,12.7,12.4,31.1,58.9,131.2,28.2,25.2,10.9,49,67.6,30.6,50.6,45.9,64.8,58.4,222.3,298.6,1686.3,323.9,211.7,3517.9,768.4,1663.8,3637,248.7,5091.8,1536.6,1010.7,495.9,1436.4,0,16784.6,0,12728.2,14197.3,7.2,0,646.3,4174.1,0,71913
"DOM_61",48.5,2.7,36.5,0,285.5,89.2,19.8,130.5,205.5,341.4,56.4,83.7,97.5,136,90.9,119.8,205,154.7,222.3,198.9,470.5,933.2,8577,1305.4,470.1,836.2,18377.5,2140.4,6929.5,615.4,9256,1699.2,797.8,1095.3,1090,0,31056,0,0,0,-37.3,0,468.6,4881,0,93486.6
"DOM_62T63",1.1,5.5,18,0,351.5,62.4,47.6,164.3,388.3,405.8,118.6,88,138.7,183.9,416.4,112.7,187.6,102.3,222.4,228.8,611.5,896.6,3234.2,679.8,336.5,859.2,1233.2,10264.3,6042.6,484,4891.6,1421.9,342.9,513.6,575.3,0,1643.9,0,0,56683.4,-27,0,7.6,5359.2,0,99298.2
"DOM_64T66",2494.9,47.8,185.6,0.2,1621.3,390.4,198.4,780.3,876.8,1677.9,337,505.1,1621.5,752.2,548.9,389.3,752.6,741.8,1321.5,859.9,2209.3,6821.7,19918.2,9558.5,1449.6,1411.9,3633.5,1082,81156.3,26285.4,19239.2,4415,1059.3,3661.8,2597.4,0,60963.9,0,0,0,-45.4,0,775.9,17376.5,0,279673.5
"DOM_68",19.6,14.1,34.7,0,748.8,241.7,125.4,368.5,287.7,763.3,159.5,337.4,146.1,286.2,155.5,62.6,291.3,151.7,496.8,271.6,420,1132.6,22869.9,3300.2,4194.9,1164.4,1566.7,2472.8,7643.8,12145.4,18869.5,2459.6,845.8,2484.9,1638.5,0,283229,0,24835.9,7233.3,0.1,0,1620.8,1294.3,0,406384.7
"DOM_69T82",2223.9,141.3,426.3,0.9,6747.8,899.2,965.4,3782.8,3653.5,7940.5,3681.3,3795.2,1773.9,5490,2295.2,2276.8,4319.6,5501.8,3759,5564.4,10808.1,34319.8,59500.3,20191.6,5636,7140.3,7920.8,8455.3,25644.5,11444.2,141618.1,17596.5,9032.9,11491.5,9484.1,0,19903.1,0,36886.3,87869.4,-394.5,0,792.1,65032.9,0,655612.3
"DOM_84",203.6,3.4,12.9,0,268.4,44.2,146,339.3,339.3,413.9,127.3,245.5,585.1,281.5,92.8,88,164.8,246.1,95.9,210.8,3041.6,1221.3,2100.5,630,287,343.7,246.3,328.2,842.8,746.5,3556.3,1792.8,353.7,478.3,331.2,0,10585.4,2.6,242264.6,2097,1796.4,0,116.9,902.1,0,277973.9
"DOM_85",31,0.7,1.6,0,36.1,5.2,15.7,27.1,36.2,82.5,38.8,31.5,9.5,50.8,27.8,28,44.4,83,15.1,68,119.7,210.4,489,328.7,43.1,47.6,92.2,110.2,263.5,102,642.1,169.7,1219.9,395.1,84.3,0,14651.4,395.4,135845.4,129.8,0.8,0,7974.9,200.9,0,164149.4
"DOM_86T88",50.2,3.6,20,0,1941.7,69.2,53.5,420,1441,980.2,364.9,250.4,314.5,662.3,215.8,258.7,540.8,970.4,264.2,763.2,1476.2,4591,5118.2,3664.4,981.1,1023.3,1438.2,1629.5,10578.2,659.1,13389.3,536.5,109.3,12274.8,1337.6,0,170993.7,47903.2,1355.1,348.7,1.6,0,622.5,497.5,0,290113.7
"DOM_90T96",113.5,2.4,39.6,0.1,352.2,63.6,28.9,95.6,243.9,264.4,85.7,117.5,474.9,120.4,107,118.3,300.8,946.6,245.5,673.9,528.9,841.7,2104.5,801.1,802.6,535.6,379.8,288.9,798.4,218.5,2673.8,443.6,186.4,268,4128.8,0,21374.9,8119.5,60800.3,3974.8,88.5,0,1515.9,1481.5,0,116750.9
"DOM_97T98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5315.6,0,0,0,0,0,0,0,0,5315.6
"IMP_01T03",1991.8,0,0.4,0,5982.1,51.6,53.1,8.2,4.3,22.7,101.8,2.3,3.9,3,1.1,1.5,2.6,6.3,4.4,6.8,16.5,79,22.2,11.6,431.4,5.8,3,1.9,6,3.2,29.8,13.3,7.8,10.1,17.5,0,4049.7,0.2,25.9,130.4,51.4,346.3,0,0,13511,0
"IMP_05T06",32,80.5,9.1,0.8,276.1,1.8,1.2,24.2,43603.9,2769.5,4.2,54.6,844.4,4,1.6,1.8,6.6,8.2,47,72,14758.4,64,232.3,281.3,292.1,29.9,41.2,4.6,4.7,234.5,329.4,30.3,20.3,379,312.3,0,414.9,0,67.9,23,5.2,21,0,0,65389.9,0
