"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",2999.1,13.4,3.2,3.3,14935.2,125.3,257,16.3,3.1,66,45.6,11,44.5,23.3,12.9,7.9,15.7,21.3,17,20,48.4,467.3,264.7,150.6,1128.9,19.9,15.6,20.3,67.6,10.9,94.8,55,57.9,57.7,37.6,0,17102.5,7.2,169.8,1231,48.4,0,171.3,3509.9,0,43378.4
"DOM_05T06",25.1,1037.3,27.8,120.1,311.6,17.2,18.4,75.4,13487.3,1298.6,28.8,95.6,325.1,54.9,21.9,18.1,27.4,43.2,32,48.3,11977.6,500.3,1229.4,617.6,261.2,57.7,46.5,35.4,146.2,159.9,473.9,211.4,172.1,365.5,237.2,0,3415.2,1.5,1159.8,2062.4,312.2,0,237.6,33534.3,0,74328.6
"DOM_07T08",25.9,3,220.9,11.2,42.4,2,2.2,29.7,3,572.2,8.7,816.4,500.9,5.9,6.4,2.9,3.9,13.5,7.2,46.1,53.6,2434.5,105.9,57.1,21.7,4.5,3.7,2.1,7.5,105.6,45.3,79.6,16.5,10.9,18.8,0,215,0.1,34.2,26.5,-26.8,0,9.5,4337.4,0,9887.8
"DOM_09",255.3,2450.3,370.3,299.4,88,0,4.5,26.5,34.3,28.2,42.5,18.8,10.2,1.8,0,0,24.9,0.5,0.4,10.5,629.7,1211.9,1.7,40.2,0.2,0,0,0,2.5,0,94.5,109.4,35.8,3.1,0.9,0,0,0,1465.3,0,1.5,0,0,381.9,0,7644.9
"DOM_10T12",1639,19.8,10.1,3.1,10547.8,55.2,17.7,121.7,26.6,922.1,146.3,56.9,73.6,84.5,55,42.6,63.4,113.3,56.2,65.2,169.8,387.1,1162.9,171.9,8930.9,83.6,34.8,39.2,166.3,72.5,566,912.1,398.6,1041.9,1185.1,0,80622.9,31.8,1118.5,616.5,62.6,0,894.8,16644.1,0,129434
"DOM_13T15",16.7,5.6,3.3,1.4,53.1,442.2,6.9,54.1,1.8,79,52.6,21.2,16.1,17.1,12.9,9,28.7,80.6,36.8,198,26.5,218.6,294.3,54.8,67.2,23,16.4,11.1,41.3,7.8,71.5,104.8,41,86.6,60.8,0,9032.2,0.1,18.7,217.8,19.1,0,384.3,5968.6,0,17903.5
"DOM_16",42.8,44.9,21.1,5.5,112.9,24,2131.9,97.7,1,62.8,33.2,106.4,19.9,212.8,34.3,32.2,68.2,262.6,89.4,884.2,25.7,4750.1,195.1,54.1,119.6,26.1,23.9,15.3,70,56.9,177.4,36.4,198.9,27.7,68.1,0,957.6,0.1,12.6,419.9,26.2,0,34.5,871.8,0,12455.7
"DOM_17T18",332.6,18.1,39,4,1650.7,118.6,106,5780.9,19.8,545.8,492.9,282.3,51.8,208.2,119.2,101.9,186.9,159.2,82.7,245.4,295,651.5,2384.6,592.8,579.3,3799,296,265.9,3379.8,393.3,1687.3,2901.8,2017.7,1499.8,739.3,0,5447.9,0.4,70.8,503.1,-10.2,0,93.6,5216.2,0,43350.9
"DOM_19",724,256.4,187.6,45.4,363.9,54.9,68.2,77.4,1058.8,572.3,116.9,153.1,450.3,105.4,50.6,78.2,154,53.4,107.4,117.5,603.5,574.7,2258.9,3804.3,238.2,80.9,261.1,170.7,439.9,27.5,827.9,860.9,292.3,207.3,278.1,0,17250.5,0.1,0.4,54.9,98.5,0,61.1,15310.1,0,48497.6
"DOM_20T21",659.1,173.7,98.3,21.6,769.8,512.1,103,817.9,115.3,9912.5,2559.6,600.3,572,497.9,238.6,422.5,209.2,1252.7,259.5,333.5,297.2,1397.3,1009,463,655.7,293.7,115.1,109.6,267.9,76.4,1125.9,506.8,499.9,949.1,509.3,0,12978.2,11.2,6302.4,3215.2,133.3,0,327.7,55467.7,0,106840.8
"DOM_22",210.4,29.8,64.3,19.3,1507.4,146,98.8,314.1,10.2,751,1860.3,151.3,186.6,334.9,206.7,171.9,510.6,2427.2,497.7,562.1,103.1,5003.7,2020.6,970.7,343.9,60.9,912,108.8,257.3,43.3,357.4,264.9,198.4,299.7,157.8,0,2908.9,0.6,27.6,940.1,60,0,23.4,9483.1,0,34606.5
"DOM_23",162.3,70.6,139.2,16.6,552,34.5,100.1,26.2,3.8,247.1,274.6,1985.8,232.6,163.2,362.6,105.5,66.5,656.6,136.5,84.1,142.1,11436.6,1060.5,273.5,283.1,47.3,81.9,17.7,21.7,18.7,118.5,437,467.6,93.1,183.4,0,2683.3,0.3,37.6,229.6,15.5,0,9.4,3548.7,0,26627.6
"DOM_24",19.9,66,10.8,14.7,127.5,12.7,11.8,119.3,11.5,133.3,78.6,68.6,2081,2447,265,689.5,1178.8,950.2,455.2,553.3,286.9,2696.9,283.7,111,112,20.6,41.1,21.5,60.9,34.1,156.5,112.5,38.7,66.9,42.8,0,1197.8,1.3,131.8,494.6,-8.2,0,86.9,20982.3,0,36267.7
"DOM_25",210.4,472.2,101.9,47.8,1161.9,89.7,237.2,169.8,147.4,466.2,725.4,363.4,1136,5128.8,839.2,868.7,3977.8,4309.1,910.8,1212.8,769.9,6694.1,904.6,442.3,324.7,52.4,140.1,62,148.3,83.9,335.9,2260.8,216.9,203.6,93.6,0,3955.4,3.5,46,7776,431.7,0,28.2,9810.7,0,57361.2
"DOM_26",47.8,109.6,25.5,12.5,240.7,30.9,27,51.7,16.2,163.1,93.7,51.9,211.6,250.8,1468.1,234,436.6,546.3,125.1,1065.5,485.3,1057.1,388.5,360.4,229.1,46,362.9,79.9,104.6,37.4,323.1,652.8,119.7,328.2,99.6,0,5070.9,4.8,132.8,3187.4,-24.1,0,30,17523.9,0,35808.8
"DOM_27",38.1,61.2,15.1,6.3,96.8,12.2,9,19.2,5,40.3,40.9,20.2,117.6,109.6,758.8,486.9,306.3,462.3,215,793.3,1512.2,913.4,561.8,290.9,95.1,30.8,206.5,67.5,84.5,32.4,239.5,329.3,83.4,58.9,110.6,0,3666.2,0.7,21.2,2179,108.5,0,27.6,8672.8,0,22907
