"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",1962.1,0.4,0,0,4629,65.6,9.5,1.9,0.6,6.6,3.8,2.3,3.3,1.6,0.1,0.5,0.5,0.1,0.1,12.3,18.8,0.7,12,10.8,860.4,0.3,0.1,0,0.4,3.2,2.2,13.8,3.2,12.4,27.4,0,5906,7.6,12.4,68.2,0,0,142.7,2293.2,0,16096.2
"DOM_05T06",0,12.6,0,0.2,4.4,0,0,0,1.7,3.9,0,17.2,103.5,0,0,0,0,0,0,0.1,129.4,0.2,0.6,0.2,0.5,0.1,0.2,0,0,0.2,0.6,0,0,2.3,0.8,0,1,0,1.3,2.7,0.3,0,0,3.6,0,287.6
"DOM_07T08",2.2,0,58.3,0,1.7,0.1,0,1,0.1,14.7,0.2,87.7,1125.6,0.1,0,0,0,0,0.1,0.1,0.4,55.5,8.3,4,6,0.4,1.9,0.2,0.7,11.9,3.8,0.6,0.3,0.7,1.4,0,10.2,0,7.3,51.4,1.2,0,0.8,264.2,0,1723.2
"DOM_09",13.6,1.2,4.4,0.4,1.5,0,0,0.4,1.2,0.1,0.5,0.5,0.2,0,0,0,0.1,0,0,0.1,3.9,11.8,0,1.6,0,0,0,0,0,0,0.4,1.8,0.5,0,0,0,0,0,23.6,0,0,0,0,11.2,0,79.2
"DOM_10T12",593,0.4,1,0,1728.1,9.3,3.1,15.4,23.2,38.1,7.4,6.7,7.7,7.9,0.8,3,2,0.5,1,9.9,23.1,39.4,224.1,46.7,2727.5,8.2,14.6,1.7,10.4,38.2,53.8,126.3,39.8,106.1,114,0,11891.7,87.6,175,69.9,2.7,0,372.7,2829.5,0,21461.5
"DOM_13T15",4.5,0.2,0.3,0,16.9,55.9,0.9,4.7,5.1,3.4,3.4,1.7,3.1,3.7,0.3,1.3,1,0.2,0.7,4,4.8,15.1,49.2,9.9,13.9,1.7,4.8,0.3,1.6,1,11.2,6,0.9,6.3,3.9,0,1621.7,0.1,9,18.5,0.5,0,143.8,1426,0,3461.5
"DOM_16",4.3,0,0.7,0,16.2,4.8,226.8,4.3,2,114.7,4.5,8.4,2.1,79.6,0.6,3.4,3,3.1,1.5,174.3,38.3,115.6,2.6,4.2,22.6,11.5,0.4,0.2,0.3,0.3,1.3,16.8,0.2,2.1,0.6,0,60,0,2.7,15.3,-1.4,0,13.2,62.4,0,1023.6
"DOM_17T18",4.1,0.9,2.1,0,124.2,22.2,4.5,453.3,2.4,27.3,15.1,10.6,4.9,4.5,0.3,4.4,0.9,4.9,0.7,4.3,24.9,66,153.1,45.9,70.1,176.5,12,17.6,51.9,1.1,230.1,272.1,20.8,19.2,209.5,0,556.9,0,14.8,28.6,-2,0,33.5,137.9,0,2832.2
"DOM_19",841.3,11.6,66.5,1.1,138,34.5,16.9,30,1194.2,357.9,50.9,211.1,137.6,92.2,3.7,14.6,20.1,2.8,3.2,51.7,774.9,179.3,1083.9,2225.3,159.1,16.9,35.4,6.5,22,3.5,295,259,37.6,168.6,94,0,3632,0.1,11.3,27.5,19.1,0,119.1,4660.3,0,17110.1
"DOM_20T21",59.6,1.5,4.9,0.1,50.5,38.1,2.7,19.1,16,91.3,143.2,10.7,28.4,23.3,0.7,7.6,1.9,0.6,1.5,13,19.9,25.4,58.9,28.5,26.6,2.3,8.4,1,3.6,3.6,25.7,14,6.8,175.8,6.9,0,1168.9,0.2,1203.4,58.8,-2.2,0,48.3,1425.3,0,4824.9
"DOM_22",10.3,2.6,1.8,0.1,133.7,22,5.5,17.4,3.2,14.8,37.9,13.3,14.7,30.2,3.2,11,13.7,2.4,3.5,26.1,9.6,113.1,805.6,67.4,52.2,2.8,53.4,1.3,1.3,3.9,121,45.1,0.8,5.3,9.9,0,213.5,0.1,7.1,22.6,-4.1,0,4.6,527.7,0,2431.7
"DOM_23",3.1,0.1,0.3,0.2,89.7,7.3,1,2.1,3.9,18.6,7.8,663.8,27.5,10.3,1.1,41.5,7,2.3,1.9,15.4,4.4,2109.6,26.4,17.9,55.5,3.9,6,0.6,1.6,4.4,12.2,3.5,0.9,57,3.6,0,409.9,0.1,13.5,16.8,-2.4,0,4.7,447.7,0,4102.6
"DOM_24",5.7,1.2,9.4,0.6,41.1,4.4,2.5,19.1,7.3,15.8,21.1,37.3,710.7,681.5,10.6,205.5,98.3,18.5,20.1,130.9,48,949.8,83,20.6,14.6,2,9.5,0.5,3,9.4,17.5,27.9,2.2,5.3,8.5,0,121.4,0.1,17.1,83,-32.9,0,4.5,2978.9,0,6415.3
"DOM_25",10.6,5.7,5.7,0.5,175,21.2,10.9,21.8,6.9,70.1,74.1,39.2,176.5,385,11.7,94.8,70,22,14.2,136.2,57.9,1995.8,42.3,42.6,66.3,7.3,6.5,3.2,10.3,1.2,33.6,170.3,2.7,20,27.6,0,621.6,0.1,26.2,376.6,-58.5,0,7.3,778,0,5590.8
"DOM_26",14.6,0.8,2.7,0.1,18.9,3.6,0.2,0.6,1.3,2.1,0.6,2,16.6,3,5,0.8,2.3,1.2,0.6,4.3,14.3,38.1,10.4,52.8,11.4,8.2,1.5,8.7,1.4,0.1,7.3,22.2,5.6,24.9,8.3,0,169.8,0,18.1,301.4,-167.4,0,9.5,87.7,0,715.8
"DOM_27",5.3,0.8,0.9,0,15.6,2.7,0.9,2.4,4,3.9,3.1,9.5,15.4,10.2,12.9,48.1,8.3,1.8,3.3,5.5,54.7,150.2,236.7,35.7,17.6,19.8,16.8,4.2,0.6,0.2,35,14.4,1.6,14.7,3.7,0,516.5,0.1,12.8,252.2,-38.5,0,18.2,474.2,0,1996.4
"DOM_28",6,1.8,5.1,0,18.9,4.5,0.5,0.9,2.1,4,2.5,4.3,16.6,10,0.7,4.4,9.7,0.7,2.8,5.2,9.7,61.8,16,28.5,10.6,4.3,2.7,3.1,1,0.2,8.1,10.4,4.4,8.6,4.9,0,69.2,0,9.7,746.8,-180.9,0,2.4,509,0,1430.9
"DOM_29",0.9,0.1,0.1,0,1.9,0.3,0.1,0.1,0.4,0.4,0.3,0.2,1.1,0.9,0.1,0.4,0.3,2.1,0.1,0.6,1.9,6.6,3.2,5.5,1.5,0.4,0.6,0.4,0.2,0,1.4,1.4,0.3,1.2,0.6,0,271,0,1.5,80.5,-37.1,0,4.4,45.4,0,401.4
"DOM_30",8.4,0.5,1.5,0,9.2,1.8,0,0.2,0.1,0.9,0.2,0.5,8.9,0.9,0.2,0.3,1.3,0.4,5.6,2.1,6.4,19.3,4.6,70.4,4.6,3.2,0.5,4.7,0.1,0.6,4.2,30.1,2.6,12.2,4.1,0,64.5,0,19.3,384.3,-395.6,0,0.6,302,0,585.9
"DOM_31T33",72.1,4.5,13.4,0.4,107.3,27.6,24.1,4.5,3.9,27.2,9.7,11.9,93.2,49.4,1.8,10.9,16.9,5.5,4.9,56,70.2,361,29.7,259.9,61.2,30,5.5,41.6,2.5,0.5,35.7,161.2,22.4,176.2,53,0,1424.6,0.1,111.8,355.1,-66.1,0,134,368.5,0,4183.9
