"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",79.4,0.5,0.5,0,707.7,17.7,7.8,0.3,1.4,4.3,0.6,0.1,1.4,0,0.1,0.1,0.3,0.1,0,0.7,4.4,1.1,16.2,8.6,53.7,1.2,0,0.1,0.4,0.3,2.4,4.9,2.2,2.2,5.9,0,2178,0.7,1,101.1,45,0,76.7,29.4,0,3358.7
"DOM_05T06",0.1,1.8,0.1,0.3,1,0.4,0.3,0.2,182,3.5,0.2,0.3,3.1,0,0,0,0.5,0.3,0,0.1,33.8,0.3,1.4,1.5,0.6,0,0,0,0.1,0.2,0.5,0.3,0.4,0.4,0.7,0,383.2,0,0,114.3,54.8,0,0,0,0,786.7
"DOM_07T08",5.4,4,206.6,1.9,11.1,8,5.8,6.5,14.4,137.2,1.7,130.8,55.4,0.9,2.3,1.9,19.5,1.5,1.1,17.5,16,633.3,23.2,7.8,0.1,0.1,0.1,0.1,0.3,14.8,6.3,16.1,1.1,0.3,3.9,0,14.4,0,0,19,13.6,0,0,287.9,0,1691.9
"DOM_09",5.6,7.4,9.3,1.4,1,0,0.5,0.2,1.1,0.2,0.3,0.1,0,0,0,0,0.8,0,0,0.1,3.4,9,0,0.7,0,0,0,0,0,0,0.3,0.7,0.3,0,0,0,0,0,0.9,0,0.3,0,0,50.3,0,94
"DOM_10T12",617.1,0.7,2.5,0.2,10788.8,379.8,48,23,35.4,248.3,8,3.1,1.3,0.5,4,1.8,13.1,4.2,1.8,11.7,35.9,61.4,908.2,85.8,4424.5,15.6,1.8,5.3,47.2,15.4,157.1,408,197,324.7,479.4,0,15808.9,77.3,47.2,1.2,-5.9,0,500.4,868.6,0,36658.2
"DOM_13T15",19.8,8.3,10.6,1.4,229,2788.4,111.2,5.7,28.1,25.5,18,4.2,12.1,4.3,44.7,25.6,98.7,81.9,12.1,119.2,47.5,103.4,988.1,184.3,101.2,52.1,17.1,22.2,66.9,8.7,304.8,140.1,37.1,127.5,123.9,0,5903.6,11,12.2,213.5,144.2,0,417.7,2957,0,15632.9
"DOM_16",4.1,5.7,4.1,0.2,11.4,14.3,1511.2,14.7,3.7,7.7,4.9,4,0.6,1.4,6.7,3.4,22.4,18.9,4.3,171.5,17.4,483.6,48.6,7.6,5.9,3.2,0.5,1.1,2.1,45,25.5,5.8,6.1,1.3,15,0,3028.7,0.1,0.1,83.4,90.2,0,41.3,0.2,0,5727.9
"DOM_17T18",0.4,0.1,0.4,0,10.1,3.4,2.4,8,0.8,1.5,0.6,0.3,0.2,0.1,1.3,0.6,2.5,1.1,0.1,0.9,1.2,2.1,22.8,3.6,2.4,13.9,0.8,1.1,5.4,0.6,8.8,3.5,3.3,1.4,2.9,0,884.6,0,0.2,4.7,1.8,0,101.5,216.5,0,1317.7
"DOM_19",69.9,26.4,90.3,4.1,84.9,77.9,76.9,10.9,792,194.6,13.1,24.1,55.9,2.8,18.6,10.6,64.7,22.6,3.1,17.6,292.4,296.8,429.6,1825.7,33.4,9.9,9.5,11.2,76.5,28.2,310.1,125.8,41.9,33.4,50.6,0,821.5,0.2,2.8,0.4,0.8,0,31.7,158.1,0,6251.3
"DOM_20T21",32.5,10.5,20.5,0.8,77.2,380.6,133.3,32.2,190.4,607.9,205.9,15.2,26,4.1,55.3,24.5,68.1,43.9,6.1,33.4,30.6,98.3,92.1,24,8.9,11.6,0.5,1.1,6.4,15.3,71.6,41.8,22.2,390.3,41,0,1268.6,0.1,256.8,56.8,29.2,0,174.7,1319.4,0,5929.6
"DOM_22",2.3,3,4.6,0.3,56.4,37,21.2,5,5.9,16.2,52,2.7,2.7,1.4,34.6,14.7,67.5,63.2,2.8,17.1,6,106.9,81.6,31.1,6.3,2,2.1,1.1,4.1,3.8,29.1,6.2,3,5.5,6.3,0,281.6,0,0.2,34.5,13.7,0,0,734.2,0,1770
