"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",598.1,1.6,2.3,0.4,1052,12.3,60.7,14.3,0,10.6,0.4,0.9,0.4,0.6,0.3,0.7,0.5,0,1.7,1,2.9,13.4,33.1,6.8,95,2.5,2.1,1,4.8,2.5,19.7,9.4,4.7,3.3,5.2,0,1206.2,0,25.9,251,59.3,0,150.8,197.3,0,3855.7
"DOM_05T06",45.4,366.1,8.9,72.5,41.6,2.4,2.1,9.9,36.3,85,9.7,31.6,13.7,4.4,0.5,3.6,3.1,0.7,6.6,4.9,769.7,16.9,44.4,59.9,45,1.7,4.3,0.2,3.8,10.7,27.7,15.3,9,10.3,46.8,0,4.7,0,14.3,14.8,16.5,0,0,166.1,0,2031
"DOM_07T08",23.1,6.8,237.7,6.1,5.2,1,0.7,3.6,0.2,35.4,0.8,214.4,75.6,8.7,0.3,2.7,2.6,0,3,7.3,9.5,381.4,8.5,8.1,0.4,0,0.1,0,0.2,200.2,3.8,10.6,0.4,0.1,2.9,0,0.5,0,0.4,1.9,1.2,0,0,39.1,0,1305
"DOM_09",42.9,117.2,57.1,24.2,2.5,0,0.3,0.6,0,0.3,0.8,0.7,0.1,0,0,0,0.5,0,0,0.2,6.9,28.4,0,1.1,0,0,0,0,0,0,2.5,2.5,0.5,0,0,0,0,0,93.7,0,0,0,0,7.2,0,390.4
"DOM_10T12",150.6,3.1,4.4,0.8,246.3,6.6,9,4,0.1,28.5,9.8,3.8,1,3.5,1.8,5.1,3.1,0.5,4.5,9.3,4.6,40.1,47.4,29.5,179.9,2.1,1.8,0.3,1.6,4.2,10.2,19.5,4.2,25,16.3,0,2691.5,0.5,93.3,9.9,2,0,479.1,585.4,0,4744.1
"DOM_13T15",3.1,1,1.1,0.3,2.9,62.3,1.2,2.3,0,3.3,1.9,1.1,0.2,1.1,0.6,1.3,0.7,0.3,2.4,9.2,1.6,10.2,18.1,7.2,2.2,1,0.8,0.2,0.8,1,3.2,6.1,1.7,3.5,4.5,0,394.1,0,17.3,9.2,1.6,0,107.2,416.7,0,1104.3
"DOM_16",2.8,1.2,1.6,0.2,5.9,7.9,44.9,2.4,0,1.1,1.1,2.1,0.1,1.7,0.3,1.1,0.9,0.1,3.2,17.7,1.5,75.5,5.6,1.9,4.3,0.2,0.2,0,0.1,1.8,1,1,0.2,0.4,2.7,0,99.2,0,2.4,5.3,1,0,17.5,262,0,579.9
"DOM_17T18",0.6,1.5,3.7,0.3,34.4,3.4,3.5,79.8,0,11.3,3.3,5.1,0.3,2.1,1.4,3.5,2,0.1,1,3.4,3.9,9.6,31.8,12.3,8.9,33.1,5,1.7,8.9,1.1,22.3,11.9,4.9,2.2,8.3,0,268.5,1.2,78.5,1.5,-1.4,0,20.9,117.2,0,812.9
"DOM_19",0.9,0.2,0.4,0.1,0.2,0,0,0,0,0.2,0,0.2,0.1,0.1,0,0,0,0,0,0.1,0.4,0.8,0.9,2.8,0.2,0,0.1,0,0.2,0.9,0.4,0.4,0.1,0.1,0.2,0,98.5,0,0.4,0.2,-0.2,0,24.6,53.3,0,187
"DOM_20T21",53.8,6.2,8.4,1.1,40.6,10.4,5.2,10.2,0.1,133.5,27,9.5,6.9,7.2,2,6.8,3.2,0.3,5.2,5.5,24.8,28.3,34.2,12.4,15,2,1,0.1,0.7,4.3,16.5,44.6,3.1,165.2,9.6,0,557.5,0,13.5,3.7,1.2,0,52.6,332.7,0,1666.2
"DOM_22",1.9,4.8,7.5,1.1,38.1,6.5,3.6,6.8,0,14.7,32.2,6.1,1.2,7.6,5.4,17.1,10,2.1,8.7,12.7,4.1,85.2,34.7,19.4,7.1,0.2,0.2,0,1.8,1.1,11.1,6.3,0.1,6.1,3.2,0,114.4,0,0.1,6.8,0.2,0,9.2,44.8,0,544.2
"DOM_23",11.9,7.5,21.8,1.9,30.3,1.6,5.3,1.6,0,10.3,1.2,86,2.7,9.5,5.3,9.9,7.3,0.8,8.2,14.2,9.4,513,23.9,20.7,12.1,1.9,4.6,1.2,2.8,4.5,19.2,12.2,1.8,2.1,4.3,0,74.6,0,0.9,111.1,2,0,6.1,237.8,0,1303.6
