"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",2408,0.1,0.2,0.2,3619.1,20.4,84.2,7.4,4.7,12.1,47.7,3.2,6.7,4.8,6.9,3,10.4,13.6,0.5,11.7,38.4,17.2,210.9,27.7,182.7,1.7,1.9,4.3,2.7,11.3,30,10.6,3.3,19.1,7.2,0,2113.6,0.5,161.3,335.5,34.1,0,73.1,3379.5,0,12931.5
"DOM_05T06",1.6,0.2,0,0.1,2.3,0.1,0.1,0.3,16.5,3.8,0.5,1.8,9.9,0.8,0.5,0.3,0.9,1.7,0,0.3,16.1,1.6,3.6,1.1,0.9,0.2,0.2,0.3,0.3,1.1,1.1,1.1,0.5,0.9,0.8,0,8.9,0,2.9,17.2,1.3,0,1.1,20.8,0,123.7
"DOM_07T08",4.9,0,2.8,0.1,2.4,0.1,0.1,1.7,0.1,22.3,0.8,46.2,47.4,2.6,1.1,0.9,2.4,2.1,0,0.2,2.6,50.7,1,2,0.3,0,0.1,0,0.1,2.8,1.2,0.4,0.1,0.3,0.2,0,9.2,0,1.5,9.7,-0.2,0,0.4,61.9,0,282.7
"DOM_09",22.1,2.2,3.6,2.8,3.7,0,0.2,1.1,0.6,0.8,2.9,0.8,0.5,0.1,0,0,2,0.1,0,0.4,8.1,16.9,0,0.7,0,0,0,0,0,0,1.1,2.4,0.5,0.1,0,0,0,0,26.7,0,-0.1,0,0,46.7,0,147
"DOM_10T12",462.9,0.1,0.2,0.1,1030.9,12.3,2.6,11.6,10.4,56.7,20.4,5,5.2,7,14,7.4,13.1,19.7,0.9,5.8,12.9,13.5,138.1,17.3,736.6,5.4,2.1,8.8,8,7.9,32.5,44.1,12.7,43.3,74.3,0,6248.7,1.2,44.4,39.5,6.4,0,206,4034.7,0,13424.7
"DOM_13T15",2.5,0,0,0,2.7,64.2,1.1,1.9,0.4,3.2,5.9,0.7,0.4,1.4,4.8,1.4,2.5,41.5,0.8,11.2,1.1,2,13.1,4.2,1.3,0.8,0.3,0.5,0.6,0.7,2.8,4.9,1,4.1,3.5,0,305,0,2.5,12.3,0.8,0,67.8,1226.1,0,1802.1
"DOM_16",13.8,0,0,0.1,9.1,1.4,89.2,2.6,0.6,7.6,5.9,10.4,1.8,15,4,9.6,11.8,17.4,0.7,64.2,12.9,96.5,26.5,6.3,4.3,0.4,1.2,0.6,0.6,16.6,11.9,0.7,0.4,0.8,4.2,0,18.9,0,3.1,17.2,-0.1,0,5.3,558.6,0,1052.1
"DOM_17T18",15,0.1,0.7,0.1,119.4,7.2,12.2,497.5,0.8,38.7,30,9.1,2.9,9.3,27.6,27.7,12.9,12.3,1.3,18,4.5,6.8,232.5,21.8,24.8,246.7,3.9,6.1,81.8,8.4,89.7,83.9,24.6,11.4,23.7,0,205.2,0,5.7,21.5,-16.8,0,19.6,1193.1,0,3141.8
"DOM_19",302.8,3.1,7.4,3.7,135.9,15.6,10.4,24.2,882.7,695,73.7,58.4,81.3,30,47.2,31,56.9,74.6,5.9,23.5,281.1,137.7,482.2,1106.3,52.8,11.8,10.1,26.8,32.8,53.7,118.7,54,22.1,58.4,43.8,0,1787,0,32.3,98.1,-11,0,53.4,2619.4,0,9635
"DOM_20T21",285,0.7,2.1,0.4,60.3,31.4,13.8,49.7,51.8,479.4,364.7,57.9,41.8,24.1,45.3,84.9,50.6,79.4,3.5,29.6,40.1,47.7,109,47.5,11.7,4.9,3.2,6.8,5.9,22.3,59.7,12.3,10.9,161.3,24.4,0,516.3,0,427.9,162,-8.1,0,42,6249.8,0,9713.9
