"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",16862,53.7,0,11,46589.4,2235.4,3238.9,1545.3,0,492.8,619.8,4.9,0,15.8,3.3,0,0,0,5.6,185,11,549.8,1218.1,56.8,5343.2,10.6,1.7,2.2,4.6,12.3,76.6,192,151.1,87.2,343.2,0,61196.3,0,0,818,451.1,0,51.4,7067.4,0,149507.4
"DOM_05T06",0,4825.8,73.4,350.4,184.5,89.9,14.9,170.2,21356.9,631.9,93.9,141.2,1241.6,38.8,9.3,0,0,0,0,3.1,2850,0,154.6,33.8,7.5,3.5,7.4,0.5,5.2,9,19.5,0,0,58.7,176.4,0,0,0,0,326.2,325.9,0,0,42248.5,0,75452.5
"DOM_07T08",0,0,3491.8,418.3,327.5,0,0,0,0,4995.3,16.4,3919.5,4957.8,518.2,37.6,0,84.2,0,1.4,1,170.5,0,474.7,1,0,0.2,3.2,1.2,0.5,140.6,48.9,0,29.2,5.9,30,0,0,0,0,0,42.7,0,0,10732.5,0,30450.1
"DOM_09",690,3473.6,301.4,382.9,40.4,0,3.1,19.4,50.1,8.3,56.1,3,3.3,0.8,0,0,18.3,0.2,0.2,3.8,57,683.2,0.3,12.8,0.1,0,0,0,0.2,0,4.5,17.6,8.3,0.3,0.3,0,0,0,598.1,0,0.1,0,0,38.6,0,6476.4
"DOM_10T12",5718,0,0,1.4,12052.1,380.8,9.3,64.1,0,279.3,28,3,0,4.3,5.5,1.3,0,0,0,9.9,14.7,112.7,605.5,38.6,11182.9,11.4,2.8,1.7,24.2,6.2,30,249.9,0,235.7,979.7,0,76003,0,0,0,48.6,0,215.8,21597.7,0,129918.2
"DOM_13T15",205.7,13.7,18.5,24.4,36.9,14341.4,35.9,130.6,0,123.5,586.1,10.2,0,60.6,96.3,22.3,51.7,191.1,59,366.8,31.8,334.7,624.1,166.7,337.5,7.9,18.9,4.6,26.7,5.1,72.2,269.7,87.6,264.4,1762,0,13182.9,0,0,56.1,62.8,0,154.5,11969.8,0,45814.7
"DOM_16",121.5,0,0,7.7,60.9,64.4,1522.8,231.7,0,43.2,124.8,21.3,0,96.4,72.2,25,72.9,77.4,45.8,820,6.3,5342.1,163.5,36.5,72.3,13.8,5.4,2.3,1.7,71.7,26.4,20.6,28.5,5.4,286.2,0,723.2,0,0,0,6.1,0,7.5,2871.5,0,13098.9
"DOM_17T18",118.2,46.6,17.7,3.7,1185.9,261.4,60.8,4609.9,0,195.6,361.6,35.6,6.7,78.2,227.1,54.6,114.7,51.3,22.8,87.5,76.1,247.5,712.8,127.9,359,2572.7,83.8,31.3,417.9,19.1,144.1,212.4,271.8,86.2,598.2,0,2403.5,0,0,0,9.5,0,20.3,4910.6,0,20844.8
"DOM_19",6174.9,3394.8,1848.6,424.9,1253.1,895.2,202.5,529,13501.1,3300,870.8,334.4,716.2,504,528.7,201.9,551,242.1,442.1,257.7,1551.3,8570.3,3700.6,16019.6,1266.6,246.2,258.4,59.8,850.1,156.4,543.1,1163.5,511.1,331.3,2699.9,0,3755.5,0,0,0,21.3,0,42.4,3884.6,0,81804.9
"DOM_20T21",1719.7,419.9,180.2,29.1,390.4,1653.4,127.2,598.1,1179.4,3444.3,4983.3,76.8,151.4,273.2,567.9,168.3,209.9,166.6,134.2,154.7,91.7,1029.3,270.2,83.9,96.2,114.4,4.9,2.2,27.9,23.2,81.4,117.9,91.4,1014.6,550.8,0,6171.8,0,0,0,29.1,0,45.8,7825.5,0,34300.3
