"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",1140.2,0,0.1,0,4662.1,10.8,200.2,0.1,0,97.7,0.3,0.2,0.5,0.3,0.6,0.1,0.4,0.1,0,83.9,2.1,28.4,9.3,4.1,73.9,1.5,0.1,2.9,1.7,1.9,7.8,9.8,6.4,18.7,4.8,0,1713.2,0,5.7,24,11,0,48.7,2609.5,0,10783.1
"DOM_05T06",0,0.2,0,0,3.7,0,0,0,18.1,18.4,0,0,0.2,0,0,0,0,0,0,0.9,29.8,0,0,0.3,0.6,0.2,0.1,0,0,0.4,0.6,0,0,1.1,0.5,0,6.1,0,0,0,0.1,0,0,6.8,0,88
"DOM_07T08",3.2,0,3.7,0,5.3,0.1,0.1,0.1,0,17.9,1,35.1,5.4,0.6,0.5,0.2,0.7,0,0,4.1,0.9,63.6,2.5,1.6,0.4,0.3,0.1,4.2,0.2,0.7,0.5,1.3,0.1,0.2,0.2,0,9.8,0,4.7,73.7,11,0,0.5,925.4,0,1180.2
"DOM_09",0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.1,0,0,20.5,0,21.9
"DOM_10T12",1115.1,0,0.8,0,3823.7,2.2,4.2,4.9,0.6,3089.4,6.3,3.1,0.5,3.5,22.6,0.5,1.9,0.8,0.1,28.4,12.9,18.8,153.4,47.3,868.1,17.4,1.4,140,22,4.6,64,87.4,49.4,133.2,125.6,0,7382.3,0.9,317.9,20.6,47.4,0,152.6,15315.5,0,33091
"DOM_13T15",0.2,0,0,0,0.6,1.8,0.1,0.1,0,14.6,0.2,0,0.1,0.2,2.8,0.1,0.2,0,0,3,0.2,0.8,1.1,0.6,0.1,0.3,0,3.6,0.3,0,1.2,0.6,0.1,1.6,0.3,0,103.1,0,0,0.1,0.5,0,10.4,354.6,0,503.6
"DOM_16",7,0,0,0,5.7,0.2,34.2,0.6,0,2.6,5.4,1.4,0.1,1.5,0.7,0,0.5,0.1,0.1,357.8,0.1,77.1,1.3,0.4,1.1,0,0.1,2.5,0.3,2.5,3,0.2,6.7,0.4,0.3,0,45.9,0,0,10,4.9,0,4.4,506.4,0,1085.5
"DOM_17T18",5.4,0,0.9,0,35.8,1,1.3,181.6,0,64.7,1.5,1.7,0.2,1.1,10.3,0.3,1.4,0.4,0.1,24.6,4.7,8.6,30.5,4.8,3.5,1.1,2.9,22.4,41.4,2.4,32.1,35.6,130.6,1.8,8.6,0,181.9,0,0.2,45.4,41.7,0,8.1,1045,0,1985.4
"DOM_19",15.8,0,1.9,0,6.4,0.2,0.7,0.5,1.2,33.2,0.9,2.7,0.6,1.4,6.4,0.4,1.6,0.5,0,31.2,9.1,13.7,13.9,73.4,1,2.4,0.5,10.5,4.6,1.5,18.1,5.4,3.6,11.3,1.8,0,96.8,0,15.7,12.6,12.7,0,6.2,572.3,0,992.7
"DOM_20T21",70.4,0.1,2.7,0,29.2,5.4,12.2,8.1,1.5,2032.7,18.4,6.1,1.8,10.3,81,0.3,3.2,1.6,0.1,49.7,23.5,38.2,68.7,13.9,1.5,10.8,2,282.8,12,1,32.2,9.3,2.6,43.2,4.2,0,1037.3,0,895.5,1479.6,241.9,0,41.6,67541.1,0,74118
"DOM_22",1.8,0,0.2,0,15.5,0.4,0.2,0.8,0,23.7,15.1,2,0.3,1.1,10.5,0.9,2.2,0.8,0.1,20.2,0.2,21.8,2.1,2.2,0.6,0.2,0.7,7.9,0.4,0.1,1,0.9,0.5,2.1,0.2,0,46.4,0,0,5.9,6.1,0,0.6,1612.3,0,1807.9
"DOM_23",19.9,0,5.1,0,55.3,1,0.5,0.7,0,23.7,12,235,2,8.3,3.5,2.4,5,0.2,0.2,56,3.9,504.8,58.3,12.6,5.1,3.2,2,36.6,5.6,3.5,16.3,9.9,1.3,0.9,3.9,0,107.3,0,0,33.8,8.7,0,0.1,780.9,0,2029.5
"DOM_24",0.5,0,1.2,0,4.4,0.1,0.2,2.1,0,22.3,1.3,1.2,15.7,48.9,64.8,23,37.1,5.1,0.3,100.7,3.4,22.7,2.1,0.2,0,0.1,0.3,0.8,0.1,0.1,0.4,0.1,0.1,0.5,0.1,0,2.3,0,0,1,-0.4,0,0,526.8,0,889.5
"DOM_25",13.2,0.2,1.1,0,40,0.6,2.6,1.3,0.3,50.6,16.8,3.2,4.1,38.6,40.1,9.1,34.7,5.8,0.6,87.5,1.7,94.2,5.6,2.7,2,0.3,0.3,13.5,0.8,0.8,3.4,0.5,6.1,0.8,0.3,0,104.2,0,0,71.9,16.8,0,0.4,1881.9,0,2558.3
"DOM_26",2.2,0,1.2,0,6,0.1,0.1,0.1,0,144.8,0.7,0.6,0,0.8,1482.5,27.8,21.2,7.8,0,76.2,0.5,55.8,21.3,14.8,2.5,6,30.7,206.5,18.9,0.5,40.4,14,32,18.3,3.2,0,359,0,0,1778.2,880.9,0,28.2,9830.2,0,15113.8
"DOM_27",0.7,0,0,0,1.9,0,0,0,0,3.6,0,0,0,0.1,13.7,4.4,3.2,1.3,0,3.6,0.2,14.8,11.7,3.2,0.1,1.6,1.1,37.6,2,0.1,12.6,1.2,0.2,0.2,0.4,0,20.6,0,0,24.4,-3.7,0,3.2,961.8,0,1125.8
"DOM_28",1.7,0,0.1,0,3.7,0,0.1,0,0,6.3,0.4,0.2,0.1,3.3,29.1,0.5,8.6,1.4,0,5,0.1,13.6,1.6,2.2,0.2,2,0.3,58.3,1.3,0.1,1.3,0.2,0.4,0.6,0.1,0,9.1,0,0.1,109,29.4,0,0.3,3177.8,0,3468.6
"DOM_29",0.6,0,0,0,0.1,0,0,0,0,1.2,0,0,0,0.1,6,2.5,0.9,3.4,0,2.1,0,1,2.5,2.6,0,0,0,1.1,0,0,1.8,0,0,0,0,0,581,0,0.6,162.1,-172,0,2.2,211.1,0,810.8
"DOM_30",0.1,0,0,0,0.2,0,0,0,0,2.2,0.1,0,0,0.1,0.2,0,0.1,0,0,0.3,0,0.5,0.1,0.3,0,0.1,0,2.1,0,0,0.3,0.3,0,0,0,0,0.5,0,0.5,20,8.6,0,0,89.5,0,126.2
