"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",249.9,0,0,0,1083.3,1,0.1,0,0,1.9,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.6,5.1,2.1,52.5,1.8,0,0.1,0.1,0.2,1.2,3.1,3.9,4.1,4.2,0,90,0,7.9,11.4,0.6,0,12.4,192.7,0,1731.2
"DOM_05T06",0.1,0.1,0,0,0.8,0,0,0,0,0.2,0,0.1,1.1,0,0,0,0,0,0,0,6.9,0.1,0.3,0.2,0.4,0,0,0,0,0.1,0.1,0.1,0.3,0.5,0.3,0,0.1,0,0,0.3,0,0,0,0,0,12.5
"DOM_07T08",0,0,0.1,0,0,0,0,0,0,0,0,0.1,37.8,0.1,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,39.1
"DOM_09",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0.6
"DOM_10T12",51.3,0,0,0,356.9,0.4,0,0.1,0,2.9,0.1,0.1,0.2,0,0,0,0.1,0,0,0.2,0.6,1.1,14.7,3.6,123.3,0.5,0,0.3,0.6,0.3,2.3,7.3,9.5,17.6,9.2,0,664.4,0.1,8.7,0,6.9,0,45,2043.2,0,3371.4
"DOM_13T15",6.2,0,0,0,2.1,20.9,0.2,0.9,0,2,0.9,0.3,0.3,0.2,0,0.2,0.3,0.1,0.1,5.3,0.5,3.2,5.5,1.3,2.6,0.3,0,0.2,0.5,0.1,1.4,2.6,2.7,5.1,1.5,0,39.8,0,1.1,1,0.1,0,6.9,12.6,0,128.6
"DOM_16",0.1,0,0,0,0.1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.1,3.1,0.2,0,0.1,0,0,0,0,0.8,0.1,0,0.1,0,0.1,0,9.8,0,0,12.2,0,0,0.7,0.5,0,29.9
"DOM_17T18",0.2,0,0,0,1.7,0,0,11.4,0,0.3,0.1,0.1,0.2,0.1,0,0,0.1,0,0,0.2,0.3,0.5,3.8,1.1,0.7,7.7,0.8,1.1,2.1,0.6,4.9,2.7,8,2.2,2.3,0,112.5,0,0.2,0.1,0,0,3.2,5.8,0,175.1
"DOM_19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4
"DOM_20T21",4.6,0,0.1,0,3.5,1,0.2,1.6,0,5.2,2.3,0.7,8.2,0.4,0,0.4,0.3,0,0,0.8,0.7,2.5,1,0.7,0.4,0.4,0,0.1,0.1,1.1,1.2,0.7,1.5,18.3,0.9,0,45,0,27.9,0.9,0.1,0,3.9,105.7,0,242.8
"DOM_22",1,0,0.1,0,9.4,0.2,0.1,0.8,0,0.6,1.7,0.4,2.5,0.4,0,0.7,0.9,0.1,0.1,1.3,0.5,8,3,1.7,0.9,0.2,0.3,0.2,0.2,0.7,1.2,0.5,0.7,1.9,0.4,0,13,0,0.2,0.7,0,0,0,21,0,75.5
"DOM_23",0.9,0,0.1,0,4.6,0.1,0.2,0.1,0,0.6,0.2,9.3,5.3,0.5,0.1,0.5,0.6,0,0,0.8,0.7,79.5,1.8,0.7,1.1,0.1,0.1,0.1,0.2,3.9,1,0.8,1.7,1.9,0.6,0,22.3,0,0.1,0.7,0,0,0,5.1,0,146.3
"DOM_24",0.8,0.3,0.3,0,2.1,0,0.1,1.6,0,0.2,0.7,2.8,360.4,46.6,0.2,11.2,32.9,0.8,1.6,18.3,5.6,150,3.5,1.2,0,0.1,0.1,0,0,0.6,1.1,0.5,0.8,0.5,0.2,0,0.2,0,0,0,0.7,0,0,1365.4,0,2011.4
"DOM_25",2.6,0.1,0.2,0,11.4,0.2,0.4,0.6,0,0.6,0.5,0.9,30.7,8.5,0.1,1.9,7.8,0.2,0.3,6.2,2.2,41.1,3.6,2.3,1.3,0.3,0.2,0.4,0.4,2.6,2.9,3,2.3,1.4,0.8,0,20.5,0,0.2,57.8,0.9,0,0,5.3,0,222.8
"DOM_26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,4.3,0,0.1,1.1,0,0,0.5,9.7,0,16
"DOM_27",0.6,0,0.1,0,1.1,0,0,0.1,0,0.2,0.1,0.2,6.1,0.5,0.2,8.4,3.3,0.1,0.1,3.1,3.4,18.7,2.8,1.8,0.7,0.5,2,1,0.3,1.8,2,1.3,1.9,1.8,0.8,0,3.4,0,0.4,9.4,0.3,0,1,27.3,0,106.8
"DOM_28",5.1,0.3,0.7,0,5.2,0.4,0.2,1,0,0.4,0.4,1.1,13.7,1.4,0.1,1.2,16.6,0.2,0.4,5.9,2.8,17.5,4.7,4.6,0.5,0.5,0.5,0.7,0.7,1.1,4,7.3,2.9,2,0.8,0,1.8,0,3.3,55.1,1.5,0,0,117.5,0,284
"DOM_29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0.5,0.2,0,0,0,0,0,0,0.1,0.1,0,0,0,0,5.6,0,0.1,0.7,0,0,0.2,3.9,0,12
