"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",676.4,1.1,0.3,0.1,3016.3,0,74.4,0,0,23.3,0,0,0,0,0,0,0,0,0.9,0,9.1,8.7,29.2,1,260.9,1.5,0,0,0.2,7.2,25.6,36.7,13.9,17.7,9.4,0,2720.3,0,0,438.4,22.5,0,64.4,2318.7,0,9778.2
"DOM_05T06",6,21.1,0.3,3.3,8.7,0.5,0.2,4,1768.6,31,3.6,7.8,47.3,1.4,0.2,0.2,1.9,0.1,0.6,0.7,253.6,2.7,2.9,3.8,8.4,0.2,0.2,0.1,1.4,2.4,7.2,6.5,6.3,9.2,5.1,0,13.6,0,10.1,14.4,0.7,0,0,7.7,0,2263.7
"DOM_07T08",2,0.5,4.4,0.2,1,0,0,0.3,70.4,15.8,0.2,30.7,154.3,14.6,0.5,0.7,1.6,0,0.4,1.7,7.9,45.8,0.7,0.8,0.6,0,0,0,0.1,0,0.5,0.5,0,0,0.5,0,4.2,0,0,0,-0.1,0,0,403.3,0,764.1
"DOM_09",14.2,28.2,2.6,4.3,2.3,0,0.1,0.7,2.6,0.4,1.3,0.4,0.1,0,0,0,0.6,0,0,0.3,9.9,15.3,0,0.4,0,0,0,0,0,0,2.1,3.1,0.9,0.1,0,0,0,0,176.8,0,0.3,0,0,79.3,0,346.1
"DOM_10T12",800.8,0.3,0,0.1,2414.7,8.3,0,13,0.1,28.9,3,0.1,0,0.2,0.6,0.1,0.6,0,0.7,3,2.2,4.7,111.3,7.2,1486.7,1.9,0,1.2,5.4,0.1,15.7,188.4,81,188.6,47.3,0,7988.8,0,0,0,6.9,0,236.5,1961.7,0,15610
"DOM_13T15",10.7,3.7,0.8,1,11.1,341.6,0,11.9,0,10.7,36.4,1.6,0,8.7,6.3,0.9,4.5,0.9,18.4,59.3,0,0,39.9,13.4,29.5,11.9,0,0,1.1,0,28.9,157.1,20.2,96,77.4,0,296.3,0,0,0,4.1,0,18.6,935.6,0,2258.6
"DOM_16",0,1.5,0.4,0.2,3.6,0,54.5,16.1,0,3.8,5.6,4.8,0,8.6,2.2,1.2,0,0.3,6.4,107.3,0,231.7,6.5,0.1,0,1.4,0,0,0.1,0,2.4,7,0,1.9,16.2,0,21.9,0,0,9.7,0.6,0,0.4,14.6,0,530.9
"DOM_17T18",10.3,1.3,0.9,0.2,146.7,6.8,4,624.5,6.3,40.9,34.2,16.9,0.3,15.4,15.3,5.4,15.6,0.4,2.5,22.8,7.4,26.1,84.5,26,59.1,160.8,9.6,29.8,142.5,15.4,342.8,209.3,172.4,61.6,43,0,303.6,0,0,0,0.9,0,38.3,417.4,0,3121.3
"DOM_19",1239.2,155.5,83.5,32.3,424.6,44,25.3,119.5,4753.9,1024.1,135.6,266.4,317.6,156.4,55.7,32.9,119.3,3.4,49.2,97.6,1704.2,1310.6,543.3,3036.9,315.9,39,30.9,71,365.8,520.8,952.2,1400.5,385.9,362,312.6,0,1838.6,0,0,0,13.9,0,9.8,1082.2,0,23432.2
"DOM_20T21",228.5,9.7,4,1.2,83.9,43.1,8.9,74.3,233.7,779.9,435.1,34.4,31.4,47.6,33.3,15.5,25.2,0,17.9,38.2,63.8,81.5,17,6.7,13.8,4,0,0,0.6,93.2,65.6,139.5,27.7,817.3,75.6,0,184.7,0,0,0,-2,0,51.2,7358.5,0,11144.4
