"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",13641.7,3.3,6.8,2.3,64524.8,722.1,1322.3,1121.9,155.8,3378.1,1241.5,24.2,185.7,34.1,32.2,52.9,81.6,36.9,13.9,160.7,447.7,795.8,4636.9,274.4,12070,165.6,8.9,38.2,41.5,227,1815.8,1070.5,391.1,901.6,916.5,0,28112.1,5.2,10926.4,1567.9,117.5,0,19.1,568.7,0,151861.1
"DOM_05T06",2,0.9,0.2,1.3,4.1,0.3,0.4,4.9,1139.3,70.6,4.7,9.9,203.9,1,1.9,1.3,4,3.8,0.9,0.6,508.5,10.2,8.7,5.6,7.1,0.4,0.8,0.2,0.7,1.6,3.5,2.5,2.3,6.6,10.1,0,3.4,0,2.3,13.8,0.3,0,0,4.5,0,2048.9
"DOM_07T08",19.2,0.5,57.3,2.7,11.6,1.6,2.2,37.4,33.4,685.1,10.4,790,1319.5,17,13,13.7,35.5,6.2,8.4,23.2,68.7,1380.2,38.6,17.3,2,0.7,0.8,0.8,0.9,90.9,20.1,31.8,2.7,3.3,11.4,0,531.2,0,4.8,153.8,2.3,0,0,394.8,0,5845.2
"DOM_09",158,20.3,47.5,36.3,15.9,0,1.7,16.8,32.2,16.9,30.9,9.1,8.7,0.5,0,0,24.8,0.3,0.1,2.7,224.9,350.5,0.5,9.4,0.1,0,0,0,0.2,0,1.4,25,6.9,0.5,0.3,0,0,0,635.3,0,0.6,0,0,176.1,0,1854.4
"DOM_10T12",16436.3,0.7,6,2.1,57528.6,282.5,77.2,864.4,402.9,7619.1,425.8,138.5,226.1,64.2,123.1,106.8,200.3,146,81.5,118.4,850.7,967.3,10420.1,447.1,73561.3,293.8,54.6,127.8,224,321,2273.6,4481.5,1760.6,8467.3,6473.5,0,205993.9,46,12456.9,118.2,22.2,0,369.8,3036.6,0,417617.9
"DOM_13T15",287,3.7,14,8,186.8,7014,94.9,666.9,120,1538.3,1535,219.1,247.5,167.2,462.4,322,535.2,1639.8,470.3,1121.4,503.8,1473.6,3192,480.9,951.1,484.9,90.3,103.3,303.7,94.4,1199,1348.4,280.9,3109.4,2983.5,0,12063,5.3,1589.5,376.7,40.2,0,142.3,4519.8,0,51989.4
"DOM_16",151.9,4.1,11.6,2.7,116.1,23.5,3000.3,830.3,56.4,371.3,256.3,233.2,116.6,220.6,199.1,206.8,368.4,514.8,294.1,2091.9,618.6,9724.7,738.4,123.7,184.9,114.3,25.9,48.3,24,2848.6,434.7,111.1,86.9,61.2,751.3,0,600.4,0.1,59.2,89.9,2.5,0,54.7,333.1,0,26106.4
"DOM_17T18",398.8,5.8,70.2,5.5,4269.3,407.4,401.2,43322.1,634.5,5336.1,2499.2,1321.3,1290.5,658.3,2122.6,1506.4,2052.8,1469.6,246.2,857.6,3228.4,2051,15223.9,1560,2981.1,9684.5,2265.1,3082.8,4511.9,1868.8,9986.7,5352.7,4075.5,4323.9,5835.9,0,4456,1.6,3868,312.6,29.4,0,6.1,4131.9,0,157713.2
"DOM_19",3903.4,53.8,467.8,106.1,1495.7,275.5,314.9,1280.3,20293.7,18974.1,2221.6,4005.2,14610.4,856.1,1338,753.1,1477.3,1486.1,622.8,624,19754.6,15688.9,12050.3,31138.9,2016.4,562.6,891.6,919.7,1415.5,2219.3,4927.5,7059.8,1657.4,3184,3873.3,0,72041.3,0.4,3591.9,70.7,164.3,0,46.3,14501.4,0,272936
"DOM_20T21",3876.1,28.3,167.9,33.5,2343.5,1889.1,678,4735.5,7737.7,59642.7,24885.8,2649.8,11245.1,1845.3,4234.7,3753.7,3463.3,3326,1282,1307.7,5106.9,7862.3,4139.4,2007.3,2007.4,673,195.8,227.4,328.1,2787.7,4305.1,1715.8,858.2,16588.9,4528.5,0,38574.1,2.8,67574.1,3241.3,313.5,0,215.9,61054.6,0,363433.6
"DOM_22",684.9,20.8,104.1,28.5,4308.8,631.9,318.9,2191,1032.8,5824.4,18486,1340.5,3746.1,1613.1,6903.4,6110.9,7893,12104.2,1779,1815.9,2459.2,16621.3,9173.7,3106.8,2012.5,372.8,780.7,372.8,365.5,1773,2424.2,1106.9,408.7,2142.3,2875.3,0,11602.7,1.2,1271.7,1944,202.6,0,12.3,22997.7,0,160966.1
"DOM_23",181.7,4.4,112.7,12.5,1008.3,50.4,178.9,138.8,137.3,1295,786.7,5306.8,2623.1,402.7,5936.2,1171.4,1979.4,1645,392.5,261.1,944.9,32820.5,1469.5,304.8,526.8,54.2,105.1,62.1,81.3,174,628.2,117.8,258.3,573.3,516.2,0,2999.5,0.3,365.9,1546.1,112.1,0,2.3,9028.3,0,76316.4
"DOM_24",271.2,33.6,56,137.4,458.8,43,111.9,966.9,1025.5,1995.1,2055.4,1894.9,158645.8,41233.5,10553.9,29346,58487.5,27586,10108.4,5702,5692.2,59464.7,3522.5,1474.4,173.8,69.1,258.8,98.7,99.2,546.3,646.7,533.5,168.7,456,2143.1,0,6563.6,0.7,969.6,4700.4,472.3,0,6.3,63259.2,0,502032.8
"DOM_25",417.7,27.8,76.6,33.7,1938.3,119.7,390,474.6,151.2,1693.5,1637.1,759.4,10691.5,5448.2,4325.5,3504.3,7986.1,9127.3,2709.5,1365.8,2192.4,48057.3,2957.8,834.7,608.1,109.7,200,264.1,152.2,407.3,1427,1234.8,36.4,442.8,1503.8,0,5866.7,0,223.1,4493.1,262,0,6.6,10022.4,0,134180.2
"DOM_26",113.3,5.4,23.4,12.9,146,39.1,39.1,321.7,71.6,795.8,619,191.5,2911.6,847.3,24487.1,8349.5,8317,3898.7,1013.6,713,1551.2,3233.8,2586.2,459.5,315.4,719.4,3872.2,2758.6,495.1,138.4,2392.7,703.3,63,2491.6,5578.4,0,36588.8,1.9,6754.7,47079.2,1880.7,0,406.1,79393.7,0,252380.4
"DOM_27",152.7,10.2,35.3,14.2,211.5,39.6,54.6,205.7,10.8,643.1,473,178.4,2833.4,446.9,6382.1,12187.4,7745.6,7548.6,1816.8,832.6,5416.4,7065.9,3144.3,839.9,404.2,321.5,1914.5,770.6,202.5,64.1,1710.9,631,154,725.5,4106.1,0,37315.7,0.1,759.2,47269.3,3362.5,0,22.5,47514.5,0,205537.7
"DOM_28",962,61.3,251.4,114.4,750.4,205.1,217.1,1082.4,50.5,1630.1,1464.7,447.2,8036.6,1329.9,4386.8,5970.5,35712.6,11617.7,4091,1486.3,3718.5,9241,4489.3,1384,426.2,266.8,840.1,626.8,298.4,87.9,2161.1,1642.9,52.9,859.3,2862.9,0,13776.9,0.2,3046.2,161247.5,9961.1,0,29.3,110518.2,0,407405.5
"DOM_29",513.9,11.4,106,35,198.5,75.7,157.4,289.1,323.6,798.8,1203.7,502.7,1140.6,965.5,1827.8,3814.3,10892,236239.6,2111.8,1139.4,2022.3,3561.9,41319.5,9259,486.4,328.2,614.9,448.9,474.9,532.8,4204.6,2714.1,267.3,780,2568,0,67725.6,1,7148.7,8497.3,1171.9,0,9.4,151316.7,0,567800.4
"DOM_30",99.9,2,3.6,1.7,24.6,4.8,5.4,21.6,15.3,40.9,47.6,14.2,287.4,86,155.7,210.6,961.4,570.7,8998.2,39.6,89.1,600.4,466.9,2472.4,24,9.5,23.5,19.6,8.9,14.8,269,2546.6,8,38.2,287.1,0,1839.5,0,3731.9,25706.8,710,0,1.9,30248.6,0,80707.6
"DOM_31T33",171.7,4.1,11.6,5.9,201.9,60.2,32.6,275.6,163,337.5,179.6,193.8,1476.2,205.5,829.4,572.1,1038.9,365.9,144.7,515.6,789.5,2278.3,472,573.8,148,95.6,250.1,95.7,97.9,1252.1,348.6,437.6,148.4,744.7,318,0,20991.7,0.1,700.5,11492.4,78.4,0,77.5,16767.8,0,64944.6
"DOM_35T39",1491.4,75.3,294.3,62.2,2781,633.2,552.8,5071.8,3854.7,10345.9,3753.7,3527.9,31530.1,2105.7,2824.1,1943.1,4302.1,2786.7,773.2,768.9,70144.5,3883.1,13486.6,4123,5927.3,1431.3,2227.8,1372.3,2056.2,12046.1,5890.9,7978.5,4520.2,9904.6,7267.4,0,112785.2,97.1,55488.9,177.9,14.2,0,8.5,0,0,400309.8
"DOM_41T43",698.5,19.5,106.7,32.5,441.4,72.3,109.9,442.1,297.5,1206.9,485.4,861.3,2063.7,884.6,1370.5,707.7,1160.4,716.8,204.5,544.4,7983.5,1211.3,6998.5,3260.9,1437.5,523.8,2213.1,608.7,1714.8,45754.6,3099.4,5722.6,2748.8,3576.6,2803.7,0,2182,1.5,32925.9,543850.4,1.9,0,0,247.1,0,681293.4
"DOM_45T47",19941.1,84.8,508.6,172.9,73834.6,10380.3,2075.3,19090.2,21219.9,39775.5,17587.8,5995.7,35434.6,8287,18354,15819.8,27071.8,42616.6,7032,6307,25249.5,51610,124311.6,27343.8,59875.6,10685.7,10660.3,11628.7,9702.1,5117.5,31899.5,18066.4,5114.9,42974.4,32695.7,0,345020.1,13335.9,41312.9,65818.2,3454.5,0,651.1,110053.1,0,1418171
"DOM_49T53",2441.7,60.9,397.3,78.2,8003.3,1177.9,659.3,3671.9,6020.2,7734.2,3173.2,2574.9,10796.2,1860.1,3725.4,2828.9,5356.2,6283.9,1850.1,1144.4,5856.7,9774,29334.9,38855.7,5455.5,1718.9,2407.6,1646.1,2969.1,1145.1,5835.8,5094.5,1700.7,3667.3,5029.9,0,180932.7,12.2,72007.3,12253.6,205.3,0,1357.1,67130.9,0,524229.2
"DOM_55T56",268.8,8.8,28.6,27.5,644,103.9,108.8,520.7,216.7,1361.6,645.4,349.6,1521.8,525.1,801.4,578.6,1437.4,781,528.5,330.2,2551.3,3107.6,7668.3,3645.8,2919.4,1477.6,655.7,3126.8,3449.2,1677.5,8183.4,5024.8,2856.4,11128.4,4738.4,0,255128.3,43.1,38228,19.9,0.2,0,6456.1,19.4,0,372894.1
"DOM_58T60",38.2,0.7,2.8,0.5,343.8,20.6,21.2,784.7,141.5,462,132.1,72.5,102.1,82.6,380.2,149.3,288,186.2,77,76.7,491.1,439.1,3386.7,443.4,446.1,17831.7,3031,1724.6,982,281.5,6821.2,1154.6,1063.8,769.2,3477,0,21182.1,77,25385.4,27418.4,11,0,105.7,2480.1,0,122365.5
"DOM_61",309.9,4,40.7,14.9,473.1,145.8,84,447.4,453.7,1016.9,516.5,310.1,844.2,457.7,1470.2,601,1504.8,793.8,299.8,297.5,2395.8,2079.4,9436.4,2832,1578.3,4886.2,49778,5483.8,5873,1685.8,6272,5433.8,1291.3,3882,4761.5,0,121322.6,0.6,4798.1,2215.3,1.5,0,37.7,679.6,0,246810.5
"DOM_62T63",68.5,7.4,14.4,4.1,415.5,71.4,46.7,400.9,386.4,1112.5,316.1,190.2,775.6,265.5,1631.8,577.9,954.1,796.2,146.5,231,1880.5,1453.9,5458.3,1812.4,794.8,1822.2,3869.3,13897.5,5503.1,839.4,5260.3,3491.8,858.5,2393.4,4193.9,0,8670.7,1.7,2095.2,159801.9,6.8,0,1,2088.1,0,234607.3
