"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",1235.4,26.3,16.1,2.1,870.3,16.7,2.6,1.9,1.8,19.7,10.1,0.5,0.6,0.2,0,0.1,0.1,0,0,1.4,7.9,23.2,185.8,7.8,86.9,0.8,0.1,0.1,0.9,9.5,37.6,58.1,66.6,33.8,56.4,0,2115.6,0.5,99.4,187.7,197.5,0,6.4,415.8,0,5804.3
"DOM_05T06",8.8,1945.4,9.1,77.4,3.3,0.3,0,0.9,871.9,27.3,2.3,8.4,15.5,0.2,0,0.1,0.2,0.2,0.4,1.3,438.7,5.2,20.6,42.5,5.8,0.5,1.2,0,0.8,19.9,9.9,6.9,19.2,21.1,32.3,0,162.6,0,0.6,13.9,-90.3,0,0,14609.7,0,18294.1
"DOM_07T08",3.5,30.5,438,3.6,0.2,0,0,0.3,48.9,9.3,0.3,48.4,1220,4.8,0.1,0.5,0.6,0,0.2,1.5,25,88.5,4.7,5.3,0.4,0,0,0,0.2,4.5,1.3,3.3,0.6,0.1,5.1,0,19.6,0,0,1.8,-2.6,0,0,903.3,0,2872
"DOM_09",4,728.2,25.7,30.7,0.2,0,0,0.1,0.3,0.1,0.2,0.3,0.2,0,0,0,0,0,0,0,4.5,10.7,0,0.4,0,0,0,0,0,0,1.1,1.4,1.2,0,0.1,0,0,0,5.5,0,0,0,0,0.7,0,815.7
"DOM_10T12",131.2,0.3,0.1,0.1,80.4,0.6,0,0.2,0.3,3.4,0.2,0.3,0.1,0,0,0,0,0,0.1,0.2,1.8,2.2,21.3,2.2,81.3,0.6,0.1,0,0.8,3,6.7,26.4,31.3,37.7,52.3,0,2033.4,0.8,9.4,0.1,0.8,0,25.2,314.7,0,2870
"DOM_13T15",0.3,1.3,0.4,0.1,0.1,4.5,0,0.1,0,0.2,0.4,0.1,0,0,0,0,0,0,0.1,0.6,0.2,1,2.6,0.5,0.3,0.1,0,0,0.1,0.1,0.6,1.3,1.1,1.5,3.3,0,69.8,0,0.2,3.8,0.5,0,10.4,52.6,0,157.9
"DOM_16",0.4,2.5,1.2,0.1,0.1,0,0.7,0.1,0,0.1,0.1,0.3,0.1,0.1,0,0,0,0,0.1,1.4,0.5,14.9,1.2,0.4,0.1,0.1,0,0,0,5.2,0.7,0.3,0.8,0.1,2.2,0,3,0,0,0.1,0,0,0.1,0.4,0,37.5
"DOM_17T18",0.8,2.9,1.2,0.1,2.7,0.2,0.1,8.1,0.2,0.8,0.5,1.1,0.3,0.1,0.1,0.1,0.1,0,0,0.6,2.3,1.9,16.9,3.4,1,15.3,1.8,0.2,4,4.4,15,10.8,27,6.8,25.6,0,10,0,0.8,0.9,0,0,1.8,13.6,0,183.7
"DOM_19",56.4,313.9,98.5,19.5,4.2,1,0.3,1.1,50.9,21.7,2,15.9,33.2,0.8,0.2,0.4,0.6,0.2,0.6,5.8,75.9,76.6,81.8,524,4.2,2,3.9,0.4,7.1,33.5,40.3,52.9,43.5,28.5,62.7,0,86.3,0,3.6,0.1,7.5,0,7.2,808.6,0,2577.7
"DOM_20T21",9.6,16.8,4.9,0.7,0.7,0.8,0.1,0.7,2.3,10.2,5.7,1.9,3.4,0.2,0.1,0.2,0.1,0.1,0.2,0.8,1.9,4.6,2.5,1.2,0.2,0.4,0,0,0.1,2.7,2.9,1.7,3.3,22.8,9.3,0,47.9,0,15.5,4.1,1.9,0,2.2,391.9,0,576.5
