"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",656.5,0.2,0.4,0.1,441.8,3.8,182.4,6.4,0.6,4.5,2.7,0.1,2.9,0.7,0.2,0.1,0.3,0.1,0.1,3.5,2.9,17.4,7.5,1.4,34,0.2,0,0,0.1,1.8,0.9,1.2,1.4,0.5,4.6,0,2198.8,1,15.4,51.8,43.4,0,3.6,918.7,0,4614
"DOM_05T06",0.7,0.2,0,0.1,0.2,0,0,0,19.5,0.5,0,0,0.4,0,0,0,0,0,0,0,2.5,0.1,0.1,0.1,0.2,0,0,0,0,0.1,0,0,0,0,0.1,0,5.8,0,0,1.7,0.3,0,0,0.1,0,32.9
"DOM_07T08",0.5,0,0.1,0,0,0,0,0,0.2,0.4,0,0.2,1.2,0.1,0,0,0,0,0,0,0.1,2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.4,0,0,0.1,0.1,0,0,20.7,0,26.5
"DOM_09",6.5,0.9,0.2,0.3,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.8,0,11.1
"DOM_10T12",108,0,0,0,84.2,1,0,0.1,0.1,1,0.1,0,0,0.1,0.1,0,0,0,0,0,0.2,0.6,5.4,0.9,93.7,0.1,0,0,0.3,0.2,0.3,0.9,0.6,0.6,10.2,0,723.6,0.1,1,0,1,0,9.7,246.2,0,1290.5
"DOM_13T15",69.4,0.8,0.4,0.5,27.2,204.9,9.1,2,2.4,6.6,5.2,0.6,1.3,3.7,7.4,2.4,2.4,6,1.7,8.2,6.9,22.6,63.4,16.5,24.8,7.2,3.1,0.9,4.9,3.2,5.9,8,3.3,8.9,27.6,0,332.1,0.9,8.7,17.1,9.9,0,8.7,985.8,0,1932.7
"DOM_16",39,0.4,0.4,0.1,5.3,1.3,116.8,1.7,0.9,2.7,1.6,1,0.3,5.2,3.4,1.8,1.9,3,0.8,24.6,4,211.4,6.7,2.4,4.1,1,0.2,0.1,0.3,37.2,1.5,0.7,1.2,0.2,6,0,10.9,0,0.1,18.2,18.3,0,0.4,91,0,628.3
"DOM_17T18",1.5,0,0,0,3.3,0.2,0.2,3.1,0.1,0.4,0.2,0.1,0,0.2,0.4,0.2,0.1,0.1,0,0.1,0.4,0.4,1,0.3,0.7,1.4,0.1,0,0.4,0.2,0.3,0.2,0.4,0.1,0.7,0,30.8,0,0.2,0,0,0,0.8,11,0,59.8
"DOM_19",43.3,0.4,0.5,0.2,2.7,0.3,0.4,0.2,12.1,4.3,0.3,0.4,1.8,0.6,0.6,0.3,0.3,0.2,0.1,0.3,4.2,7.8,3.4,26,1.4,0.2,0.2,0.1,0.6,1.2,0.6,0.9,0.5,0.2,1.5,0,49.4,0,0.3,0,0,0,0.6,0.2,0,168.5
"DOM_20T21",27.8,0.1,0.1,0,1.5,1.1,0.5,0.5,2.2,9,3.1,0.2,0.7,0.7,1.3,0.6,0.3,0.3,0.1,0.3,0.4,1.9,0.5,0.3,0.2,0.1,0,0,0,0.6,0.2,0.2,0.2,1.4,0.7,0,54.6,0,15,1,0.6,0,1,73.5,0,202.7
"DOM_22",2.6,0,0,0,3.2,0.4,0.2,0.2,0.2,0.6,1.8,0.1,0.2,0.5,1.9,0.8,0.6,1.1,0.1,0.3,0.3,5,1.1,0.9,0.5,0.1,0.1,0,0.1,0.3,0.1,0.1,0,0.1,0.3,0,15.6,0,0,0,0.4,0,0,68.4,0,108.1
"DOM_23",0.6,0,0,0,0.4,0,0.1,0,0,0.1,0,0.3,0.1,0.1,0.4,0.1,0.1,0.1,0,0,0.1,7.9,0.1,0,0.1,0,0,0,0,0.3,0,0,0,0,0.1,0,2.3,0,0,0.4,0.2,0,0,11,0,24.9
"DOM_24",0.5,0.2,0,0.1,0.1,0,0,0.1,0.1,0.1,0.2,0.1,9.3,15.1,1.9,2.5,4.5,2.5,0.5,0.9,0.5,20.1,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.3,0,0,44.1,0,104.6
"DOM_25",0.3,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0.5,0.2,0.1,0.2,0.1,0,0.1,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.6,0,0,17.6,3.4,0,0,146.8,0,171.7
"DOM_26",0.2,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.2,24.1,0.9,0.4,0.3,0,0.2,0.2,0.9,0.5,0.2,0.2,0.2,1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.6,0,39.7,0,1.1,75.1,23.3,0,1.5,109.7,0,282.2
"DOM_27",0.6,0,0,0,0.2,0,0,0,0.1,0.1,0.1,0,0.2,0.3,4.5,4.5,1,0.8,0.1,0.3,0.7,5.5,0.5,0.3,0.2,0,0.3,0,0.1,0.4,0.1,0.1,0.1,0,0.4,0,19.5,0,0,24.6,9.3,0,0.4,35,0,110.4
"DOM_28",1.1,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0.1,0.2,0.1,0.7,0.2,0,0.1,0.1,0.7,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,7.1,0,0,29,6.4,0,0,61.4,0,108
"DOM_29",5,0.1,0.1,0.1,0.3,0.1,0.2,0,0.2,0.2,0.2,0.1,0.1,0.6,0.8,1,1.7,43.8,0.2,0.5,1,2,8.3,7.1,0.3,0.1,0.1,0,0.2,0.4,0.5,0.5,0.1,0.1,0.7,0,76,0,1.2,31,24.6,0,0.3,46.3,0,256.1
"DOM_30",0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.7,0,0,0.1,0,1,0,0,0,0,0,0,0,0.3,0,0,0,0,1.2,0,0.5,4.5,0.4,0,0,42.1,0,51.5
"DOM_31T33",4.3,0.1,0,0,0.9,0.4,0.2,0.2,0.2,0.2,0.1,0.1,0.5,0.4,1.3,0.4,0.5,0.5,0.1,1.7,0.6,4.1,1,1.3,0.7,0.2,0.2,0,0.4,2.2,0.4,0.5,0.8,1.2,1.6,0,94,0,0.1,7.5,0.1,0,4.9,65.4,0,199.3
"DOM_35T39",2.7,0,0,0,0.7,0.1,0.1,0.1,0.2,0.3,0.1,0,0.7,0.3,0.2,0.1,0.1,0.1,0,0,2.7,0.5,0.4,0.4,0.5,0.1,0.1,0,0.1,1.4,0.1,0.3,0.3,0.1,0.5,0,105.9,0.1,2.6,0,65.9,0,0,0,0,187.8
"DOM_41T43",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,50.3,0,0,1105.9,0,0,0,0,0,1157.9
"DOM_45T47",83.8,0.3,0.4,0.2,61.4,91.3,17.2,2.2,3.6,6.7,3.7,0.6,2.1,3.8,8.2,2.8,2.6,10.6,1.5,6.2,5,25.2,104.5,19.6,32.4,9.1,5.5,1.7,4.6,4.8,6.1,2.6,1.4,3.1,17.6,0,444.6,0.2,6.1,40.3,17.4,0,3.6,228.6,0,1293.1
"DOM_49T53",56.9,2.6,2.2,0.4,28.7,16,5.6,1.8,15.7,7.3,2.5,1.5,6.1,5.1,8.4,2.7,3.2,3.7,0.7,2.4,5.7,19.4,49.4,190.1,5,2.3,1.8,0.4,3.4,2,4.5,4,3,1,8.4,0,197.8,0,38.4,10.6,5.2,0,31.1,312.2,0,1069.3
"DOM_55T56",19.3,0.4,0.2,0.4,8.1,1.5,1.1,1.1,0.9,2.3,1,0.3,1.4,3.1,3.4,1.2,1.9,1.1,0.5,1.1,5.8,16.5,19.6,27.6,16.6,3.7,1.4,1.5,10.4,15.3,12.4,7.9,10.5,8.7,28.1,0,320.6,1.8,55,0,0,0,116,0,0,729.5
"DOM_58T60",0.1,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0.4,0.1,0.1,3.4,0.5,0,0.1,0.1,0.5,0.1,0.2,0,1.4,0,73.1,0.3,3.7,12.8,0,0,1.7,0.9,0,100.4
"DOM_61",0.7,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0.1,0.2,0,0.1,0,0,0,0.1,0.3,0.6,0.4,0.2,0.3,2.6,0.1,0.5,0.2,0.2,0.2,0.1,0.1,0.5,0,6.3,0,0.2,0.2,-0.9,0,3.2,98.1,0,115
"DOM_62T63",0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0.2,0.3,0.2,0.1,0.1,0.2,0.2,0.4,0.1,0.2,0.1,0.1,0,0.3,0,3.4,0,0.1,18.9,0,0,0.1,0,0,25.6
"DOM_64T66",2,0,0,0,0.3,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0.2,0.1,0.1,0,0,0,0.2,0.5,0.5,0.5,0.2,0.1,0.1,0,3,2.3,0.2,0.1,0.1,0.1,0.3,0,151.6,0,0.1,0.1,-0.1,0,5.1,9.1,0,177.1
"DOM_68",1.8,0.1,0,0,0.8,0.2,0.1,0.1,0.2,0.1,0.1,0,0.1,0.3,0.4,0.1,0.1,0.2,0,0.1,0.4,2.1,5.3,1.6,3.9,0.4,0.6,0.1,1.2,4.1,0.9,0.6,1,0.4,2.3,0,661.8,0,2.1,21.2,0,0,18.3,2.3,0,735.7
"DOM_69T82",2.5,0.1,0,0,1.8,0.1,0.1,0.1,0.2,0.4,0.2,0.1,0.1,0.5,1.6,0.3,0.3,0.3,0.1,0.3,0.7,2.5,1.9,1.4,1.2,0.4,0.4,0.2,1.1,0.9,1.3,0.4,0.3,0.2,1.2,0,38.9,0,2.7,20.2,0.4,0,9,91.9,0,186.2
"DOM_84",0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0.2,0.3,0.1,0.1,0.1,0,0.1,0.4,0.1,0.3,0,0.1,0.3,0,3.5,0.1,211.8,0,0,0,0,0,0,218.1
"DOM_85",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0.1,0.1,0.5,0,0.2,0,147.4,1.3,77.7,0,0,0,5.5,0,0,233.6
