"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",4560.4,4.6,3.4,0,20842.1,1220,577.9,361.4,41.6,1391,412.2,13.5,56.9,23.5,20.5,16.7,24,17.3,20,56.5,88.4,291.5,1246.9,143.2,3238,27.4,3.2,9.8,22.1,40,297.3,332.3,282.9,208.1,254.7,0,9715.2,13.7,526,334.5,84.4,0,36.7,510.5,0,47370.5
"DOM_05T06",1.6,2,0.3,0,1.7,1.2,0.3,2.9,124.5,27.3,1.1,16.3,286.5,1.2,0.8,0.3,3.6,1.2,0.4,0.3,178.6,3,7.3,2.1,2.2,0.4,0.6,0.5,2.4,1.7,2.7,2.9,5.5,3.1,3.2,0,34.8,0,0.8,19.5,0.2,0,0.2,18.6,0,763.7
"DOM_07T08",9,0.3,23.2,0,8.7,4.4,0.9,12.9,28.3,381.8,5.7,516.3,871.2,24.5,14.7,8.2,15.9,5.8,15.1,9.8,19.3,594.4,18.1,7.3,2.5,0.7,0.7,0.8,0.9,16.7,5.5,12.7,2.4,1.9,5.7,0,15.3,0,1.1,41.4,2.3,0,0.1,177.6,0,2884.1
"DOM_09",3.2,0.1,0.7,0,0.2,0,0,0.2,0.4,0.3,0.4,0.2,0.1,0,0,0,0.3,0,0,0,1.8,5.4,0,0.2,0,0,0,0,0,0,0.1,0.4,0.2,0,0,0,0,0,1.4,0,0,0,0,4.5,0,20.5
"DOM_10T12",3946.9,0.3,1.5,0,12599.3,557.8,19.5,168.3,74.4,1762.2,85.4,52.9,44.9,38.7,80.8,28,50.5,46.6,52,26.3,139.8,254.4,1898.3,154.8,13923.2,44.9,12.7,25.4,79.8,65.6,312.1,996,920,1454,959.8,0,29277.3,91.6,460,97.4,15.6,0,147.4,2398.7,0,73365.3
"DOM_13T15",177.3,3,9.7,0,140.1,13286.3,49.2,226.7,65.4,860.2,751.9,154.4,130,185.2,480,174.9,249.4,1021.9,897.2,434.9,199.9,703.6,1218.1,354.3,358.1,167.7,52.3,48.2,258.1,59.6,487.4,744.8,330.9,1213.4,810.2,0,10967.7,25.4,134.9,533.8,135.2,0,89.2,11365.7,0,49556.2
"DOM_16",27.5,2.4,3.4,0,27.2,31.1,670.4,133.4,11.1,112.7,60.8,77.2,25.6,93.2,85.7,43.4,70.9,146.9,223,419,69.2,2078.2,126.9,28.2,34.3,16,5.3,8.6,9.6,234,62.1,23.7,41,12.8,87.8,0,69.8,0.2,4,365.2,35.9,0,4.1,105.4,0,5687.2
"DOM_17T18",69.1,1.4,11.3,0,705.7,317.4,78.9,5759.1,66.9,942.7,420.6,359.4,122.2,214.5,664.5,247.3,298.3,326.1,70.2,128.7,303.1,325.8,1561.6,221.4,363.8,2140.3,200.5,314.4,1010.6,158.6,1117.2,681.6,1181.6,419,687.3,0,458.6,0.9,79,97.3,11.7,0,14.7,2359.2,0,24512.6
"DOM_19",1077.1,17.8,125.3,0.2,356.3,638.3,112,432.4,4254.7,9447,1679.8,1118.1,2990.6,528.1,798.4,427,497.8,550.3,410,152.5,2390.9,2908.9,1946.5,9236.3,371,116.1,144,155.2,548.4,361.4,861.8,956.1,615.8,578.7,685.7,0,10112.4,0.7,73.7,21.2,61.9,0,41.6,20447.5,0,78249.6
"DOM_20T21",1231.9,16.4,75.8,0.1,550.6,2334.8,232.6,1099.5,2555.4,23903.7,7453.7,1277.3,2956,1063.7,2419.9,1113.8,874.5,1437.6,1104.6,343,1030.8,2442.8,1101.9,2386.7,304.4,171.2,64.9,71.1,217.6,370.7,827.2,588.2,572.7,4233.6,969.3,0,4968.2,0.9,4984,379.1,-27.3,0,39.6,33205.1,0,110947.5
