"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",259.2,0,0.1,0,933.4,11.3,82.7,4.7,2.6,77.9,0.6,0.4,0.2,0.3,0.1,0.1,0.2,0.2,0,1.7,0.9,1.8,16,4.7,10.7,0.3,0.1,0.2,0.2,1.3,1.3,0.8,1,11.6,2.1,0,1262.8,0,4.6,69.1,173.5,0,14.8,1277.5,0,4231.2
"DOM_05T06",0.9,0,0,0,1.7,0.1,0.3,0.1,53.9,6,0.4,0.5,0.4,0.1,0,0.1,0.1,0,0,0.3,3.8,0.5,2.3,0.8,0.1,0.1,0,0,0,0.2,0.3,0.1,0.1,0.2,0.1,0,6.8,0,0.5,0.8,0.5,0,0.1,15.6,0,97.7
"DOM_07T08",3.5,0,4.5,0.1,1.1,0.2,0.1,0,3.3,25,0.3,20.8,4.7,0,0,0,0.4,0,0,0.1,2.3,53.3,1.1,2.2,0,0,0,0.1,0,1.3,0.6,1.3,0,0.7,0.2,0,6.1,0,0.5,1.7,0,0,0.3,17.4,0,153.2
"DOM_09",8.8,0.8,2,0.4,0.8,0,0.2,0.3,0.3,0.3,0.4,0.1,0,0,0,0,0.2,0,0,0.3,2.3,7.3,0,0.2,0,0,0,0,0,0,0.3,0.6,0.4,0,0,0,0,0,15.1,0,0,0,0,2.5,0,43.6
"DOM_10T12",118.8,0.1,0.4,0,219.4,3.2,5.3,2.5,14.9,19.5,5.1,2.1,0.4,2.3,1,1.5,1.2,0.2,0.3,7.3,6,11,48.7,13.5,45.5,2.5,0.3,0.8,1.2,3.1,7.8,12.9,9.3,11.5,15.4,0,2668.9,0.3,20.4,24.5,10.5,0,32.2,1707.3,0,5059.3
"DOM_13T15",4.8,0,0.1,0,10.2,94.4,5.9,7,2.1,6.1,2.5,1,0.1,0.6,1.1,2.8,1.2,0.2,0.4,42.1,2,9.7,16.9,5,1,0.5,0.1,0.1,0.5,0.6,2.3,4.1,2.7,4.2,2.4,0,246.7,0,1.6,3.8,0.6,0,17.8,593.2,0,1098.5
"DOM_16",1.8,0,0.1,0,3.8,0.4,118.6,3.7,1.1,1.7,0.7,1.5,0.1,1.3,0.1,1,0.7,0.1,0.2,158.7,1.5,14.4,9.3,4,0.4,0.2,0.1,0.3,0.1,180.4,2.5,0.9,3.9,1.5,3,0,95.7,0,2,10.5,-0.3,0,6.2,665.7,0,1297.9
"DOM_17T18",0.8,0,0.4,0,26.6,1.5,29.7,73.1,1.4,1,0.5,2,0.1,1.5,0.2,2.2,1.9,0.3,0.2,24.4,0.7,1.9,39.9,8.5,1.3,46.8,0.9,0.9,12.2,5.9,32.6,48.3,15,3.4,16.6,0,90.9,0,0.5,4.9,-2.2,0,3.3,201.3,0,701.8
"DOM_19",370,2,18.6,1.3,63.5,11.4,39.5,17.3,233.9,314.9,15.9,35.3,10.3,25.8,6.1,5.5,13.4,4.6,2.8,65.8,175.3,229.7,244.9,1025.5,6.5,3.4,7.3,10.7,10.9,30.5,69.3,92,54.4,32.2,25.9,0,812.5,0,45,0.1,8.3,0,10.3,4080.2,0,8232.8
"DOM_20T21",338.8,0.3,1.8,0.1,23.2,21,63.8,10.8,25,319.5,147.1,5,2,21.4,24.2,0.9,11.7,0.9,0.9,25.1,17.1,27.8,26.2,8.7,1.2,0.4,0.1,0.3,0.4,0.7,5,3.1,3.1,4,4.9,0,406.1,0,8.7,9.8,-1.4,0,8.1,1849.2,0,3426.9
"DOM_22",28.8,0.2,0.8,0.1,36.5,3.9,3.6,3.6,3.1,2.1,23.8,2.1,0.5,1.8,5,34.3,4.3,1.2,1.6,28.8,2.5,18.6,17,11.4,1.3,0.7,0.1,0.2,3.9,0.7,1.9,1.9,1.3,1.2,1.2,0,136.5,0,0.6,4.8,-3.2,0,0.4,606.7,0,995.7
"DOM_23",13.2,0,0.1,0.1,12.7,0.2,4.4,0.2,1.4,1.3,17.2,37.2,0.7,6.1,1.9,0.2,0.9,0.1,0.3,7.7,1.4,133.2,6.7,17.7,0.8,0.3,0.3,1.4,0.5,0.7,2.4,1.6,1.2,2.3,2.9,0,144.2,0,3,13.5,2.5,0,0.7,194.6,0,637.9
"DOM_24",0.2,0,0,0,0.5,0,0.4,0.1,0.1,0.1,0.3,0.3,1.6,17.4,0.5,1.4,5.4,1.4,0.5,6.9,0.7,18.2,0.8,0.4,0,0,0,0,0,1.7,0.6,0.1,0.1,0,0,0,3.5,0,0.1,2.8,3.4,0,0,70.4,0,140
