"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",27.4,0,0,0,61.4,3.1,22.9,7.7,0.1,0,2.2,0.2,3.2,0.1,0,0,0.1,0,0,0.3,0.1,1.4,0.2,0.4,8.1,0,0,0,0.1,0.3,0.5,0.2,0,0,0.1,0,54,0,0.5,6,-1.7,0,66.2,248.5,0,513.5
"DOM_05T06",0,0,0,0,0,0,0,0,18.8,0.3,0.1,0.1,0.6,0,0,0,0,0,0,0,3.4,0,0.1,0.1,0.1,0,0,0,0,0.8,0.1,0,0,0,0.1,0,1.2,0,0,2.7,-4.4,0,0,0,0,24.4
"DOM_07T08",0,0,0.1,0,0,0,0,0.1,0.2,0.5,0,2.6,7.3,0.1,0,0,0.1,0,0,0,0.1,3.4,0.1,0.1,0,0,0,0,0,3.1,0,0,0,0,0,0,0.1,0,0,0.2,-0.4,0,0,47.9,0,65.6
"DOM_09",0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,7.4,0,10.7
"DOM_10T12",1.8,0,0,0,9,0.4,0,0.3,0.1,0.3,0.3,0.1,0.3,0.1,0,0,0.2,0.1,0,0.1,0.3,2,16.5,2.3,35.3,0.3,1.1,1.4,1,1.7,3.5,0.9,0.4,0.9,3.6,0,396.4,0,3.2,0.4,2.4,0,119.4,510.8,0,1116.8
"DOM_13T15",1,0,0.1,0,0.8,163.3,0.7,2.1,0.6,1.5,9.2,1.4,1.2,0.8,0.2,0.1,1.6,2.9,0.1,1.8,1.7,7.4,23.8,5.4,3.1,0.4,1.1,1.3,4,7.6,14.1,3.7,1.2,6.2,3.4,0,231.7,0,16.1,4.2,0.7,0,41.6,325,0,893.1
"DOM_16",0.2,0,0,0,0.2,0.2,5.2,1,0.2,0,0.6,0.7,1.5,0.4,0,0,0.5,0.3,0,1,0.6,14.1,0.9,0.5,0.3,0,0.1,0.1,0.1,0,0.9,0.4,0.6,0.1,0.1,0,1.1,0,0.1,4,1.2,0,0.6,217.9,0,255.8
"DOM_17T18",0,0,0.3,0,8,5.2,0,89.3,4.3,0.7,7.9,4.8,4.4,2.2,0.9,0.3,4.3,1.6,0.1,1.1,3.5,1.8,10.2,11.5,7.4,6.9,0.8,36.2,81.7,0,59.1,1.5,0,0,0,0,9.1,0,0,0,0,0,2,251.4,0,618.7
"DOM_19",3.1,0.1,0.5,0.1,1.1,0.9,0.3,0.6,23.8,5.2,1.3,3.4,17.2,0.7,0.1,0.1,1.1,0.3,0,0.4,10.7,11.4,10.5,73.3,1.3,0.1,1.2,1.4,2.1,0,11.4,2.1,0.9,1.1,1,0,345.6,0,0,0,1.2,0,102.2,127.5,0,765.2
"DOM_20T21",6,0,0.2,0,1.5,9.3,1.3,4.1,12.1,29,41.7,4.5,18,2.2,0.6,0.4,2.4,1.3,0.1,0.6,2.2,7.9,3.4,1.8,0.6,0.3,0.1,0.3,0.5,0,4.3,0.5,0.7,4.2,1.5,0,88.7,0,38.8,0,0.8,0,3.2,210.1,0,505.3
"DOM_22",0,0,0.2,0,5.3,2.9,0.7,2.3,1.3,2.6,37.8,2.9,6.7,2.6,1.4,0.8,8.6,6.6,0.1,1.3,1.6,30.9,14.3,8.7,2.1,0.2,0,1,1,0,7,0.8,0,0,0.4,0,52.6,0,0,0,2,0,0,853,0,1059.9
"DOM_23",0.9,0,0.6,0,2.2,1,0,0.3,0.6,1.5,4,53.2,15.3,2.9,1.3,0.4,3.9,2.4,0.1,0.7,2,233.9,5.9,1.8,1.9,0,0,0.4,0,0,4.2,0.9,0,1,0.2,0,18.2,0,0,0,0.8,0,0,369.2,0,732
"DOM_24",0.1,0.1,0.1,0.1,0.4,0.1,0.2,1.1,0.5,0.7,2.9,3.4,318.6,57.7,2.1,4.3,55.5,12.1,0.7,3.6,4.1,85.3,1.7,0.6,0,0,0.5,0,0.1,7.6,1.5,0.1,0.1,0.1,0.1,0,0.9,0,0,0,-0.2,0,0,2131.9,0,2699
"DOM_25",0.7,0.1,0.2,0,2.1,0.9,1,0.6,1.7,0.9,3.5,2.1,25.9,17.9,0.9,0.7,20.8,5.2,0.2,2.4,2.7,47.3,4.9,2.1,0.9,0.1,0.5,0.8,0,0,6.4,1.3,0.4,0,0.5,0,9.5,0,0,58.7,-44.5,0,0,462.9,0,642.3
"DOM_26",0,0,0,0,0.1,0.1,0,0.2,0.2,0.1,0.5,0.2,0.3,0.4,9.4,0.5,3.2,1.1,0,0.8,0.8,3.1,3.6,1.3,0.4,0.3,12.6,7.6,3,0,5.5,1.3,0.6,2.2,0.7,0,31.2,0,34.6,63.6,-130.1,0,5.3,173.8,0,238.2
"DOM_27",0,0,0,0,0.1,0.1,0,0.1,0.2,0.1,0.3,0.2,1.9,0.5,1,1.4,4.2,1.5,0,0.7,2.4,10.3,1,1,0.2,0,2.1,0.9,0,0,1.7,0.3,0,0,0.1,0,16.1,0,0,25.1,-44.7,0,6.2,71,0,105.8
"DOM_28",7.6,0.7,2.1,0.5,3.3,6.1,0,4.9,8.4,2.6,9.8,9.7,55.4,11.2,2.5,1.7,168.1,20.4,1.2,10.1,13.6,76.4,22.4,16.5,1.2,0.6,4.5,4.9,4.2,0,37.4,0,0,1.8,1.4,0,28.6,0,0,257.6,-163.3,0,0,907.1,0,1541
"DOM_29",0,0,0.1,0,0.1,0.3,0,0.2,0.4,0,1.3,0.7,0.8,0.8,0.2,0.3,6.5,73.8,0.1,1,1.5,3.4,16.5,18.5,0.4,0,0,0.7,0,0,12.1,0,0,0,0,0,316.4,0,0,437.7,-326,0,6.7,74.7,0,649.4
"DOM_30",0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,1.6,0.1,2.3,0,0,1,0.9,27.8,0,0,0,0.1,0,1.5,6.8,7,0,0,0.1,0,13.8,0,55.9,60.3,-156.2,0,0,6.8,0,30.3
"DOM_31T33",0,0,0,0,0.1,0.2,0,0.1,0.2,0,0.2,0.2,2,0.1,0.1,0,0.5,0.1,0,0.4,0.1,1.2,0.2,1.5,0.1,0,0,0.2,0.2,0,0.9,0.1,0.2,0.8,0,0,30.3,0,3.3,22.5,-15.2,0,19.1,213.3,0,283.2
"DOM_35T39",11.6,0.7,2.3,0.2,15.3,18.2,5.3,22.5,29.4,20.2,28.5,33.9,303.3,13.7,2.1,1,17.8,5.5,0.2,3,327.4,29.7,84.5,32.8,24.8,3.6,7,3.9,16.5,46.7,49.7,23.9,5.3,17.1,16.6,0,331.3,0,14.8,25.2,71.3,0,1,249.5,0,1917.3
"DOM_41T43",13.3,0.8,3.7,0.5,5.2,8,0.6,7.5,21.8,0.7,14.3,19.6,51.3,13.1,2.4,1.2,18.6,5,0.2,11.6,186.3,216.4,64.7,361.8,22.7,6,22.4,15.7,40.1,0.1,98.1,330,3.7,16.2,29.9,0,87.6,0,2.4,5122.5,0,0,5.8,20.1,0,6851.8
"DOM_45T47",35.7,0.7,3.6,0.6,111.8,134.8,9.3,57.9,40.3,38.2,78.9,44,122.9,22.3,13.5,4.8,66.5,56.1,1.7,15.3,58,281.5,1406.3,264.8,126.7,36,143.9,160.1,72.3,10.5,591.9,32,12.4,30.8,37.5,0,1685.9,0.1,133.3,362.2,-141.4,0,169.8,4428.2,0,10761.6
"DOM_49T53",1.1,0.3,1.4,0.1,6.6,5.3,0.2,5.4,12.1,0.6,7.6,10.4,27.8,4.4,1.1,0.5,8.4,3,0.1,2,16.3,21.2,67.4,108.7,5.7,4.4,17.8,11.7,61.1,0.5,61.9,30.5,0.4,3.8,2.9,0,363.1,0,357.6,336.6,20.5,0,244.4,3407.4,0,5242.2
"DOM_55T56",0.2,0,0,0,0.3,0.3,0.3,0.2,0.1,0.1,0.3,0.2,0.7,0.2,0,0,0.4,0.1,0,0.1,1.7,12.3,15.6,8.8,1.1,0.5,3.7,8.8,5.7,25.2,17.2,2.1,1.8,3.7,1.5,0,264.1,0,48,1.4,-0.1,0,1259.4,4.1,0,1690.1
"DOM_58T60",0.1,0,0,0,0.7,0.4,0.2,0.6,0.5,0.3,0.5,0.4,1,0.3,0.2,0,0.7,0.2,0,0.2,1,7.9,24.4,4.4,1,6.3,13.7,13.8,4.1,0,20.7,1.3,1.1,0.8,14.3,0,17.1,0.3,105.7,8.9,-0.6,0,12.2,273.9,0,538.7
"DOM_61",0.6,0,0.3,0,3.2,4.4,0.9,2.1,3.3,0.7,3.8,2.9,7.5,2.5,1,0.3,5.5,1.5,0.1,1.1,5.8,35.5,63.1,34.8,7,15.7,756.2,337.5,26,0.1,67,9.4,3.5,5.4,11.4,0,126.4,0.1,34,3.1,2.1,0,15.2,2974.3,0,4575.4
"DOM_62T63",0.4,0.1,0.2,0,6.3,4.4,1.2,4.2,5.9,3.5,5.2,4,14.3,3.5,2.5,0.6,8.9,2.9,0.1,2.6,6.8,51.7,192.5,49.8,9.4,22.5,37.5,179.1,38.1,0.1,120.4,12.2,4.8,4.9,35.4,0,24.1,0.1,92.5,108.6,-1.3,0,4.7,2500,0,3564.5
"DOM_64T66",53.2,1.8,3.5,0.5,38.2,41.5,11.4,23.9,56.5,20.2,47.3,36.7,317.3,31.7,8.7,3.6,59.6,20,1.5,12.3,94.5,180.2,654.2,256.7,53.1,13.8,102.7,125.8,17433.2,0,690.3,84.8,32,75.6,37.6,0,522.2,0,0.3,0.1,-16.4,0,172.1,42886.4,0,64188.5
"DOM_68",1.3,0.1,0.1,0,2.9,4.3,0.7,2.1,2.5,1.2,4.3,2.3,4.8,2.8,0.6,0.3,3.8,2,0.1,1.5,7.5,24.7,173.7,27,29.7,2.7,25.9,23.8,64.7,978.6,85.3,13.5,12.4,15,13.5,0,2918.9,0,233.2,42.1,-0.2,0,255.1,148.7,0,5133.5
"DOM_69T82",4.6,2.1,2.2,0.9,55.2,32.9,8.1,27.2,47.7,29.6,60.2,43.9,123,36.9,18.4,5.4,76.7,28.8,1.7,25.3,65,496.5,521,235.5,93.3,15.6,114.9,204,555.4,0.6,857.3,48,31.6,48.6,47.3,0,99.6,3.3,527.9,330,16.4,0,191.2,5290.3,0,10424.2
"DOM_84",0.1,0,0,0,0.2,0.1,0.5,0.3,0.3,0,0.2,0.2,0.4,0.2,0,0,0.2,0.1,0,0.1,0.7,2.2,1.6,2.3,0.3,0.2,0.6,0.6,0.6,0,2.4,3.9,0.1,1.1,0.6,0,69.2,1.1,3604.2,17.6,-0.1,0,0.7,26.6,0,3739.6
"DOM_85",0,0,0,0,0,0.1,0,0,0.1,0,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0.1,0.2,0.7,0.8,0.1,0.2,0.5,0.3,1.4,0.3,2.4,0.1,17.9,0.4,0.7,0,83.4,0.8,2083.9,0.1,0,0,35.6,0.3,0,2231.1
"DOM_86T88",0.3,0.1,0.3,0,22.6,3.7,0.1,8.1,8.9,4.5,16.7,9.9,44.8,9.6,2.4,1.2,17,6.1,0.1,6.4,0.3,3.4,3.5,220.8,17.2,0.1,1,2.1,0.8,0.4,146.4,66.7,19,492.5,30.1,0,1649.7,627,1.8,0.1,0,0,78.8,21.8,0,3546.3
"DOM_90T96",9,0,0.2,0,1.7,2.4,1.4,1.1,2.1,0.3,2,1.7,9.8,1.1,0.5,0.1,2.4,0.8,0.1,0.6,6.4,54.5,73.6,16.7,4.5,5.8,24.2,34.6,19.7,0.1,57.5,5.3,4.7,14.5,14.7,0,271.1,66,486.3,2.6,-0.2,0,177.3,24,0,1401.3
"DOM_97T98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.5,0,0,0,0,0,0,0,0,155.5
"IMP_01T03",58.7,0,0,0,144.4,7.9,12.7,4.1,0.1,0.1,4.2,0.2,1.7,0.1,0,0,0.2,0.1,0,0.3,0.1,3.8,0.9,0.8,18.5,0.1,0.2,0.5,0.2,0.1,2.3,0.1,0.2,0.1,0.3,0,115.1,0,0.3,6.4,0,11.1,0,0,396.1,0
"IMP_05T06",0.1,0.1,0,0,0.1,0.1,0,0.1,58.9,1,0.3,0.3,2.5,0,0,0,0.1,0.1,0,0,11.2,0.5,0.6,0.6,0.3,0,0.1,0.1,0.4,2.5,0.5,0.1,0.1,0.1,0.2,0,6.4,0,1.2,8.6,0,0.4,0,0,97.9,0
"IMP_07T08",0.2,0,0.6,0,0.1,0.1,0,0.2,1.3,2.3,0.2,11.5,38.6,0.4,0,0,0.3,0,0,0.1,0.6,16.2,0.6,0.3,0,0,0,0,0,13,0.3,0.2,0,0,0.1,0,0.9,0,0.1,1,0,0.1,0,0,89.4,0
"IMP_09",0.1,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,2.4,0,0,0,0,0,4.1,0
"IMP_10T12",2.9,0,0,0,12,0.7,0.2,0.5,0.5,1.2,1.6,0.4,1.1,0.2,0.1,0,0.5,0.2,0,0.1,0.5,4.4,12.3,3.9,61.9,0.4,1.3,2.7,2,2.8,5.5,1.7,0.8,1.9,8.4,0,545.9,0,5.2,1.1,0,43.7,0,0,728.7,0
