"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",751.3,0.1,0,0.1,381.1,1.4,434,0.3,0,22,0.2,1.1,0.9,0.8,0.1,0.1,0.7,0.1,0.1,6.3,12.9,3.7,39.1,13.3,12.5,0.1,0.1,0.3,0.2,2.7,4.1,5.4,4.9,1.7,2.1,0,609.1,0,5.1,11.6,2.8,0,7.7,919.2,0,3259.3
"DOM_05T06",0.3,3.7,0,1.5,2.8,0,0,0,0,5.5,0,0,4.1,0,0,0,0,0,0.1,0.2,122.9,0,0,0.4,1.3,0,0.2,0,0,1.3,1.2,0.1,0.1,0.8,1.5,0,1.8,0,0,0,0,0,0,3.4,0,153.2
"DOM_07T08",0.8,0.1,5.7,0.1,0.4,0,0.1,0,0,2.5,0,17.4,10.8,0,0,0,0,0,0,0,0.4,30.1,0.1,0.5,0,0,0,0,0,0.8,0.2,0,0,0,0,0,3,0,0,0,-0.1,0,0,76.2,0,149.3
"DOM_09",15.1,7.5,8.1,3.3,1.2,0,0.6,0.2,0,0.1,0.3,0.3,0.1,0,0,0,0.1,0,0,0.1,4.9,13.5,0,0.5,0,0,0,0,0,0,0.3,0.7,0.2,0,0,0,0,0,4.6,0,0,0,0,1.7,0,63.4
"DOM_10T12",69.8,0.1,0.1,0.1,191.1,0.6,3.6,0.8,0,3.3,0.3,0.9,0.6,1.2,0.2,0.3,0.4,0.3,0.2,0.7,3.6,7.3,14.7,3.9,46.8,0.4,0.2,0.4,0.7,1.6,5.1,5.9,2.7,4.2,4.9,0,1259.3,0.2,4.3,4,3.1,0,20.5,1058.2,0,2726.4
"DOM_13T15",0.3,0.1,0,0.1,1.1,17.1,1.2,0.1,0,0.8,0.8,0,0.1,0,0.1,0,0,0,0.5,2.1,0.4,1.6,7.3,3,1.2,0.5,0.2,0.1,0.1,0.4,3.3,4.3,0.2,4.2,2.6,0,97.7,0,0.1,1.5,0.4,0,8.2,315,0,477.1
"DOM_16",41.7,0.3,0.2,0.2,4.3,0.3,602.5,3.2,0,2,0.8,17.1,1.1,14.3,0.1,1.2,1.7,5.3,1.5,96.6,21.4,51.7,71.7,17.5,1.7,1.5,0.2,0.3,0.3,75.9,9.5,3.8,3.2,1.4,2.7,0,40.9,0,0.9,22.8,0.3,0,1.4,1585.3,0,2708.8
"DOM_17T18",9.1,0.1,0,0,22.2,0.5,10.3,96,0,2.5,2.3,2.7,0.5,0.8,0.1,0.6,0.7,0,0.2,2,0.6,9.6,35.1,17.2,3.5,37.8,1.3,2,2.3,0.7,33.8,11.2,9.6,1.8,9.3,0,62.5,0,0.2,1,0.4,0,3.3,95.8,0,489.8
"DOM_19",0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0.2,1.1,0,0,0,0,0,0,0.1,0,0,0,0,0,1.1,0,0,0,0,0,0.1,4.1,0,7.6
"DOM_20T21",25.3,0.5,1,0.1,5.6,1.7,15.5,2.7,0,8.9,4,6.1,2.9,2.1,0.2,0.6,0.6,0.2,0.4,1.5,3.3,5.5,4.7,4.3,0.8,0.1,0.1,0.1,0.2,1.7,1.9,1.3,2.8,10.2,2.5,0,121.3,0,39.2,5.5,0.5,0,3.2,254.7,0,543.6
"DOM_22",6.3,0.5,0,0.1,12.8,0.3,3.1,8.2,0,2,31.3,1.7,2,4.9,0.6,3.1,4.9,0.2,0.8,4,1,23.5,13.8,12.3,1.2,0.2,0,4.3,0.1,3,3.9,0.8,1.4,0.2,0.8,0,25.2,0,0.1,1.2,-0.2,0,0,122.9,0,302.5
"DOM_23",2,0.3,0,0.2,7.7,2.8,2.3,0.1,0,0.9,1,27.1,2.6,3.2,1.3,1.6,0.3,0.1,0.7,9.4,6.9,354.2,7.1,4.1,1.6,0.2,0.1,0.3,0.1,11.4,3.5,1.2,0.9,1.6,0.9,0,42.5,0,0.6,5.1,0.7,0,1.3,224,0,732
"DOM_24",0.6,0.1,0.1,0.1,1.7,0,1,2.2,0,0.6,0.5,1.2,43.3,36.4,2.6,12.9,7,2.4,1.5,8.5,2.9,25.6,2.9,0.7,0.1,0,0.3,0.1,0.1,0.7,0.7,0.3,0.1,0.1,0.3,0,6.8,0,0.8,8.6,11,0,0.2,232.6,0,417.7
"DOM_25",10.5,1.3,0.1,0.5,15.1,0,11.6,2.3,0,0.4,0.9,9.7,15.2,49.3,0.9,5,17.8,13.1,3.9,10.3,2.7,194.1,30.2,8.5,1.6,0.2,0.2,0.2,0.1,21.9,17,2.8,1.2,0.5,3.1,0,23.9,0,0.4,25.7,4,0,0.3,323.1,0,829.5
"DOM_26",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,7.6,0.2,0,0,0,0.1,0,0.2,0.2,0.1,0,0.1,0,0.3,0.2,0,0.6,0.2,0.1,0,0.1,0,28.1,0,1,19.6,-1.1,0,2.9,199.2,0,260.3
"DOM_27",1,0,0,0,0.1,0,0.1,0,0,0,0,0,0.6,0,0.7,8.6,0.6,0,0,2.2,0,8.5,1.6,0.1,0,0,0,0.1,0.1,0.1,0.9,0,0,0,0,0,31.7,0,3.6,48.6,6.8,0,1.1,154.7,0,272.1
"DOM_28",0.4,0,0,0,0.5,0,0.6,0.1,0,0,0,0.3,0.4,1.5,0.1,0.1,5,0.8,0.1,1.3,0.1,7.3,2.5,0.5,0.1,0,0,0.1,0,0.7,0.6,0.1,0,0,0.1,0,4.4,0,0.2,67.8,5.9,0,0.1,156.8,0,258.8
"DOM_29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,1.8,7.4,3.9,0,0,0,0,0,0.1,0.1,0,0,0,0,0,36.2,0,0.3,55.8,4.5,0,0.8,60.1,0,176.5
"DOM_30",0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,4.6,0,0,0.9,0.4,5.1,0,0,0,0.1,0,0,0.8,5,0,0,0,0,1.6,0,1.7,28.3,3,0,0,78,0,130.1
"DOM_31T33",64,3.4,3.9,1.1,20.8,1.4,20.4,5.5,0,2.8,2.3,3.1,15.1,11,1.9,1.4,1.9,0.7,2.4,60,29.4,22.4,22.2,66,3.5,1,3.1,11.6,1.1,9.2,24,10,4.9,11.4,3.3,0,88.4,0,4.1,79.2,9.7,0,10.8,245.2,0,883.6
"DOM_35T39",108.2,5.5,0.8,1.9,61.1,5.5,107.4,15.6,0.2,21.3,10.4,94.3,54.3,25.6,2.1,9.3,10,5.6,2.2,21,1479.1,42.5,125,98,26.4,6.4,22.2,8.1,12.1,115.4,27.8,70.9,107.7,40.3,42.7,0,596.9,0,73.8,16.9,252.9,0,0.5,105.7,0,3833.7
"DOM_41T43",26,1.6,0.4,1,6.2,0.4,4,0.5,0,1,1.2,13.7,4.8,13.2,1,1.5,5.7,0.4,0.6,20.7,39.1,2451.5,29.1,256.9,6,0.4,0.5,0.4,2,194.4,44.2,124.3,24.4,4.7,16.9,0,28.5,0,76.9,3394.8,0.3,0,0.7,39.7,0,6839.9
"DOM_45T47",335.2,6.4,7.7,3.7,298.3,46.4,233.9,45.7,0.6,42,23.2,48.9,49.6,58.8,18.6,21.7,18.2,12.5,12.2,54.4,134.9,361.8,501,451.5,65.7,27,20.8,17.9,33.6,54.7,250,38,24.7,56.4,52.7,0,1733.3,0.2,56.2,340.7,56.7,0,30.9,1406.5,0,7053.3
"DOM_49T53",77.6,6.7,8.1,2.7,59.7,6.4,150.6,15.6,1.5,27,7.1,44.2,13,28,17.9,5.8,6.4,5.4,2.6,21.2,28.8,134.8,563.8,2964.1,10.3,8.1,7.7,14.1,6.5,10.2,154.3,34,16.7,10.3,22.8,0,1041.9,0.1,199.5,39.4,-10,0,98,2599.6,0,8462.7
"DOM_55T56",7.4,0.3,0.5,0.3,4.4,0.3,3.9,1.1,0,0.9,0.5,1.3,0.7,1.9,0.3,0.3,0.5,0.3,0.5,1.7,7.3,13.3,33.1,49.4,5.3,1.3,1.3,5.8,8.1,14.1,58.7,15.9,9.7,16.5,10,0,366.7,0.6,37.3,1,0,0,312.6,6.4,0,1001.5
"DOM_58T60",0.4,0.1,0.1,0,3.2,0.1,0.1,0.5,0,0.8,0,0,0.1,0,0,0.1,0,0,0.1,0.1,0.3,0.4,10.9,1.3,1,22.1,8.5,1,1.3,0.8,15.5,5.6,2.5,0.4,4.2,0,64.8,1.1,31.1,64.3,-1,0,2.9,86.1,0,331.3
"DOM_61",5.2,0.3,1.3,0.3,6.3,1,1.8,0.7,0.4,0.6,0.4,0.8,0.9,1.2,0.3,0.4,0.2,0.3,0.4,1.4,16.1,4.7,18.5,14.2,3.9,1.1,276.1,9.2,29.7,3.4,28.9,22.1,5.7,4.3,9,0,403.3,0,0.3,1.8,-0.9,0,14.6,126.5,0,1016.8
"DOM_62T63",4.8,0.5,0.2,0.1,6.6,0.1,2.6,1.2,0.1,1.4,0.5,1.2,1.3,1.3,0.5,1.5,0.7,0.7,0.3,2.5,4.3,8,46.6,36.3,2.8,6.4,30.4,130.6,83.1,4.4,36.6,29.6,3.6,7.5,13,0,21.3,0,8.7,199.2,-2.6,0,1.1,275.7,0,975.1
"DOM_64T66",23.4,3.2,0.1,0.9,25.7,2.2,17.8,7,0.2,4.8,2.4,4.5,12.4,8,1.9,1.9,2.5,1.7,2.1,6,23.5,49.5,105,87.9,9.8,3.2,6.8,9.3,377.2,143.5,67.4,43.2,1.9,4.3,10.7,0,239,0,0.1,34.2,-0.1,0,12.4,643.9,0,2001.4
"DOM_68",20.8,1.3,1.4,0.1,16,2.4,3.3,7.2,0.5,9.1,4.6,9.8,1.5,19.1,2.9,3.2,3.6,1.6,1,9.8,18,47.4,531,79.6,42.3,10.9,15,18.9,48.6,501.9,89.7,69.6,30.7,20.5,76,0,2678.1,0,53.9,425.6,-0.1,0,39.6,14.6,0,4931.1
"DOM_69T82",34.1,12.3,11.5,4.2,105.7,7,36.5,10.8,0.7,32.2,4.3,16.9,16.7,18.2,2.6,14.4,3.9,6.5,6.6,20.5,64.1,164.6,436.2,242.7,42.8,20.3,96.1,31.9,50.5,166.4,720.3,135.6,52.4,42.6,95.3,0,330.9,1.8,127,230,-1.6,0,22.4,589.9,0,4027.9
"DOM_84",0.6,0.4,0.3,0.1,1.5,0.1,0.8,0.3,0,0.2,0.1,0.6,0.6,1.3,0,0.4,0.1,0,0.2,0.7,9.3,3.5,3,4.7,0.6,0.4,2.5,1,4.6,3.2,8.6,103.4,4,4.8,7.2,0,47,5.3,2646.3,38.3,1.3,0,0.2,5,0,2912.5
"DOM_85",0.8,0.3,0,0,0.7,0,0.4,0.2,0,0.3,0.1,0.4,0.2,1,0,0,0.2,0.1,0,0.2,1.1,1,2.8,3,0.2,0.2,0.6,3.6,1.8,0.4,5.6,0.5,20.1,0.9,1.5,0,306.3,8.5,1309.9,34.2,0,0,21.3,5.4,0,1733.9
"DOM_86T88",0.9,0.2,0.3,0,13.8,0.2,0.5,0.8,0,0.6,0,1.6,1.4,1.3,0.2,0.6,0.2,0,0.2,8.3,11.6,6.3,5.9,31.6,2.9,0.6,0,0.2,0.5,0.9,20.8,1.4,0.7,42.8,5.2,0,899.8,208.5,0.7,1.4,0,0,13.6,0.9,0,1287.5
"DOM_90T96",4.7,1.8,1.7,0.5,10.9,0.4,5.2,0.3,0,1.3,0.1,0.8,4.2,4.1,2.7,0.4,0.1,0.4,0.9,0.3,7.9,2.4,18.4,19.5,16.6,2.9,7.4,9.2,17.9,1.5,15,11,7.1,6.9,46.6,0,525.1,115.1,423.2,4.6,0,0,48.2,21.8,0,1369
"DOM_97T98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9,0,0,0,0,0,0,0,0,39.9
"IMP_01T03",109.7,0,0,0,139.5,0.5,10.5,0.1,0,6.4,0.1,0.1,0.1,0.1,0,0,0,0,0,0.3,4.2,0.4,4.9,1.1,5.9,0,0,0.1,0,0.4,0.7,0.3,0.3,0.2,0.3,0,205.6,0,0.3,3.3,0.5,6.7,0,0,502.6,0
"IMP_05T06",0.9,11.2,0.1,5.1,8.7,0,0.2,0,0,17.3,0,0.1,5.4,0.1,0,0,0,0,0.3,0.7,369.7,0.6,0.5,3.3,4.4,0.2,0.6,0,0,4.9,4.4,0.1,0.1,2.8,5.2,0,4,0,0,1.4,0.2,0.7,0,0,453.3,0
"IMP_07T08",0.9,0.1,5.4,0.2,0.5,0,0.2,0,0,2.4,0.1,16.7,9.4,3.5,0.1,0.3,0.5,0.2,0.2,0.5,1,35.1,0.2,0.6,0,0,0,0,0,0.9,0.3,0,0,0.1,0,0,4.2,0,0.1,0.2,0,0.1,0,0,84.2,0
"IMP_09",0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IMP_10T12",48.8,0.1,0.1,0.1,144.6,0.6,2,0.8,0,2.6,0.8,0.7,0.4,0.6,0.2,0.2,0.2,0.1,0.2,0.6,2.9,3.5,11.2,4.8,77.1,0.3,0.1,0.3,0.6,0.9,4.6,7.5,2.8,4.5,13.4,0,955.8,0.1,3.4,2.4,0.3,20.9,0,0,1321.1,0
"IMP_13T15",0.5,1.2,0.1,0.8,7.7,107.7,8.8,0.9,0,6.4,6.4,0.1,1.4,0.2,0.5,0.1,0.2,0,5.3,17.4,0.8,17.9,38.7,10.5,6.9,2.8,0.9,0.1,0,1.7,20.8,17.7,2.2,26.4,26.1,0,371.5,0,0.1,1.4,0.2,9,0,0,721.6,0
"IMP_16",3,0,0,0,0.6,0.1,55.8,0.6,0,0.2,0.3,1.6,0.1,1.4,0,0.1,0.2,0.5,0.2,9.2,1.4,4.6,7.2,1.8,0.2,0.2,0,0.1,0,7.3,1.2,0.4,0.3,0.2,0.3,0,7.1,0,0.1,2.2,0.4,0.9,0,0,110,0
"IMP_17T18",9.1,0.1,0,0,18.2,0.8,10.2,63.6,0,1.7,1,2.8,0.4,0.6,0.1,0.5,0.5,0,0.1,1.9,0.5,8.8,6.2,3.6,2.3,4.2,0.2,1.5,0.7,0.5,11,4.8,5.4,0.8,2.9,0,29,0,0.1,1,0.1,2.4,0,0,197.7,0
"IMP_19",99.8,3.8,8.7,1.7,11.5,1.1,11.7,0.8,0.4,5.3,1.9,10.4,10.1,1.7,0.2,0.3,0.5,0.4,0.6,15.5,58.3,57.6,61.4,332.6,3.5,2.8,0.3,1.1,1.6,5.1,27.5,10.2,4.8,3.7,5.2,0,322.2,0,0.2,0.8,0.1,5.8,0,0,1091.2,0
"IMP_20T21",76.2,1.5,3.3,0.4,12.6,5.2,42.2,7.8,0.1,25.5,12.6,17.6,9.2,6.4,0.6,1.9,1.8,0.5,1.4,4.5,12.6,18.2,12.7,13,1.8,0.4,0.2,0.4,0.2,5.2,6.7,5.5,10.5,46.7,8.6,0,319.9,0,71.1,3.6,0.5,4.7,0,0,773.7,0
