"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",3879.8,8.3,19.2,6.9,27067.9,412.6,539.1,314,38.5,387.2,129.4,8,21.6,9.6,7.5,6.8,6.7,21.5,0.4,122.2,36.7,211.4,611.8,27.4,900.1,9.8,1.2,0.9,11.1,33.5,129.1,251.7,65.1,77.8,52.5,0,14143.1,61.3,1177.1,1364.7,309.2,0,111.4,7124.9,0,59718.4
"DOM_05T06",61.1,675.9,19.9,412.5,202.4,13.5,3.7,59.7,34246.6,856.5,53.3,153.4,402.8,21.8,14.4,16.5,18.3,220.1,6.1,19,3318.1,61.2,134.2,251.9,114.4,7,14.8,0.4,20.3,65.7,49,60.3,35.4,78.9,78.1,0,209,0.7,14.7,362,281.7,0,0,43711.5,0,86346.8
"DOM_07T08",46,21.5,608.3,51.9,38.1,6.8,2.6,40.6,1197,606.4,9.5,1571,9057.3,265.2,34.8,56,42.8,30.2,0.8,130.1,121,2144.2,50.7,43.2,4.9,0.5,0.5,0.1,3,68.3,13.6,63.2,2.5,1.2,7.2,0,69.4,0,1.7,81.4,17.9,0,0.6,3870.2,0,20382.2
"DOM_09",568.5,3750.4,934,2366.2,197.4,0.3,8.2,57.5,198.3,48.8,78.1,57.3,38.6,3.4,0.7,0.3,45.4,5.6,0.7,35.3,453.2,1753.3,11.7,40.9,2.3,0.5,1.2,0.2,6.2,5.1,44,168.8,31.9,3.2,1.7,0,55.1,0,1689.2,204.4,0,0,1.1,1.7,0,12870.7
"DOM_10T12",2543.6,4.7,7,4.6,12982.1,333.5,8.7,67.1,81.4,653.1,28.1,30.1,37.4,20.8,41.3,18.5,16.4,81.9,7.3,34.3,30.8,164.7,871,75.9,2939.5,21.7,10.6,2.9,41.1,36.7,120.1,547,148.2,401,160.9,0,108113,216.9,632.8,168.4,47.5,0,505.5,9001.4,0,141259.6
"DOM_13T15",44.5,12.4,15.9,12.3,72.4,3417.1,12,69.3,21.2,222.6,123.7,37,13.7,31.2,78.4,32.2,26.7,731.4,22.7,424.7,27.2,196.7,316.1,78.9,112.8,41.7,10.5,2.1,72.2,14.4,127,235.1,34.5,194.7,79.9,0,11068.7,29.9,91.1,87.5,38.2,0,328.6,5930.9,0,24539.9
"DOM_16",26.5,9.9,21.1,5.8,48.2,16.8,479.5,89.6,12.1,38.2,21.3,48.5,6.7,44.2,41.5,23,22.4,232.2,8.7,895.9,33.4,1638.8,88.5,26.2,18,13.6,3.6,1.1,7.3,233.5,39.3,24.5,12.8,4.8,26,0,327.9,0.5,2.8,13,3.6,0,14.5,253.2,0,4879.2
"DOM_17T18",62,10.5,29.6,7.3,1292.7,224,46,3334.5,74.4,487.7,151.5,191.1,38.4,87.3,322.1,121.3,84.9,476.8,24.9,231.5,62.7,212.5,1029.3,192.4,210.1,542.7,144,38.1,733.7,129.3,552.7,646.5,324,219.3,202.3,0,2878.8,2.1,185.2,41.7,13.3,0,45.8,1584.8,0,17289.9
"DOM_19",2115.4,619.3,1113,560.7,1427.1,292.1,114.6,314.4,11386.6,3881.3,264.9,1340.8,2086.6,401.3,529.2,326.2,291.7,1282.7,225.9,444.7,2596,4690.7,3167.5,17634.1,465,155.2,273.9,49,1011,692.4,1185.9,2342.5,401.3,574.9,414.3,0,10609.8,6.1,442.4,13.7,30.5,0,104.9,3507.5,0,79387
"DOM_20T21",1621.9,167.2,264.3,98,978.6,1072.5,172.8,817.7,2488.1,9723,3528.4,760.5,1066.9,528.4,1376.5,661.5,272.6,2166.3,150.6,716.3,324.8,1429.2,520.2,353.1,142.6,105.9,22.1,5.8,96.8,333.1,383.5,337.5,145.3,1342.3,273.8,0,14519.8,1.8,4532.4,271,42.2,0,95.6,10900.2,0,64811.3
"DOM_22",69.5,39.8,61.2,31,920.5,217.1,28.7,131.4,84.2,364.5,845.7,130.8,120.7,179.2,831,380.9,261.8,3001.2,131.7,359.5,59.4,1433.1,504.3,391,70.2,22.1,54.5,4.5,52.3,82.9,120.3,108,27,87.1,42.5,0,3340.9,0.5,34.9,208.4,62.7,0,9.2,5783.9,0,20689.8
"DOM_23",47.8,21.1,77.6,27.1,457.1,20,30.6,12.7,25.8,158.9,64.3,1611.5,137,127.6,537.5,134.4,80.3,743.5,28.3,99.5,51,7412.8,153.6,58.7,47.9,5.7,12.5,1.3,19.8,195.4,54.1,79.2,29.6,44.1,25.2,0,3332.2,0.1,6.8,28.3,20.7,0,0.9,2509.3,0,18531.5
"DOM_24",44.4,89.5,82.7,129.7,215.8,12.7,8.5,76.7,123,128.5,84.9,180.7,5876.7,4263,1569.3,2386.4,1931.4,6514.1,574.7,1222.9,127.6,4421.5,122.2,177.7,8.9,3.9,21.1,1,17.2,24.5,30.1,45.1,9.1,16.4,17.7,0,537.1,0.8,13.9,756.6,271.3,0,3.4,18452.4,0,50595.3
"DOM_25",91,119,74.8,63,728.1,80.2,51.5,56.7,143.3,174,128,142.2,660.9,1678.2,798.4,485.4,906.9,3488.8,200.4,405.2,122.7,3166,278.3,148.9,50.6,14.1,28.7,5.8,45.1,139.9,134.7,235.6,34.2,36,38.3,0,2481.2,1.2,30,1322.1,468.1,0,8,6378.7,0,25644.3
"DOM_26",25,15.3,15.2,12.4,100.7,106.4,5.4,40.8,39.7,95.1,64.8,39.5,54.6,70.5,3957.6,428.2,152,881.2,47.1,93.5,56.1,562.1,159.1,102.2,26.7,41,247.2,22.4,79,34.2,103.3,158.4,35.6,136.9,55.1,0,2497.4,5.5,353.8,2179,941.3,0,95.2,63185.6,0,77322.4
"DOM_27",18,22.3,18.5,12.6,73.1,32.1,4.7,23.1,29.7,45.5,30.8,25.7,95.4,101.4,967.8,984.5,229.6,1185.3,62.8,86.2,103.2,987.4,149,89.7,22.5,17.1,116.3,7.1,25.6,61,56.7,73.9,18,32.4,30.2,0,738.6,0.6,32.6,1063.1,486.4,0,24.7,18356.2,0,26541.7
"DOM_28",67.2,39.6,36.6,31,93.6,23,6.4,25.6,41,45.7,26.2,32.1,75.1,105.6,130.2,71.7,289.2,675.1,43.8,48.4,40.1,379.9,83.1,50.2,10.1,7.9,13.4,6.7,24.7,21.6,39.3,115,11,15.3,11.5,0,546.9,1.9,51.4,4766.4,1189.1,0,5.4,14028.9,0,23326.9
"DOM_29",31.9,19.8,22.8,16.5,108.9,72.7,9.2,26.2,26,55.9,72.9,36.3,84.8,128.2,441,246.7,182.1,12272.7,75.2,87.7,37.9,475.1,326.8,359.8,17.1,12.8,43.3,4.6,36.4,37.1,81.3,123,14,27.6,22.9,0,16925.2,2.7,125.5,10541.2,2845.5,0,51.4,80111.5,0,126240.7
"DOM_30",3.4,2.7,2.2,1.3,8.4,1.6,0.6,1.2,2.2,3.2,1.8,8.7,27.3,20.1,30.6,29.7,22.5,73.3,100.5,8.2,3.2,77.2,7.9,17.9,0.9,0.5,2.3,0.3,1.4,3,7.9,77.2,0.8,1.3,1.2,0,3734.4,0.1,37.6,382.8,70.4,0,1.4,2574.4,0,7354
"DOM_31T33",45.8,25.9,20,15,123.5,154.2,20.9,51,48.2,83.1,45.4,47,111.3,71,153.5,77.1,70.3,348.7,17.2,101.2,53.7,312.5,89.7,122,24.3,15.2,36.3,3.2,33.8,113.6,45.9,68.4,12.6,36.5,17,0,4310.1,1.2,44,3037.1,64.6,0,202,10288.3,0,20562.2
"DOM_35T39",181.7,176,293,67.1,560.4,151.5,43.2,251.6,406,547.4,152,380.2,854.5,176,313.4,112,128.5,643.6,45.9,117.4,2088.2,259.1,753.5,423.4,332.5,78.9,148.3,12.8,275.3,623,240.1,697.1,327.4,361.5,191.4,0,20031.7,19.4,942.7,929.8,23.8,0,0.3,267,0,34628.1
