"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",66.1,0,0,0,92.9,0.1,0,0,0,1.3,0,0,0,0,0,0,0,0,0.1,5.6,0,0,0.2,0.1,37.9,0,0,0,0.1,0.1,0.9,0.1,0.1,0.4,2.4,0,96,0,3.2,2.5,-0.5,0,8.9,67.9,0,386.6
"DOM_05T06",0,0.7,0,0.1,0.1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,25.2,0,0,0.1,0.3,0,0,0,0,0,0.1,0,0,0.1,1.4,0,0,0,0,0,0,0,0,0,0,28.6
"DOM_07T08",0,0,2,0.1,0.1,0,0,0,0.1,0.8,0,8.1,0.5,0.1,0,0,0,0,0,0.1,0.5,9.5,0.1,0.1,0.1,0,0,0,0,0.2,0.1,0.1,0,0,0.2,0,0.2,0,0.1,2.8,0,0,0,0.2,0,26.1
"DOM_09",0.3,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,14.7,0,16
"DOM_10T12",13.4,0,0,0,30.3,0.2,0,0.3,0,5.4,0.2,0.1,0,0,0.2,0,0,0,0,0.3,0.6,0.4,2.7,0.9,68.6,0.1,0.1,0.1,1.6,0,0.9,1.9,1.1,2.5,16.8,0,186.8,0.1,1.7,0.4,0.5,0,26.4,130.8,0,495.5
"DOM_13T15",0.1,0,0,0,0.1,5.6,0,0.1,0,0.4,0,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0.1,0.2,0,0,0,0,0,0.2,0.2,0,0.4,1.1,0,34.1,0,0.3,0,0.2,0,13.9,75.4,0,133
"DOM_16",0,0,0,0,0.1,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0.1,4.2,0,4.6,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,1.8,0,0,0.2,0,0,0.6,1,0,14.5
"DOM_17T18",0,0,0,0,2.4,0.3,0,21.1,0,2,0,0,0,0,1.9,0,0,0,0,0.9,0,0,3.4,0.4,1.5,3.8,0.5,0,4.8,0,2,1.3,1.5,0.4,6.8,0,11.4,0,0.1,0,2.8,0,2.7,107.1,0,179.1
"DOM_19",0.3,0,0.1,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0,0,0,0,0.1,1.2,0.5,0.3,2.4,0.1,0,0,0,0,0,0.1,0.1,0,0,0.2,0,6,0,0,0,0,0,1,0.3,0,13.2
"DOM_20T21",0.4,0,0,0,0.5,1.7,0,0.2,0,9.9,0.9,0.1,0,0.2,0.7,0,0,0,0,0.5,0,0.5,0.1,0,0.4,0,0,0,0,0,0.1,0,0,8.1,0.4,0,40.9,0,78.3,0.6,-0.1,0,6.1,192.4,0,343.3
"DOM_22",0.2,0,0,0,1.8,0.4,0,0,0,2.5,6.7,0,0,0,9.5,0.7,0,0,0.2,3.5,0,0,3.5,0,1.1,0,0.3,0,0,0,0.2,0,0,0.3,1.3,0,3.8,0,0.9,0.5,0,0,0.1,118.3,0,156
"DOM_23",0,0.2,1.2,0.1,1.7,0,0,0,0,0,0,23.2,0.1,1.2,0,0,0,0,0.2,2.6,0.1,79.2,0.1,0.2,2,0,0,0,0.1,0.8,0.4,0.1,0.1,0.1,0.3,0,8.7,0,0.4,13.9,-2.2,0,0.1,10,0,145.2
"DOM_24",0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.4,0.9,0.2,0.1,0,0,0.4,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,11.8
"DOM_25",0.5,0,0,0.2,1.8,0,0,0,0,1.3,0,1.3,0.2,10.4,13.3,0,2.9,0,0.9,9.9,0.2,22.1,0,0,1.1,0,0.2,0,0,0.2,0.8,0.1,0,0.1,0,0,7,0,0.3,11.9,-4.3,0,0,20.3,0,102.8
"DOM_26",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0.3,0.2,0,0.1,0.3,0.1,0.4,0,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0,12.8,0,0,3.5,-22.8,0,6.7,1322.1,0,1365
"DOM_27",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2.2,0.4,0.1,0,0,0.2,0.5,0.5,0.1,0,0.5,0,0.1,0,0,0,0,0,0,0,0,0,5.1,0,0,1,-3.1,0,1,40.1,0,48.8
