"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",6510.8,53.6,30,7.4,19322.8,228.6,2358.8,1053.2,21.7,401.6,381.2,13.8,59.5,9.9,24,7.3,8.9,11,11.4,241.3,54.3,135.6,387.5,39.3,714.6,3.9,2.4,3.6,10.5,16.7,44.6,142.8,67.6,28.9,52,0,7610.4,1.4,360.1,1859.5,159.7,0,162.6,5878.5,0,48493.1
"DOM_05T06",65,3608.4,13.6,251.8,142,10.4,4.1,52.1,17496.7,1149.9,113.6,93.7,230.7,9.7,14.8,8.1,9.3,28.4,7.9,12.6,2010.5,17.6,89.1,82.5,88,2.5,17.7,1,17.7,30.4,18.5,32.3,27.5,28.2,108.1,0,51.1,0,3.3,5587.1,652.4,0,0,25101.1,0,57289.1
"DOM_07T08",97.3,155.7,664.2,55.7,50.7,8.5,3.7,58.8,218.3,1301.4,26.8,1664.9,1919.4,53.1,30.2,16.8,20.4,4.2,10.2,102.7,52.3,1037.2,44.2,42.8,1.7,0.2,0.7,0.5,2.3,33.8,7.4,58.2,3.1,0.6,5.8,0,4.7,0,0.3,0.7,4.7,0,0,535.7,0,8300.1
"DOM_09",314.1,3320.3,181.4,241.6,28.5,0,1.5,8.5,16.8,9.7,27.7,6.1,2.1,0.2,0,0,4,0.1,0,3.7,45.4,85.1,0.1,5.8,0,0,0,0,0.2,0,2.6,15.1,4.1,0.2,0.1,0,0,0,65.2,0,0.4,0,0,71.7,0,4462
"DOM_10T12",3540.2,4.9,2.2,1.5,12552.9,51.3,8.1,57.7,25.6,365.6,28.5,10.7,2.6,2.7,10.2,2.1,2.9,2.2,2.3,17.1,18.4,28.3,487,45.8,3822.5,7.5,4.2,4.8,34.4,13.7,40.1,365.2,140.2,183.3,447.8,0,13737.3,2.1,171.4,101.8,73.3,0,707.8,24366.3,0,61494.6
"DOM_13T15",71.8,100,13.1,13.8,34.6,1856.4,11.5,32,8.6,50.4,133.1,14.6,5,10.2,67.9,10.7,11.6,52.9,35,158.8,21.5,39.3,185.6,83.6,67.9,24.7,17.8,5.9,89.9,5.9,53.7,186.7,30.7,107.8,128.3,0,1773,0.5,35.1,9.6,11,0,476.1,2216.8,0,8263.3
"DOM_16",58.4,32.9,12.5,3.2,22.3,7.1,510.8,78.4,5.4,36.3,41.4,28.3,3,17.7,38.2,10.2,10.6,27.1,20.5,520.1,19.5,439.3,48.1,17.4,13.2,4.2,3.5,2.6,5.1,51,12.2,11.9,9.3,1.7,22.4,0,3.7,0,1.3,31.8,15.8,0,20.6,3392,0,5610.9
"DOM_17T18",115.4,34.1,25.7,3.3,722.7,68,80.3,2345.3,24.4,230.8,245.8,97.5,13.7,29.7,247.4,45.9,34.7,44.2,4.2,116.2,43.8,44.1,427.3,109.1,119.9,195.5,109.3,73.2,424.1,33.2,142.3,246.1,178,55,112.4,0,725.1,0,41.3,1616.8,101,0,67.8,1045.8,0,10440.3
"DOM_19",1429.4,1371.8,442.5,151.8,475.8,94.5,58,125.4,2579.4,2314.2,284.6,386.9,518.5,80.4,246.8,72,69,74.4,24.3,134.7,734.2,606.7,885.1,4263.3,169,24.4,143.2,58.8,363.9,114.7,179.2,566.5,141.7,89.3,193.4,0,5873.4,0,44.8,5.3,75.1,0,266,11515.3,0,37247.7
"DOM_20T21",795.9,326.4,87.8,24.1,466.3,303.6,80.1,294.1,506.2,4359.1,3079.6,198.4,219.9,105.9,581.2,135.1,64.8,125.5,50.1,190.7,79.4,180.3,133.3,72.3,84.1,16.4,7.2,5.1,29.9,32.7,57.5,82.1,48.9,196.2,106.2,0,486.3,0.1,518.4,51.9,62.5,0,124.8,14779.9,0,29150.5
