"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",4124.9,13.1,0.9,0.1,13037.3,80.9,56.9,23,15.3,86.5,97.7,8.8,24.9,16.2,34.5,10.5,11.7,2.6,9.1,23.3,77.5,179.2,241.8,78.3,329,2.7,5.8,6.8,8.1,122.3,118.6,191.6,9.8,202.7,83.1,0,5032.4,14.5,451.5,293.2,143.8,0,225,15444.1,0,40939.9
"DOM_05T06",200.3,1235.3,110.1,18.8,86,0.9,2.7,32.4,7205.4,777.9,8.1,43.9,36.9,14.6,6.1,3.7,7.8,4.9,4.3,6.2,764,13,120.4,51.3,65.9,1.8,5.1,1.8,23.3,34,46.9,45,76.5,53.1,81.6,0,1385.4,0,44.5,4.4,287,0,0.4,21345.6,0,34257.3
"DOM_07T08",13.9,0,5.2,0.1,4,0.2,0,1.8,0,53,0.6,146.6,49.6,0,0,0.3,0,0,2.4,6.6,0.8,374.6,3.1,0,0,0,0,0,0,20.4,1.6,20.8,0.3,0,0,0,15.8,0,0,0,-0.6,0,0,131.5,0,852.3
"DOM_09",0,28,2.5,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,71.4,0,102.8
"DOM_10T12",4253.6,8.5,0.5,0.1,13606.1,25.5,3.1,83.5,321.7,903.1,55.2,9.1,11.9,50.8,82.8,10.6,70.5,10.4,18.8,41.5,529.5,171,475.3,81.6,2863.7,14.8,17.6,33.1,112.4,149.6,466.3,218.4,79.8,813.4,464.8,0,24229.3,0,179.6,264.2,111.8,0,419,33825.2,0,85087.6
"DOM_13T15",20.7,0,0.3,0,13.4,513.5,0,102.7,0,20.7,84.1,21.1,1.4,34.3,1.3,5.1,21.5,20.7,28.1,174.9,3.6,136.2,24.6,7.1,17.6,1.3,0,0,4.1,6.5,24.5,16.7,3.3,58.5,22,0,1078.5,0,0,111.7,47.5,0,74.3,1772.5,0,4474.4
"DOM_16",26.4,1.6,0.4,0,37.5,3.4,197.3,17.8,3.7,31.4,13.6,14.4,6.6,39.4,10.1,6.1,26.3,7.3,31.5,208.7,19.6,896.9,40.4,35.9,7.8,3.4,3.8,4.6,2.6,198.2,40.2,18.8,8.2,10.4,21.5,0,226.3,0,29.9,113.9,20.7,0,10.2,540,0,2936.9
"DOM_17T18",22.1,4.2,1.7,0,642,22.1,13.5,1942.3,18,138.6,63.7,32.4,10.9,102.3,74.4,15.2,129.6,24,17,89.1,86.7,179.1,636.8,165.2,87.5,764.8,67.6,231.9,178.8,224.8,950.8,265,234.1,382.8,126.8,0,1477.7,0.9,66.7,451.4,-4.3,0,48.6,3303.7,0,13290.4
"DOM_19",641.8,7.8,28.8,1.4,78.4,33.1,9.3,26,1736.6,4812.4,62.1,95.3,400.2,107.8,14,237.4,44.6,32.5,84.6,117.2,669.4,2214,829.9,7699.5,53.9,4,7.1,116.5,66.4,622.9,1150.4,265.3,164,66.5,236.6,0,5038.6,0,54.5,144.2,99.6,0,126.9,18743.9,0,46945.1
"DOM_20T21",644.9,15.4,13.6,0.5,352.6,216.1,58.1,373.3,1021.9,13390.7,1740,275.9,311.9,191.8,165,135.4,69,58.2,201,234.6,290.9,1335,420.7,723.3,41.2,22.1,13.1,33.1,88.4,420.3,726.1,154.2,96.4,343.9,221.7,0,3670.8,0,1140.9,747.2,-9.1,0,114.8,37858.1,0,67922.9
"DOM_22",64.5,2.5,2.2,0.1,263.4,20.2,48.1,145.5,16.3,195,284.3,158.8,35.2,260.4,47,65.8,255.8,132.3,103.1,159.2,34.7,1155.4,291.9,126.7,6.4,10.1,5.3,18.3,34.2,108.4,145.7,31.8,15.4,108.4,36.6,0,539,0,25.6,259.7,45,0,1.8,5065.6,0,10325.6
"DOM_23",36.5,2.5,3.1,0.1,117.5,3.8,11.8,5.8,4.7,45,13.1,320.7,33.4,80.1,29.8,26.4,36.5,3,32.7,32.7,35.9,3510.9,47.8,37.4,16.4,3.1,4.3,5.5,22.5,162.3,80.7,38.5,17.8,29,24.2,0,455.3,0,44,99.7,13.9,0,2.3,1664.3,0,7155
"DOM_24",4.9,7,0.4,0.1,21.9,0.9,2.9,12.4,4.7,24.6,7.4,10.6,178.2,580.5,67.3,55.3,397.5,55.2,77.6,82.7,32.9,532.9,35.9,11.1,2,0.9,1.3,2.2,2.3,20.6,23.3,18.8,4.4,5.1,3.5,0,118,0,85.8,186.7,30.1,0,1.3,7132.3,0,9843.6
"DOM_25",158.2,12.7,4.9,0.5,526.8,15.3,76.7,43.3,28.5,220.2,34.5,44.1,289,2041.6,204.8,40.4,2372.9,205.6,431.7,924.3,146.2,3704.4,276.3,199,25.2,8,21.3,41.9,29.5,443.5,490.7,391.3,71.8,36.9,33.9,0,839.9,0,175.2,1891.8,453.7,0,4.9,6675.6,0,23637.2
"DOM_26",161.2,21.5,1,0.1,119.6,4.8,10.9,43.2,44,158.9,24.1,38.8,50.4,98.5,2275,51.6,219.2,22.5,48.2,107.7,159,276.4,333.9,352.8,40.5,38.4,183.4,440.9,351.5,339.3,722.9,285.3,59.9,110.8,79,0,2266.5,0,537.6,4575.8,58.6,0,89.9,22700,0,37503.8
"DOM_27",26.6,6.1,0.3,0,57.5,2.5,2.4,10.2,14.4,46.7,8.5,14.5,25.8,93.7,252,240.5,210,26.9,68,71.2,36.6,622,121.4,66.8,16.1,5.5,84.7,46.3,66.5,124.1,265.9,64.2,21.9,34.9,27.3,0,678.7,0,119.1,358.4,37.5,0,17.8,3196.3,0,7189.5
"DOM_28",321.3,24.9,6,1,180.9,21.9,16.7,65.8,48.1,291.6,48.6,66.7,142.1,299.4,253.5,64.1,2601.8,142.3,256.2,351.6,224,804.6,319,419.7,30,5.6,36.1,39.2,31.8,467,363.4,184,17.6,31.7,28.7,0,375.4,0,106.8,5165.2,680.5,0,8.9,17425.6,0,31969.9
"DOM_29",8.2,1.6,0.2,0,13.2,0.5,1.2,3.4,2.1,8.2,2.2,2.7,3.2,21.1,19.2,2.5,38.1,351.8,12.1,18.3,16.4,50,210.2,50.2,5.8,2.1,4.9,6.4,18.5,22,98.9,19.2,13.6,13,7.9,0,1393,0,67.7,1251.5,-181.9,0,18.5,4770.8,0,8368.5
"DOM_30",90.8,11.6,0.5,0.1,45.7,1.2,3.9,16.4,13.5,56,8.8,17,25.2,53.8,25.3,11.4,89.9,6.1,1214.4,44.5,59.9,136.1,51.4,423.7,7.7,1.3,7.8,6.3,4.4,117.5,131.9,491.9,3.2,4.7,5,0,536,0,804.1,1354.1,269,0,1.7,3136.6,0,9290
"DOM_31T33",851.4,62.1,4.1,0.5,478.9,17.3,42.1,166.5,114.9,572.2,94.1,176.1,235.3,352.9,187.1,73.8,406.3,64.3,220.1,588.9,615.3,849.6,500.6,1204.4,92,21.7,85.4,77.8,109.9,1229,619.2,571.2,141.2,430.8,120.7,0,1626.5,0,3831.7,1763,226.6,0,186.7,4459,0,23471.2
"DOM_35T39",398.3,257.5,12,0.5,526.6,45.6,27.8,209.5,209.7,664.3,116.8,153.9,420.5,232,65.1,37.8,107.9,29.5,87.1,93.8,2077.2,1072.2,669.4,371.1,271.2,22.2,82.1,105.8,117.8,1883.5,668.3,642.9,189.8,247.7,299.3,0,8012.3,0,8046.3,3132.1,1541,0,5.2,2492.7,0,35646.3
"DOM_41T43",249.9,72.2,6.9,0.4,143.1,8.1,19.8,54.9,120.9,241.2,34.5,85.8,79,307.9,110.9,30.5,285.9,35.3,82.1,249.1,601.7,9716.4,831.2,937.8,120.1,25.5,162.6,78.5,55.9,6331.6,1147.6,1612.9,398.8,377.2,259,0,675.6,0,11969.5,66687.8,34.4,0,10.7,638.5,0,104891.7
"DOM_45T47",4214.5,59.2,23.2,1.2,14279,706.9,269.8,1182.6,1482.3,5030.3,785.9,556.1,465,1289.6,2138.8,462.1,2325.6,697.5,733.4,1509.9,1281.3,7915.8,18701.8,3124.5,2186.2,962.7,897.6,1262.4,850.1,1466.7,5958.7,1116.4,544.7,1703.1,1473.1,0,31915.4,3.8,2898.8,7243.7,1197.2,0,528.6,53456.7,0,184902.1
