"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",1698.6,1.4,0.1,4.3,5677.2,16.3,441.1,474.9,0.3,149.6,3.9,6.2,5,4.4,4.8,3.2,5,1.1,4.5,10.9,10,44.4,68.1,64.7,281.3,27.9,3.4,17.3,25.3,4.2,43.7,49.1,29.9,63.7,10.8,0,2688.5,0,1,107.3,58.6,0,37.7,3711.9,0,15861.7
"DOM_05T06",124,792.3,37.3,740.1,133.6,7.3,15,40.8,1157.3,465.1,6.8,51.7,213.2,25.1,8.2,13.7,273.4,4.3,130.1,83.9,943.9,304.5,273.1,1264.1,60.5,33.9,22.9,37.7,14.1,83.5,337.3,90.8,27.7,77.1,80.1,0,1195.5,0,9.8,6125.9,5559.6,0,38.6,97124.6,0,118028
"DOM_07T08",13,11.2,62.9,46.1,11,0.3,2,9.1,0.1,100.7,1.1,267.7,360.2,2.5,0.7,0.6,9.8,0.3,9,9.7,13.6,542.6,34.9,11.8,2.9,3,1.4,2.5,2.6,24.3,20.1,17.7,2.5,2.9,4.5,0,74.4,0,13.9,31.7,7.8,0,1.3,836.8,0,2571.1
"DOM_09",1981.4,5504.2,470.2,5075.5,110.6,0,12.6,33.9,9.5,32.3,20.6,26.8,36.6,1.5,0,0,29.2,0.1,0,7.1,203.4,1189.8,1.1,96.3,0.1,0,0,0,0.6,0,127,86.3,26.3,1.6,0.6,0,0,0,1853.5,0,4.1,0,0,1393,0,18335.7
"DOM_10T12",997,29.3,4.8,26.6,4038.7,5.9,29.6,45.3,2.6,566.7,11,50.4,36.4,45.4,27.9,15.1,148.6,6,34.2,72.1,30.8,117.6,307.9,237.2,1602.9,35.4,29.2,25.5,27.7,32.9,185.4,205.6,83.5,198.1,278.9,0,12151.8,1.2,370.4,248.9,66.1,0,188.8,5337.1,0,27956.4
"DOM_13T15",4.3,3.6,0.5,3.2,5.5,16.7,3.2,3.3,0.2,13.9,1.4,4.1,3.5,6,2.7,1.4,12.9,1.1,5.5,10.3,2.6,13.2,24.2,21.4,2.1,2.9,2.3,2.1,1,2.1,12.4,5.6,1.7,5,4.1,0,739.8,0,2.5,59.4,7.9,0,23.7,224.3,0,1263.4
"DOM_16",15.2,14,0.9,15.7,23.3,0.5,619.9,82.6,0.8,32.5,2.7,14.1,12.1,24.8,7.6,4,39.4,2,64,86.6,27.8,2082.3,95.6,51.6,9.5,7.2,6.2,4.5,3.9,483,24.9,6.4,7.8,6.8,42.5,0,82.1,0,5.4,101.3,36.4,0,5.3,396.8,0,4549.9
"DOM_17T18",25.6,6.9,2.8,7,112.4,4.8,5.8,202.3,0.8,116.3,7.9,9.2,9.3,5,3.7,2,20.4,0.7,7.1,13.5,10.4,33.4,188.6,41.6,17.6,52.8,3.7,8.5,3.5,24.6,89.9,20.7,8.6,8.4,15.7,0,1998.6,0,8.1,69.9,7.3,0,17.8,1652.7,0,4845.5
"DOM_19",25.5,10.7,5,14.8,8.5,0.8,2.2,2.4,6.6,24,0.9,7.7,16.2,2.4,0.7,1.2,2.3,0.4,1.7,3.7,16.7,39.3,26,208.5,3,1.4,1.4,1.9,2.2,5.2,18.8,15.2,4.3,5,4.6,0,255.6,0,0.6,0.9,10.6,0,7.9,1160.2,0,1926.7
"DOM_20T21",75.8,49.8,12.5,49.8,126.2,18.1,21.4,37,7.1,2640.3,60.2,24,92,33.2,25.6,14.8,162.6,4.4,69.9,64.9,20,200.8,422.8,243.1,32.9,41.6,19.1,32.1,17.1,83.6,225.2,95.5,36.6,930.8,46.5,0,1628.5,0,11192.9,590.4,317.8,0,44.5,5636.9,0,25448.4
