"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",4383.5,8.9,10.2,0.8,12017.5,66.7,668,169.8,6.9,47.6,31.3,2.1,2.5,3.6,0.7,0.9,2.6,0.4,1.3,11.4,36.2,103.3,196.6,18.8,345.3,10.1,2.7,2.6,8.5,35,94.6,62.7,42.6,60.9,58.5,0,969.2,1.6,464.4,247.2,47.9,0,87.1,3651.6,0,23983.8
"DOM_05T06",63.3,50.5,14.2,9.1,11.8,0.6,1.5,5.6,93.5,7.8,1.4,9.3,35.1,0.8,0.1,0.1,1.6,0.1,0.1,0.5,401.2,49.9,6.1,10.3,1,0.6,0.9,0.8,2.4,16.9,6.6,8.3,6.8,8,4.3,0,20.1,0,35.2,94.7,-0.1,0,0.6,827.6,0,1809.9
"DOM_07T08",40.7,15.8,668.2,1.8,4,0.4,3.2,11.3,667.4,63.7,3,143.3,1610.9,166.9,1.9,11.4,16.3,0.3,1.1,12.9,240.3,433.4,17,12.3,5.9,0.1,0.2,0.2,1.4,9.5,5.8,8.1,1.2,0.4,4.7,0,22.1,0,3,18.6,0.4,0,0,25.7,0,4254.7
"DOM_09",75.7,36.6,17.6,10.6,6.5,0.1,0.6,1.7,4.2,1.1,1.2,1.7,3,0.6,0.1,0.1,0.7,0,0.1,0.3,16.8,39.9,3.3,2.7,0.6,0.9,1.2,2.2,2.9,3.9,6.1,4.4,2.1,1.2,1.6,0,17.5,0,40.3,30.8,0.1,0,2,36.5,0,379.4
"DOM_10T12",1425.6,5.9,9.7,1.1,3174.3,31.4,18.1,48.3,33.5,100.9,55.4,14,7.5,14.9,4.8,6.1,10.1,2.2,6.5,6.5,37.4,108.2,423.3,44.2,632.7,13.1,6.5,6.8,17.9,31,80.3,87,57.2,148.8,99.5,0,7421.8,2.4,213.7,86.7,46.9,0,295,16756.2,0,31593.1
"DOM_13T15",40.4,1.7,3.1,0.5,16.7,215.1,6.4,15,2.1,8.9,16.8,2.9,0.5,3.6,1.2,1.3,2.6,2.1,3.9,16.7,8.7,33.6,47.5,15.6,14.4,6.7,1.5,1.2,6.5,5.1,30.2,25.8,10,38,25.5,0,571.8,0.3,23.2,15.7,2.1,0,59.1,522.4,0,1826.5
"DOM_16",60.8,9.4,13.3,0.7,26.3,3,634.5,52.8,3.5,7.3,7.9,10.5,1,14.9,1.9,2.8,6.9,2,7.9,87.2,36.8,770.3,40.5,9.6,8.3,7.2,1.6,1.5,2.5,145.3,35.1,8.6,10.9,5.6,20.2,0,78,0,4,44,9.5,0,9.8,1168.5,0,3372.5
"DOM_17T18",74.5,3,6,0.5,236.3,11,24.5,494,12.8,39.2,32.7,13,2.2,9.9,4.9,5,8.2,1.6,3.2,8.5,33,54.1,128.4,31.5,31.9,110.5,16.9,17.6,58.1,37.9,162.9,60.6,82.1,42.8,79.8,0,415.2,0.1,45.4,155.8,3,0,25.3,1256.9,0,3841
"DOM_19",708.6,45.4,113.4,12.6,189.6,14.3,32.1,40.7,505.3,161.3,22.6,58.4,36.3,25.9,5.2,8.2,17.1,2.5,12.5,11.8,527.2,480,294.4,1283.3,44.7,21.1,22.6,15.2,66,131.3,238.6,152.2,69.2,79.8,98.2,0,1060.6,0.2,63.9,50.1,1.3,0,56.8,172.3,0,6952.8
"DOM_20T21",311.8,11.9,27.6,1.8,94.4,42.7,33.1,68.6,90.7,252.7,175.8,23.9,28.2,24.1,7.3,10.3,11,2.7,9,11,44,112.7,43.5,31.2,11,10.2,2.2,1.8,5.5,31,54.2,16.4,17.6,64.6,32.3,0,369.3,0,204.9,20.7,2.2,0,26.3,696.5,0,3036.8
