"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",839.2,2.5,46.5,0.4,5883.2,54.1,364.7,0.4,0.4,37.7,16.4,2.8,1,0.3,0,0.5,0.1,0.2,0.5,0.4,1.7,62.5,62.1,7.9,349.8,1.1,0.4,0,0.5,2.2,26.9,34.1,0.5,9.5,13.8,0,5078.5,0,0.4,436.6,13.7,0,20.4,913.2,0,14287.1
"DOM_05T06",6.8,448.2,77.2,24,12.1,0.9,0.9,0.9,4009.7,4.5,0.6,46.6,346.6,0.4,0.1,1.3,0.1,1.3,0.5,1.7,620.6,7.7,34.2,73.9,60,1.3,2,0.2,2.4,5.1,18.5,9.1,1.6,18.8,23,0,16.4,0,0,129.1,-1.3,0,0.6,979.6,0,6987
"DOM_07T08",31.3,3.8,352.2,4.3,30.2,0.7,0.8,10.2,0.8,187.4,3.1,458.6,718.1,64.5,2.4,44.8,17.4,4,2.2,57.9,9.5,653,19.3,16.8,3.3,0.4,3,0.2,1.5,14.8,10.9,17.2,1.3,2.9,5.9,0,25.6,0.6,1.1,396.7,-39.4,0,0.2,16736.6,0,19875.9
"DOM_09",1,611.9,235.7,28.6,0,0,0,0,6.1,0,0,0,2.9,0,0,0,0,0,0,0,2.5,0,0.1,2,0,0,0,0,0,0,2.4,0,0,0.1,0.1,0,0,0,0,0,0,0,0,1.2,0,894.8
"DOM_10T12",441.3,10.6,20,0.5,1915.1,26.6,1.1,18.7,6.3,58.7,20.8,4.4,7,3.1,0.6,1.5,1.4,0.7,0.4,8.2,4.6,20.1,70.4,29.7,1324.4,4.6,9.3,1.2,10.3,3.4,34.6,64.4,6.4,34.3,47.1,0,12466.2,0,0.9,145.1,12.1,0,92.5,4554,0,21482.9
"DOM_13T15",26.1,4.7,28.6,0.6,15.6,1748.1,3.9,4.9,0.2,2.1,36.5,4.5,1.5,0.2,0.5,2,0.1,4.2,1.6,138.6,3.6,9.8,56,16.2,30.7,3.3,0.8,0.1,2.2,0.6,20.3,52.8,5,29.6,23,0,3375.6,0,0.1,5.4,-5.1,0,61,1546.2,0,7261.5
"DOM_16",16,2.7,54.2,0.4,18.8,1.4,158.9,1.9,0,8.4,0,13.3,1.4,8.7,0.3,2.2,0,1.9,2,352.1,0.9,452.5,21.8,8.4,15,2.2,0,0,0.2,23.2,15.7,8.2,8.6,1.5,14.4,0,6.8,0,0,0.5,0.5,0,2.4,226.8,0,1454.3
"DOM_17T18",12.4,1.1,23.4,0.2,244,45,5.7,881.3,0.1,44.7,28.2,20.3,0.9,4.6,1.2,4.8,3.6,1.7,0.4,34.1,10.7,29.6,172.2,40.5,69.6,231.5,69.9,8,98.5,7.3,176.8,168,171.4,32.7,79.9,0,745.7,0,0.2,1.8,-1.1,0,7.1,76.2,0,3554.3
"DOM_19",351.6,129.5,443.6,8.4,161.1,44.6,7.6,35.6,408.2,231.1,35.8,71.2,136.4,16.2,0.9,6.5,5.6,2.2,1.4,34.4,100.1,246.1,189.4,1086.9,81,5.9,29.7,2.8,36.3,12.4,91.5,159.8,55,31.5,46.1,0,860.8,0,1.8,91.9,17.6,0,21.5,2931.3,0,8231.5
"DOM_20T21",207.5,27.1,99.3,1.3,85.7,121.2,9.8,80.1,77.2,479.5,298.8,37.3,74.4,24.3,2,12.2,5.7,3.5,2.2,51.3,9,79.6,32.9,12.5,12.8,4.3,1.4,0.2,2.8,5.8,32.9,23.7,17.9,98.7,31,0,1830.2,0,0,3.7,-3.8,0,12.8,871.5,0,4780.4
