"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",5933.8,0.6,14.8,0.4,17371.3,325.8,180.4,41.9,11.3,147.7,45.7,2.2,1.4,1.1,1.7,3.2,1.1,2.1,0.5,26.2,31.6,65.9,764.6,22.3,347.1,5.3,0.5,0.7,7.5,8.3,50.4,87.6,53.7,29.1,101.2,0,9179.5,0,172.1,3480.9,-109.7,0,34.1,821.3,0,39267.2
"DOM_05T06",0.8,0.6,0.2,0.2,1.1,0.1,0,0.3,110.1,4,0.2,0.8,1.1,0,0,0.1,0,0.3,0.1,0.1,39.8,0.3,1.4,0.9,0.3,0,0.1,0,0.1,0.2,0.2,0.2,0.3,0.3,1.1,0,2.2,0,0,1.1,-0.9,0,0,200,0,367.6
"DOM_07T08",20.4,0.5,519,0.4,1.1,0.6,1.3,3.5,415.6,58.5,1.4,142.2,1910.5,45.2,6.3,26.7,6.5,1.8,1.3,26.6,146.5,190.9,19.8,8.6,2,0,0,0,1.5,1.3,1.1,3.5,0.4,0,4.7,0,17.4,0,0,2.6,-2.9,0,0,567.4,0,4154.3
"DOM_09",30.6,5.1,7.5,2,1.6,0,0.1,0.3,0.8,0.3,0.4,0.4,0.1,0,0,0,0.1,0,0,0.2,6.7,11.2,0,0.4,0,0,0,0,0,0,0.2,0.8,0.4,0,0,0,0,0,3.6,0,0.4,0,0,76.8,0,149.9
"DOM_10T12",3866.1,0.1,0.5,0.1,7510.2,105.4,6.6,22,12.7,162.2,4.2,6.4,0.8,0.8,2,1.8,0.9,1.7,2,10.4,24.2,37.4,677.2,34.2,1303.5,9,2,1.3,24.5,10.9,43.4,200.5,133.7,157.1,433.5,0,31802.1,0,95.1,914.1,-23.9,0,138.6,2305.3,0,50040.7
"DOM_13T15",59.6,1.5,15.9,1.1,17.6,2189.2,10.9,11.3,3.9,20,18.1,7.9,1.4,2.7,12.6,8.4,3.4,40.1,20.7,100.6,22.2,47.3,262.4,50,21.3,21.1,6.5,1.4,51.6,3.7,43.6,90.4,26.7,86.6,153.9,0,3148.5,0,17.6,84.3,0.6,0,92.6,1734,0,8513.4
"DOM_16",3,0.1,1.4,0,1.3,0.7,36.5,2.5,0.2,0.9,0.5,1.5,0.1,0.5,0.6,0.8,0.3,1.8,1.1,25.9,2.9,52,6.3,0.9,0.4,0.4,0.1,0.1,0.3,5.6,1.1,0.5,0.8,0.1,3.3,0,97.5,0,0,8,4.4,0,4.7,878.2,0,1147.3
"DOM_17T18",12.9,0.1,2.2,0.1,83.1,16.3,6.4,199,2.8,17.4,6.7,10.9,0.8,1.7,9.5,7.4,2.1,6.4,0.9,13.4,9.3,11.9,147.7,13.6,8.3,108.6,13.2,4.6,66.7,6.7,38.3,32.2,41.9,10.6,61.3,0,170.1,0,3.5,149.7,-9.3,0,11.3,219.2,0,1519.3
"DOM_19",649.6,10.4,147.4,6,128.6,43.3,21.7,23.1,585.3,284,16.2,104.7,74.4,10.7,21.2,27.4,10,25.1,11,47.4,570.8,373.8,614.3,1820.2,25.7,13.3,28.2,7.1,107.6,43.6,83.1,139.2,60.9,35.6,137.2,0,1155.1,0,11.3,18.9,10.4,0,27.9,1083.9,0,8615.5
"DOM_20T21",424,2.9,39.2,1.1,83.9,143.6,35.9,68.2,135.6,712.5,245.8,63.7,38.7,15.3,60,61,10.1,46.2,18.7,63,53.5,118.3,99.3,22.3,6.8,12.5,1.4,0.7,9.6,21.3,31.6,21.9,23.9,111.7,98.3,0,1064.8,0,199.1,156,-9.6,0,23.6,902.8,0,5239.6
