"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",5807.4,6.7,12.2,0.7,12832.9,110.5,892.9,248.1,9.4,120.6,255.5,14.4,14.1,10.5,2.7,7.1,20.7,10.6,1.4,87.5,168.5,74.3,769,47.2,219,2.6,3.2,1.4,4.6,25.6,186.2,32.6,12.2,46.5,46.3,0,10576.7,0.1,667.5,123.6,28.7,0,108.9,3244.8,0,36855.7
"DOM_05T06",70.1,587.5,27.2,12.6,54.6,5.4,9.7,39.1,1066.7,122.9,12.2,177.7,1132.4,17,2.5,4.3,19.2,9.6,0.6,13.3,3267.6,60,65.6,39.9,4.7,2.1,3.3,2.2,9.5,82.2,25.4,16.8,28,20,12.9,0,1561.4,0,48.7,56.1,-2.6,0,3.1,1094.1,0,9785.7
"DOM_07T08",44.5,18,220.1,5.9,26.4,2.8,7.1,26.9,399.9,313.3,33.7,745.2,1470.6,657.2,20.1,117.2,145.8,214.3,35.3,134.8,121,1454.2,78.3,48.9,1.7,1,2,1,2.5,23.6,17.6,13.6,4.1,5.9,8,0,150.1,0.1,22.4,45.4,-5.7,0,4.1,2280.4,0,8919.5
"DOM_09",45,41.9,54.5,17.3,9,0,1.1,3.5,13.4,2.5,8.2,3,0.5,0.2,0,0,1.8,0.1,0,1.4,42.3,84.4,0.1,2.2,0,0,0,0,0,0,2.9,3.1,1.6,0,0,0,0,0,75.5,0,0,0,0,244,0,659.8
"DOM_10T12",3706.2,14,15.6,1.3,10741.3,65.7,42.7,87.8,110.7,394.4,121,51.5,36.3,56.3,30,36.1,27,52,13.9,66.4,133,231.1,955.4,148.2,2304.9,30.6,30.4,20,49.9,94.2,236.8,233.8,161.1,364.5,472.2,0,30578.6,2,506.8,165.4,47.4,0,419.8,12609,0,65465.5
"DOM_13T15",13.3,7.5,7.5,0.5,41.8,732.2,28,39.8,13.8,48.5,138.9,19.2,4.6,22.4,12.9,18.4,11.8,170.8,10,243.9,20.9,100.7,252.4,41.5,11.7,5.8,3.8,1.5,7,5.3,30.7,29.9,11.5,47.2,48.6,0,1869.8,0.4,41.7,74.2,11.1,0,129.3,3083.5,0,7414.3
"DOM_16",109.7,52.5,27.8,1.2,64.4,10.1,1549,97,16.9,41.6,50.8,89.7,8,106.8,26.2,60.9,30.1,55.2,12.6,1114.2,34.2,1330.6,288.3,118.6,10.8,6.5,5.7,2.4,11.4,123,35.2,22.5,11.6,18.6,76.8,0,841.5,0,16.9,102.8,8.9,0,20.7,3081,0,9692.8
"DOM_17T18",30.4,13.9,18.6,0.6,589,29.6,129.8,2184.5,34.7,197.5,161.9,154.8,13.7,51.8,12.7,59.2,31.2,61,8.4,159.4,60.6,150.9,997.2,165.3,37.1,505.7,43.3,25.9,638.3,61.6,467.9,112.6,374.3,60.8,235.6,0,1028.8,0,73.1,23.2,-41.9,0,35.1,4307.7,0,13305.5
"DOM_19",1310.4,128.5,244,16.5,446.2,61.2,136.7,109.3,1319.4,714.8,375.3,347.3,291.3,154.5,55.2,113.3,89.3,105.6,37.8,212,566.6,2302.3,2030.9,6490.8,53,33.2,64.3,35,881.1,196.8,405.6,284.5,116.8,200.3,142.9,0,4876.4,0,116,104.6,31.5,0,143.5,5770.9,0,31115.8
"DOM_20T21",665.8,51.7,58.5,3.2,305.7,119,141.2,227.4,502.7,2070.1,1334.2,236,127.6,185.2,65.2,163.7,75.7,217.9,25,199.6,100.3,538,404.9,131.9,30,23.8,14.8,7.3,38.1,124.5,148.6,30.5,33,280.4,80.9,0,3241.9,0.1,452.2,95.1,-18.6,0,58.9,10015.3,0,22607.1
