"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",714.3,0.3,0.3,0,2730.8,118,451.1,559.3,1.9,104.9,38.6,1.8,4.6,2.4,0.7,1.5,1.5,7.1,0.5,6.5,4.7,9.9,57.2,8,223.1,2.2,2.5,2,1.9,2,30,17.5,2.7,38.1,17.6,0,2471.6,0.2,8.7,333.9,36.1,0,99.7,1036,0,9151.6
"DOM_05T06",0,0.5,0,0,1.3,0,0,0,156.1,5.9,0,0,0.7,0,0,0,0,0,0,0,31.5,0,0,0.1,1,0,0.1,0,0,0.2,0.3,0,0,0.7,0.3,0,0,0,0,0,3.6,0,0,148,0,350.4
"DOM_07T08",2.4,0.1,11.1,0.1,1.9,0.2,0.1,2.7,0.1,20.2,0.1,67.3,127.3,10.1,0,0.1,0.6,0.2,0.1,2.2,0.5,51.8,2.5,1.4,0.6,0.1,0.1,0.1,0.1,3.4,1,1.9,0.2,0.3,0.1,0,6.6,0,2.1,11.4,0.7,0,0.1,683.9,0,1015.5
"DOM_09",4.9,2.1,2.1,0.2,0.7,0,0.1,0.4,0.4,0.1,0.4,0.2,0,0,0,0,0.1,0,0,0.1,3.2,4.2,0,0.1,0,0,0,0,0,0,0.2,0.4,0.1,0,0,0,0,0,4.8,0,0.2,0,0,25,0,50.2
"DOM_10T12",607.9,0.5,0.7,0,1994.5,84.9,4.7,19.1,6.9,52.8,7.1,5.5,1.9,4.8,1.5,3.2,2.2,4.6,0.9,6.6,16.9,18.2,133.8,29.2,1507.4,5.2,6,6,9.6,7.2,60.1,75.7,30,158.7,94.9,0,8503.3,5.3,99,51.1,22.2,0,357.6,3755.5,0,17762.9
"DOM_13T15",10.7,0.4,0.5,0,20.2,1084.7,4.6,4.9,2.4,16.1,26.5,6.3,1.7,6.6,1.3,5.3,2.1,33.6,1.8,47.9,6.4,18.6,72.7,11.1,20.1,2.9,3.3,3.2,2.4,2.5,21.5,13.8,3.6,25.4,8.9,0,3240.9,0.2,14.6,31.7,28.2,0,256,6488.8,0,11554.3
"DOM_16",49,0.5,0.1,0.1,17.5,11,755.4,43.1,0.8,7.3,8.7,35.3,4.2,14.9,0.5,17.3,5.1,4.5,2.8,257.1,30.5,349.4,46.9,14.1,15.1,0.5,0.9,0.8,0.7,7.7,15,6.7,1.5,4,4,0,49.8,0.1,27.3,27.1,24.7,0,15.3,1567.1,0,3444.3
"DOM_17T18",28.9,0.7,3.8,0.1,186.1,59.5,19.3,927.3,4.7,49,21,39.5,6.2,17,5.1,9.4,8.3,12.1,1.6,25.2,123.1,14.9,215.4,38.4,71.3,135.9,11.8,24.2,28.7,55.9,187.2,30.3,45.4,68.3,44.9,0,424,0.1,19.4,20.1,14.5,0,45.9,2418.1,0,5462.4
"DOM_19",196.3,4.9,35.4,0.8,71.3,48.8,18,43.7,318.4,158.5,32.8,78.9,58.9,33.2,2.6,11.4,10.2,9.9,3.8,29.2,111.3,207.1,260.2,1261.2,50.2,4.4,4.8,5.5,23,5.5,79.8,88.7,19.5,139.9,29.8,0,1604,0,16.9,3.3,20.1,0,100.4,2575.6,0,7778.7
"DOM_20T21",93.7,1.5,7.6,0.1,55.6,154.3,27.8,71.2,83.3,500.5,321.5,61.5,25.7,42.7,5.5,61.4,17.7,77.6,3.8,36.4,16.1,61.8,83.1,19.6,18.6,6.2,4.3,7.1,3.9,26.7,38.4,9.7,9.5,160.7,29.2,0,602.5,0.5,261.5,84.8,15.7,0,47,2928.1,0,6084.6
"DOM_22",19.1,1,0.2,0.1,137.2,64.5,13.7,14.4,1,32.3,169.7,44.6,8.7,62.5,21.8,51.4,35.3,113.7,7.4,84.1,6,145.7,220.6,21,25.8,6.4,1.3,4.9,1.1,12.3,60,4.7,1.5,14.5,6.2,0,118.1,0.1,8.1,29,18.8,0,1.9,2638.9,0,4229.4
"DOM_23",46.4,1,7.5,0.2,85.7,14,8.8,8.8,2.3,43.1,9.6,353.8,18,59.1,3.5,20.8,10.7,37.5,3.2,23.2,21.2,917.1,71.1,28.1,26.3,2.3,2.9,3,2.5,69.4,22.8,16.4,2.6,10.4,5,0,201.7,0.2,15.2,30.5,15.6,0,2.8,1906.1,0,4130.5
"DOM_24",1.5,0.7,0.8,0.2,3.5,1.2,1.1,2.2,1.2,1.7,4.8,9.2,99.8,189.2,4.1,38.4,50.3,81.6,8.5,30.3,14.8,134.4,13.1,3.6,0.9,0.3,0.5,0.4,0.3,0.8,2.8,1.7,0.4,1.3,0.8,0,9,0,5.8,11.6,4.6,0,0.4,1794.6,0,2532.6
"DOM_25",43.6,5.6,13.2,0.5,166.8,47.9,24.7,21.9,9.3,30,43.8,38.1,83.7,871.5,16.9,80.7,132.9,119.4,21.4,141,30.1,474.3,185.2,82.4,33.5,7.9,8.7,12.3,3.4,6.5,76.8,16,8.6,41.3,22.1,0,188,0.2,21.9,375.1,40.9,0,2.3,2808.3,0,6358.7
"DOM_26",2.3,0.3,0.6,0,9.5,3.9,1.4,2.4,1.7,2.8,2.1,2.2,3.4,3.8,28.1,8,2.2,9.5,0.6,8.2,3.7,9.9,22.5,10.3,4.8,1.1,8.6,3,3.8,1.2,7.6,1.9,1.1,6.1,2.3,0,141.8,0.1,26.6,106.4,-6.5,0,28.2,1386.9,0,1864.4
"DOM_27",2.4,0.2,0.5,0,11.7,4,1.2,2.1,1.4,2.5,4,2.9,5,13.4,29,58.4,11.4,32.9,3.1,16.4,11.9,56.4,31,8.8,6,1.8,12.9,4.7,0.6,3.1,8.5,1.7,0.7,3.6,1.2,0,173.7,0.1,13.8,104.2,7.8,0,18.6,2098.9,0,2772.8
"DOM_28",3.2,1.3,3.6,0,13.8,7.6,1.8,3.6,1.8,3.2,3.7,7,7.3,21.9,2,8.7,53.8,11.8,2.5,13.6,6,35.1,21.6,13.2,4.2,0.9,2.6,2,1.1,5.9,8.8,3.6,1.1,7.4,2,0,26.4,0.1,10.3,344,23.4,0,1.5,2029.7,0,2723.1
"DOM_29",1.6,0.3,0.4,0,3.2,1.6,0.4,1.1,0.6,1.3,2.4,1.5,0.8,4.7,7,4.9,1.9,507.6,1.2,2.4,4.4,13.1,57.8,10.6,2.9,1.3,4.4,2.9,3,2.3,17.2,4.6,1.4,6.9,3.1,0,894.5,0.2,23.6,176,-24.6,0,31.2,6515.4,0,8297.2
"DOM_30",1.9,0.1,0.1,0,1.3,2.4,0.3,0.4,0.4,0.5,0.4,0.4,0.6,1,0.1,0.8,1.3,0.7,14.8,1.8,0.6,3.2,3,12.8,0.7,0.2,0.5,0.4,0.2,0.3,4.8,24.1,0.2,1.5,0.4,0,37.1,0,23,35.1,1.2,0,1.8,465.8,0,646.2
"DOM_31T33",22.7,4.3,10.1,0.4,82.5,46.8,31.4,30.3,21.6,29,22.9,35.8,60.3,30,6.2,17.3,14.8,22.8,6.8,177.2,50.6,52.4,71.9,163.7,41.9,8.2,31.6,24,10.9,27.4,76.8,17.9,15.4,124.9,26.8,0,919.4,0.1,87.6,617.6,9.9,0,164.9,1576.8,0,4794.2
"DOM_35T39",213.8,16.6,97.7,1.3,372,279.7,120.4,370.8,197.8,291.9,168.7,352.1,311.7,145.4,23.7,53.2,82.6,90.6,11.4,87.5,8276.4,143.5,762.7,358,435.6,20.2,63.2,18.5,61.7,150,135,564.3,127,405.1,231.2,0,3620.1,0.1,1072.5,196.7,379.1,0,3.6,216.7,0,20530.1
"DOM_41T43",113.3,4.3,43.6,0.5,34.1,31.6,18.4,24.1,26.8,28.1,8.9,37.9,13.5,21.5,3.8,14,11,21.7,2.3,28.1,85.9,3540.6,200.4,516.4,97.5,7.8,41,27.2,62.7,415.9,96.9,388.1,61.7,100.1,56.2,0,149.9,0.2,672.6,11595.1,0.9,0,9.3,98.5,0,18712.6
"DOM_45T47",665.6,11.3,53.7,1.9,2396,957,177.7,369.2,278.3,545.3,306.8,229.7,155.5,316.4,112.4,193.7,141.3,509.5,43.6,276.9,508.4,608.4,3745.5,937.5,1078,115.2,248,134.4,313.2,114.4,784.4,300.5,130.6,722.7,275.9,0,12837.7,6.3,609.9,1475.9,65.8,0,418.7,7803.5,0,40976.3
"DOM_49T53",198.1,12.7,54.6,1.7,314.1,160.5,67.8,99,89.6,171.2,137,156.9,71.6,129.8,38.6,83.3,62.5,99.6,8.4,100.4,183.6,145.6,1178.1,3943.7,87.2,32.6,28.9,47.4,121,22.3,286.5,226.7,49.1,94,106.7,0,3661.2,1.1,2138.7,183.4,-7.7,0,1354.8,5512,0,21454.4
"DOM_55T56",35.6,1.8,4,0.5,73.2,42.8,14.8,23.2,7.9,27.6,20.6,21.2,11.2,29.9,7.9,13.4,15.5,32.2,5.7,25.6,91.2,90,341.8,334,176.1,28.7,23.3,59.6,140.8,93.7,464.6,200.8,121.6,437.4,115.2,0,8402.3,16.3,715.7,12.2,0.5,0,4441.5,55,0,16776.9
