"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",5513,0.2,0,1.9,5279.6,97.8,217.3,43.2,0,15.1,0,0,10.5,0,0,0,0,0,1.2,39.3,0,40.7,0,2.9,182.9,0,0,0,0,0,40.2,0,0,0,0.4,0,6033.3,0,473,54.2,24.8,0,11.4,2142.8,0,20225.7
"DOM_05T06",0,217.4,0,79.3,25.5,0,0,1.1,1215.8,153.2,0,3.4,92,0,0,0,0,0,3.5,3.4,2276.5,0,0.7,4.8,11.2,1,4.4,0,0,7.9,15.6,0,8.4,21,33.2,0,6.3,0,0,0,0,0,0,49.9,0,4235.3
"DOM_07T08",0,1.3,11,2.3,1.1,0,0,1,0,22.2,0.6,98.2,38,1.6,0,0.6,1,0.4,0.5,0.1,2.9,225.3,3.6,2.5,0,0,0,0,0,2.9,0.8,0,0,0.1,0.8,0,1.6,0,0,0,0,0,0,65.1,0,485.4
"DOM_09",55.7,279.7,31.4,107.4,5.9,0,1.5,1.7,1.6,1.8,6.9,3.9,0.5,0.2,0,0,2.4,0.1,0,1.3,63.5,198.8,0.1,4.8,0,0,0,0,0,0,4.9,5.5,1.9,0,0.1,0,0,0,107,0,-0.1,0,0,21.6,0,910.2
"DOM_10T12",1539.5,0.2,0.3,0.6,2655.4,39.3,5.5,7.7,1.7,71.5,8.2,5,1.5,2.5,1.1,1.6,1.5,3.9,3.5,6.8,26.5,45.5,300,34.9,1198,5.8,2.6,5.2,8.7,5.8,56.9,134.5,54.8,148.3,192.1,0,15128.5,44.3,187,0.2,0.4,0,44.4,826.4,0,22808
"DOM_13T15",32.7,17.9,0.2,12.3,14.2,878.3,22,9.2,1.6,18.3,40.7,15.5,8.1,11.2,9.3,10.4,13.2,103.4,42.5,110.6,71.3,149.4,369.4,100.6,17.5,21.8,11.9,7.3,2,4.4,73.4,134.7,27.5,259.9,110.8,0,1716.9,0,0,0,3.1,0,25.3,2769.3,0,7247.8
"DOM_16",16.9,1.9,2.3,2.3,11.8,1.4,374.7,34.2,0.7,12.2,8.2,59.7,2.9,11.5,8.8,11.2,27.4,16.3,18.5,359.1,19.3,1047.8,403.5,81.7,3.8,6.1,9.7,10.4,4.4,50.6,56,1.1,0.8,3.7,24.4,0,76,0,0,0.8,-1.5,0,1.3,1196.5,0,3978.3
"DOM_17T18",10.4,1.3,1.7,0.5,72.2,7.7,15.2,81.2,0.3,18.4,4.7,30.5,3.4,14,13.8,16.5,11.7,27.7,1.7,25.6,32,42.3,409.3,50.1,7.2,87.8,42.9,6.8,48.9,33.9,49.2,106.2,173.3,66.3,94.2,0,285.5,0,15.7,0,-3.7,0,3.2,210.1,0,2119.6
"DOM_19",95.1,12.9,7.2,7.2,12.2,2.9,7.8,4.6,3.2,54.4,11.7,32.7,39.2,10,0.7,2.1,5.7,11.7,2.4,5,74.5,177.7,461.3,393.6,3.4,3.6,5.7,6,5.1,4,36,17.2,1,6.4,25.1,0,987.6,0,0,0,1.3,0,4.8,1105,0,3647.7
"DOM_20T21",123.3,11.1,4.8,4,28.2,40.1,20.1,23.7,2.9,321.9,278.3,47.6,57.3,32,16.2,20.7,20.2,56.4,12.8,49.5,68.6,183.7,68.7,78,1.7,23.4,0,0,3.9,86.8,19.3,6.8,9.5,76.6,2.5,0,850.8,0,55.6,0,0.1,0,4.6,1730.8,0,4442.5
