"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",17166.5,323.9,54.5,13.3,37554.1,283.6,1573,469.2,175,896.1,329.7,30.5,85.9,27.4,7.9,9.2,13.2,10.9,12.5,111.4,345.5,490.5,4426.1,249,1814.8,18.1,9.2,15.5,27.6,127.9,1057,1154.1,259.4,392.5,235.1,0,34803,4.5,1444.3,324.3,164.4,0,115.3,7642.3,0,114268
"DOM_05T06",305.9,3969.4,141.1,221.5,153,11.2,24.8,75.6,34171.4,860.7,65.6,343.9,2089.7,58.3,19.8,18.4,37.7,41,43.3,43.7,10799.4,515.7,849.9,2316.1,51.5,10.6,40.6,24.8,62.5,228.1,269.8,334.5,82.1,132.1,92.1,0,1164.7,3.5,79.5,4322,-882.3,0,20.3,109389.2,0,172602.4
"DOM_07T08",108.3,242.6,631.6,42.6,38.6,6.3,11.8,50.7,710.9,675.3,57.2,1848.9,6296.4,211.5,19.3,43.2,50.9,29.5,38.7,72.3,275.3,2122.4,196.4,165.1,5.1,2.7,6.4,4.3,8.5,133,79.6,122.3,13.1,50.3,15.4,0,269.2,0.5,87,287.6,-44.9,0,5.3,6058.7,0,21050.2
"DOM_09",295.5,6398.8,332.2,354.2,24,0.4,3.8,11.9,86.4,12.7,17.1,18.9,16.3,3.1,2.9,1.3,8.1,1.7,2,4.7,301.5,363.6,23.7,29.4,1.2,0.6,2.7,2,3,18.6,27.8,60.1,10.1,3.7,2,0,39.9,0,166.3,173.1,10.5,0,0.7,1006.6,0,9843.1
"DOM_10T12",11476.9,100.9,18,9.1,18289.8,100,46.4,162.1,363.5,902.6,55.3,75.9,101.7,48.3,28.3,17.6,25.9,22.6,42,50.5,329.3,328.3,3880.7,320.3,4702.7,26.8,25.1,26.1,50,149.9,590.4,2244.4,548.8,1487.9,477.4,0,67895.9,16.7,898.3,159.4,54.8,0,258.3,5905.7,0,122314.4
"DOM_13T15",95.9,151.2,24.5,12.4,46,755.4,26.1,59.3,45.6,92.3,117.9,42.8,23.4,31.5,17.6,13.3,18.1,92.8,69.4,187.5,86.4,197,816.4,202.8,46.2,19.5,13.2,11,59.4,32,197.5,419,50.4,304.8,106.8,0,3326.3,1.1,59.4,127.5,15.2,0,58.2,533.1,0,8606.2
"DOM_16",106.5,178.6,37.3,6.4,34.5,4.5,1336.3,132.6,29.3,47.6,32.4,84.7,20.1,61.1,12.2,13.6,20.8,45.1,56.3,544.3,193.3,2137.1,308.3,102.1,13,8.2,6.1,8.1,7.8,413.4,135.5,54.3,25.2,15.8,41.8,0,409.2,0.2,11.6,25.3,-66.6,0,10.4,4003.8,0,10668
"DOM_17T18",138.4,118.9,53.4,6.1,680.1,31.3,134.5,3427.4,125.3,292.7,165.1,244.5,76.9,90.6,63.5,51.7,57.5,64.1,40,129,271.4,215.1,2274.6,444.5,95.3,561.8,136.7,170,424.3,186.1,1254.6,878.8,388.6,272.1,215.3,0,1671.7,0.4,116.1,118.4,19.5,0,26.3,2795.8,0,18528.4
"DOM_19",1992.9,3339.2,855.2,232.1,470.6,60,135.2,214.6,11880.4,2439.9,352.8,888.5,2031.4,250.3,84.4,91.1,117.7,118.7,206.5,214.3,6027.2,2339,4192.3,17362.2,135.6,44.9,161.9,132.3,320.3,568.3,1248.3,1766.2,286.2,516.6,250.2,0,5275,0.5,420.1,467,355.6,0,89.2,56778.6,0,124713.2
"DOM_20T21",1475.5,943,213.4,42,418,178.8,193.5,498.6,2092.5,4869.3,2096.3,549,1059.5,315.8,164.6,163,112,182.6,208.9,224.1,552.8,837.2,843,348.7,62,38.3,19,19.1,40.5,255.9,857.3,348.6,118.4,1411.8,161.9,0,3128,1.6,3064,246.7,102.9,0,44.7,15945.3,0,44448.2
