"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",487.3,3.6,0,0.1,3642.5,57.9,234.1,131.1,0,92.1,12.1,0,2.7,0,0,0,0,0,0.4,4.4,0,53.9,129.1,0.8,125.3,0.1,0.3,0,0,3,101.6,108.3,77.1,55.1,13.1,0,14086.9,0,0,0,0.7,0,52.9,471,0,19947.3
"DOM_05T06",0.5,7020.8,0,112.2,693,0.1,0.2,32,27974.3,7167.6,0.2,0.7,466.3,0.4,0,0.4,0.3,0.1,22.7,50.5,7095.8,6.2,8.5,38.9,432.7,4.5,138.5,0.3,3.5,164.8,761.2,13.9,2.9,1900.5,433.5,0,4828.4,38,562.4,13.1,-192.2,0,2.6,261982.7,0,321783
"DOM_07T08",0.2,2.5,33.2,0.6,5.2,0,0,9.7,0,190.4,0,460.3,409.1,28.4,0,6.9,0,0,0.7,15.9,2,1006.2,4.2,3,0.7,0,0.1,0,0,7,10.7,27.1,0,0.8,0.2,0,0,0,0,0,-1.2,0,0,184,0,2408
"DOM_09",6.9,135.4,6.5,2.3,2.7,0,0.2,1.5,0.6,1.3,0.8,1.5,0.1,0,0,0,0.4,0,0,0.4,5.2,82.7,0,0.5,0,0,0,0,0,0,2.6,7,4.5,0.1,0,0,0,0,452.1,0,0,0,0,0.5,0,715.9
"DOM_10T12",333.7,0.3,0.1,0,2086.9,3.2,1.6,14.1,1.3,82.1,2.1,4.1,0.3,1.1,0,1,0.6,0.2,0.7,4.2,3.3,38.5,142.8,22.1,1163.9,0.7,2.6,0.4,4.8,3.5,145,360.6,271.9,417.4,225.2,0,15696.8,2.2,1661.2,1.1,5.1,0,228,2252.7,0,25187.7
"DOM_13T15",8,8.3,0,0.2,10.9,815.7,0,27,0,32.7,19.6,14.1,0.7,0,0,1,1,6.6,4.6,77.6,2.9,25.1,111.7,12.4,20.2,0.4,4,0,0,1.4,98.9,178.7,74.4,292.9,42.8,0,3480,0,0,187,121.2,0,109.2,422.8,0,6214.4
"DOM_16",4.9,3.7,0.6,0.1,7.3,1.6,206.2,36.5,0,13.9,3.5,20.8,0.5,8.1,0,4.8,3.4,0,3.4,174,0.7,1264.6,15.5,4.1,3.9,0.3,1.6,0,0,35.4,41.7,16.1,0,5.3,23.5,0,145.8,0,0,82.5,45.8,0,6.1,34.5,0,2220.7
"DOM_17T18",5.8,2.7,0.8,0.1,110.3,13.9,9.3,762.7,1.5,54.1,12.1,39.5,1.6,8.5,0.3,12.6,6.8,0.9,0.8,25,11.5,89.8,274.5,28.3,23.4,100.5,66.5,6.2,38.3,13.9,396.2,343.1,613.5,188.5,77.3,0,2639.4,0,386.9,20.1,13.6,0,25.3,901.5,0,7327.7
"DOM_19",592.9,532.4,82.8,12.2,399.8,26.1,68.1,183.5,730.5,2520.4,61.4,810.6,266.4,105,0,96.3,63.6,0,16.9,196.8,585.7,5041.3,1815.6,4692.5,142.7,7.7,194.5,0,48.8,138.8,1674,2263.2,1333.2,1090,374.9,0,2208,0,0,0,117.2,0,66.5,19030.4,0,47590.7
"DOM_20T21",283.7,89.3,21.4,1.3,138.1,224.2,64,304.3,96.3,3289.8,528,280.7,75.3,85.7,6.1,121.8,36.1,20.3,17.5,138.2,61.2,907,180,37.5,20.7,6.1,5.4,0.8,4.6,42.8,341.9,155.6,277.5,847.9,227.8,0,1926.1,0,1434.4,95.2,190,0,44.2,30491.2,0,43120
"DOM_22",14.4,29.2,3,0.6,192.9,24.6,13.4,62.5,3.9,119.9,173.8,64.7,10.2,36.5,5.1,95,47.2,38.7,10.5,97.1,9.5,1291.4,264.2,60,18.9,1.3,31,1,2.3,13.8,146.8,79.4,66.8,139.5,35.1,0,442.6,0,0,155.3,105.2,0,0,888.4,0,4795.2
"DOM_23",4.7,6.3,3.1,0.2,31.1,2.2,6.2,2.4,0.5,19.3,5.3,346.9,6.4,11.8,1.4,13.9,6.2,4,2,12.3,1.6,2837.7,20.6,4.6,5.4,0.1,3,0,0,14.6,27.6,26.7,34.5,31,7.7,0,1703.9,0,0,2917.1,1285.9,0,0,457.5,0,9865.8
"DOM_24",2.2,53.1,4.8,2.1,13.6,0.9,2.7,26.7,1.5,26.2,12.9,75,453.3,794.8,6.9,421.8,291.2,68.6,49.7,258.8,24.1,3565.9,73.2,8.6,0.1,0.1,6.2,0,0.2,2.1,17.9,12.1,10.4,10.7,5.6,0,6.2,0,0,0,9,0,0,2737.8,0,9057.3
"DOM_25",3.9,17.4,0.8,0.2,25.7,0,5.4,4.4,1.4,12.5,4.7,14,11.4,74.9,1,22.6,33.7,9,5.6,33.6,6.3,581.4,18.3,4.9,2.5,0.2,2.4,0,0,4.8,27.4,37.9,17.9,9.1,4.8,0,232.6,0,0,5685.6,1943.2,0,0,601.3,0,9462.8
"DOM_26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0.1,0,0,0.2,0,0.9,0.4,0.1,0,0,1.3,0.1,0,0,0.5,0.9,0.6,1.4,0.2,0,38,0,16.5,162.6,11.9,0,1.1,2.2,0,240
"DOM_27",0.6,0.5,0,0,1.9,0,0,0.3,0.3,3.2,0.9,2.7,1.9,4.3,2.4,102.6,14.7,5.5,2.3,15.7,6.9,274.7,15.2,3.8,1.5,0.1,20.4,0.6,0,3.2,16.4,16.8,15.6,11.9,6.4,0,1796.1,0,0,3682.6,1278.8,0,11.7,428.6,0,7751.1
"DOM_28",1,4,0.3,0.1,0.9,0.5,0.3,1.1,0.2,1,0.4,1.8,0.7,1.3,0,1.6,7.8,1,0.8,3.2,1.1,26.8,4.1,1.2,0.1,0,0.6,0,0,0.2,4,10,2.5,1.4,0.7,0,83.6,0,0,3087.2,698.2,0,0,251,0,4200.6
"DOM_29",0,0.1,0,0,0.1,0,0,0,0,0.1,0,0.2,0,0,0,0,0,4.7,0.1,0.4,0.1,0,7.8,1,0,0,0.1,0,0,0,1.7,1.5,0,0.3,0.1,0,287.4,0,0,943.9,157.7,0,1.8,32.4,0,1441.6
"DOM_30",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2.2,0,0,0.6,0.6,2.7,0,0,0,0,0,0,1,9.9,0,0,0,0,1.6,0,45.5,236.5,70.3,0,0,421.2,0,792.6
"DOM_31T33",14.2,26.1,2.5,0.4,25.4,5.3,3.6,15.1,2.8,17.7,3,20.2,15.8,9.4,0.7,11.5,13.6,2.4,3.3,79.7,18.7,185.7,42.5,61.5,6.5,0.9,32.8,0.7,3.7,36.7,66.7,92.6,80.7,246.8,17.5,0,230.6,0,219,4323.7,984.5,0,71.5,119.5,0,7115.6
"DOM_35T39",72.9,185.2,13.1,1.9,211.5,60.9,30.6,175.2,33.4,356.6,44.9,285.7,116.8,53.9,2.7,39.3,32.9,11.6,7.3,58.8,596.2,353.2,542.3,154.4,126.1,4.4,130.5,4.5,29.7,173.3,357.4,920.6,1473.6,943.5,214.5,0,4233,0,6275.6,0,19.3,0,0,0,0,18347.5
"DOM_41T43",20,38.5,3.4,0.7,12.5,6.2,4.7,14.8,4.3,28.6,4.5,30.1,6.2,12.8,0.6,8.9,8,2,1.6,51.5,86.5,5449,223.3,104.9,22.4,1.5,97.2,1.9,23.3,485,358.6,883.8,506.4,389,66.8,0,2849.2,0,0,83056.2,632.4,0,45.9,74.3,0,95617.8
"DOM_45T47",557.5,345.2,66.1,10.5,2165,425.8,162.5,480.4,192.2,1918.9,296,651.9,646.4,639.9,14.6,594.9,305.1,102.6,63.3,544.8,321.2,6255.9,5387.2,1746.9,431.5,82.9,610,13.7,53.4,136.1,3331.8,1923.6,1192.4,1964.1,522.6,0,21887,0.7,1949.6,12387.3,3605.2,0,137.5,10198,0,84322.3
"DOM_49T53",127.7,104.1,14.9,2,539.8,84.5,37,132.1,68.6,575,74.4,200.8,165.7,153.8,3.1,143.2,65.3,18.2,17.3,122.5,75.9,1553,715.4,1432.1,100,13.6,106.9,1.5,46,33.4,894.4,834.5,486.6,412.6,121.6,0,4991.3,0.2,6601.2,2089.8,-256.8,0,471.3,5310.2,0,28684.9
"DOM_55T56",2.8,6.5,0.7,0.3,12.8,3.1,2.1,7,0.5,10.6,2.4,8.5,2.2,5.4,0.2,3.7,3.7,1.1,1.5,8.4,8.2,110.9,102.5,79.1,19.8,1.8,12.5,4,17.5,19.7,398.3,218.7,285.3,434.2,49.2,0,3702.3,1.7,4508.1,0,0,0,2542.3,0,0,12599.9
"DOM_58T60",0.1,0.1,0,0,1.1,0,0,1.2,0.1,0.4,0.1,0.2,0,0.1,0,0.1,0.1,0,0,0.2,0.3,1.7,5.6,0.8,0.3,1.3,2,0.3,0.7,0.2,11.3,7.1,18.3,3.5,1.9,0,970.9,0,27.4,109.3,0,0,21.3,14.2,0,1202.5
