"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",0.2,0,0,0,7.1,0,1.3,0.9,0,0.5,0.1,0,0,0,0.1,0,0,0,0.1,0.6,0.1,0.6,0.2,0,1.3,0,0,0,0,0,0.1,0.1,0,0,0,0,26.9,0,0,1.5,0.3,0,7,79.3,0,128.8
"DOM_05T06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_07T08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_10T12",12.6,0,0,0,830.1,0.2,0,4.7,0.2,203.6,0,0,0.2,0.1,1.8,0,0.2,0,0.1,4.1,0.2,14,7.6,8,795.1,1.4,0.3,0.3,1.7,4.7,1.5,92.5,0.1,22.4,7.6,0,799.5,0,0,0.6,4.7,0,235.3,1639.5,0,4695.1
"DOM_13T15",0,0,0,0,0.1,5.2,0,0.1,0,0.4,0.1,0,0,0,6.2,0,0.2,0.3,0,6.1,0.1,0.9,3.5,0.3,0.1,0.2,0.1,0,0.1,0,0.2,1.9,0,0.3,0.3,0,157.1,0,0,0.1,0.4,0,85.5,230.3,0,500.4
"DOM_16",0,0,0,0,0,0,0.6,0,0,0.4,0.1,0.1,0,0.1,0.8,0,0.2,0,0.2,2.6,0,5.1,0.3,0.1,0,0,0,0,0,0.2,0.1,0.1,0,0,0,0,81.5,0,0,0.1,-0.1,0,5.7,55.4,0,153.7
"DOM_17T18",0,0,0,0,8.9,0.1,0.1,179.5,7.3,41.2,3.7,2.2,0.6,4.5,93.2,2.7,10.3,1.1,2,6,6.1,16.9,95.8,19.1,8.6,414.1,15.2,13.4,64.5,13.4,71.1,76.4,28,4.3,24.2,0,161.7,0,0,3.2,-0.7,0,26.5,911.6,0,2336.9
"DOM_19",2.8,0,0,0,24.1,0,2.5,12.5,542,868.4,11.5,34.7,26.1,23.3,166.7,12.1,43,3.6,10.6,22.3,133.8,265.2,145.5,970,22,7.5,7.7,6.9,35.3,30.2,63.6,104,12.2,7.1,19.8,0,476.8,0,0,0,66,0,67.3,15049.1,0,19295.9
"DOM_20T21",1.2,0,0,0,76.5,2.9,2.5,25.5,77.8,4637.3,107.7,13.1,15.2,20.8,294.4,16.7,27.2,4.1,14.3,39.2,10.4,53.6,36.7,21.3,3.7,9.1,1.3,1.5,3.2,4.4,41.3,355.2,2.9,967,21.9,0,1151,0,0.7,11.7,65.6,0,75.2,20262.1,0,28476.1
