"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",635,0.5,0.3,0.1,654.5,1.4,159.8,110.1,0.9,15,73.1,2.6,10.2,3,2.6,1,1.8,2.9,0.2,14,7.4,21.7,95.8,8.9,25.2,0.7,0.5,0.3,1.1,4.6,14,95.6,2.9,4.4,7.8,0,1374.1,0,54.9,66.2,5.5,0,28.6,646.3,0,4155.7
"DOM_05T06",0.3,0.1,0,0.1,0.3,0.1,1.6,1.2,2.6,0.7,0.1,2.2,15.3,0.1,0.1,0.1,0.1,0.1,0,0.1,11.3,0.6,0.4,0.5,0,0,0,0,0,0.1,0.2,0.2,1,0.1,0.1,0,5.3,0,0.2,1.5,-0.3,0,0.5,59.3,0,106.1
"DOM_07T08",2.3,0,1.9,0.2,0.7,0.1,0.1,0.2,0.1,12.2,0.3,26.1,49.8,0.2,0.3,0.1,0.2,0.2,0,0.5,2.1,14.3,3.8,4.3,0,0,0,0,0,1.3,0.8,0.4,0.1,0.1,0.1,0,3.2,0,0.2,3.9,0,0,0.2,82.8,0,213.1
"DOM_09",12.3,2.8,3.1,3.6,1.3,0,0.3,0.8,1.1,0.5,1.4,0.7,0.3,0,0,0,0.7,0,0,0.2,11.2,19.5,0,0.5,0,0,0,0,0,0,1.7,1.4,0.2,0,0,0,0,0,18.8,0,0,0,0,14.4,0,97.1
"DOM_10T12",163.4,0.1,0.2,0.1,342.9,11,2.6,6.1,3.8,24.3,8.6,3.4,5.4,3.9,10.6,4.5,3.7,8.1,0.5,5.3,11.2,14.5,58.2,10.6,131.1,2.5,1.2,0.9,4,3.4,18.6,29.1,4.9,16,34.6,0,1892.5,0.1,31.8,11.8,2.2,0,47.7,919,0,3854.6
"DOM_13T15",3.8,0,0.3,0.1,4.3,61.2,1,2.8,1.1,3,4.4,1.4,3.1,4.6,5.4,1.9,6.3,35,0.4,14.4,3.6,7.8,29,2.2,1.1,0.8,0.5,0.2,0.4,1,4.7,3.5,1,3.8,1.8,0,238,0,1.5,24.3,5.1,0,27.7,1188.8,0,1701.3
"DOM_16",27,0.3,0.4,0.2,7.3,2.3,194.2,29.5,1.4,6,16.4,10.3,18.4,10.6,7.7,2.9,7.7,5.6,0.7,94.5,13.2,79.4,73.5,6.8,1.7,0.7,0.5,0.2,1,18.4,11.6,4.1,2.1,1.9,4,0,108.9,0,2.7,41.9,3.1,0,4.2,680.8,0,1504.2
"DOM_17T18",3.8,0.1,0.4,0,24.1,3.1,7.2,119.8,1.6,8.9,6,8.5,3.3,2.6,7.9,3.6,4.1,4.8,0.3,5.7,14.1,20.1,69.9,9.9,3.4,71.7,4.5,4,26.9,5.7,40.2,22.6,8.4,5.6,8.2,0,228.4,0,7.5,15.1,-9.3,0,6.7,933.3,0,1712.5
"DOM_19",114.9,1.1,4.6,1.7,22.9,4,11.4,10.3,204.8,115.6,23.5,24.1,79.2,11.7,13.2,8.4,12.2,10,1.5,15,77.2,93.7,149.1,429.3,5,3.7,5.1,11,7.6,17.9,50,27,7.2,12.4,9.6,0,368.7,0,15.9,5,1,0,21.3,1871.6,0,3879.5
"DOM_20T21",38.1,0.4,0.9,0.2,8.8,7.3,7.9,14.3,23.4,115.5,75.6,13.9,23,9.7,13.4,10.9,6.2,21.1,0.7,8.4,14.4,36.8,22.5,23,1.3,2.2,0.5,0.6,0.7,4.1,12,5.1,1.6,13.7,3.5,0,216.1,0.5,72.4,3.6,2.2,0,8.1,1441.6,0,2286.1
"DOM_22",5,0.2,0.6,0.3,30.9,6.9,12.8,23.6,1,19.6,159,5.6,12.5,18,36.6,29.2,35.8,60.2,3.1,20.1,8.4,120.9,37.4,8.6,2.5,2.4,0.4,0.5,1.9,5.8,17,4.8,1.1,4.6,0.9,0,122.5,0,5.1,54.7,6.5,0,2.4,1424.5,0,2314.3
"DOM_23",7.8,0,2.8,0.4,14.5,2.6,4.4,2.6,0.8,13.5,13.2,134.4,24.4,11.1,27.9,7.4,13.6,5,0.8,9,6.2,623.7,52.8,9.7,2.1,0.5,0.5,0.2,0.5,11.9,11.3,13.1,1.2,3.2,1.3,0,72.2,0,3.8,54.7,1.3,0,1.8,641.3,0,1809.5
"DOM_24",2.9,0.2,0.3,0.5,2.8,0.8,1.3,2.7,3,4.6,5.4,6.2,211.1,153.9,23.3,55.6,72.9,123,4.4,26.8,13.7,126.1,8.8,6.8,0.3,0.3,0.4,0.2,0.3,1.1,3.2,1.7,0.6,0.7,0.9,0,16.1,0,1.1,7.1,6.3,0,0.6,3899.9,0,4797.8
