"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",176.7,0,0.1,0,303.3,6.9,56.4,1.5,0,7,8,0.7,1.9,1.9,0.5,1.3,0.8,1.4,0.1,2.7,2.5,9.4,35.9,5.2,52.4,0.7,0.8,0.7,1.3,0.9,9.2,7.7,4.5,7.3,6.5,0,684.3,0.6,10.9,28.9,4.6,0,27.8,427.2,0,1900.4
"DOM_05T06",0,0.4,0,0.1,0.2,0,0,0.4,0.2,3.2,0.3,1,8.1,0.1,0,0.1,0.1,0.2,0,0.1,22.1,0.3,0.5,0.9,0.2,0,0,0,0,0.1,0.3,0,0.1,0.3,0.3,0,2.4,0,0.1,0.8,-0.3,0,0.1,20.9,0,63.7
"DOM_07T08",0.4,0,6.6,0,0.2,0,0.1,0.5,0,6.8,0.1,12,113.5,0.2,0.1,0.3,0.1,0.1,0,0.5,0.9,13.8,1.7,1.8,0.3,0.1,0.2,0.1,0.2,0.8,1.1,0.4,0.3,0.3,0.3,0,3.6,0,1,9.1,0,0,0.8,38.7,0,216.9
"DOM_09",5.1,2.3,4,1,0.3,0,0.1,0.4,0,0.3,0.7,0.2,0.2,0,0,0,0.2,0,0,0.1,3.7,5.8,0,0.3,0,0,0,0,0,0,0.7,0.5,0.2,0,0,0,0,0,6.9,0,0,0,0,0.6,0,33.8
"DOM_10T12",90,0,0.1,0,164,5,1.4,3.6,0,32.9,2.6,1.4,2.2,2.3,0.7,2,1.3,1.8,0.1,1.5,4.3,6,31,5.5,153.6,1.1,0.9,1,1.6,0.9,10,14.3,8.7,21.8,25.3,0,877.2,0.8,23.2,4,1.8,0,51.6,508.5,0,2066.4
"DOM_13T15",1.1,0,0,0,1.5,40.8,2.8,2.7,0,5.7,5.8,0.8,0.7,1.5,0.5,1.5,1,7,0.2,9.9,1.1,3.1,12.9,2.4,1.4,0.4,0.2,0.2,0.5,0.2,2.2,3,1.4,3.7,2.2,0,141.5,0.1,2.1,2.2,0.8,0,19.8,495.1,0,780.4
"DOM_16",5,0.2,0.1,0,2.9,0.7,70.2,6,0,3.6,4.3,2.3,2.1,7.1,0.8,3.5,3.2,9.7,0.2,20.4,4.6,51.3,10.4,4.8,1.8,0.4,0.7,0.6,0.8,1,5.6,1.6,1.7,1.9,1.5,0,40.4,0,2.7,17.4,1.8,0,5.9,603.9,0,903.1
"DOM_17T18",2.3,0.1,0.7,0,11,2.1,5.4,159.8,0,22.6,9.4,5.2,2.4,5.6,1.8,5.8,3.7,5.4,0.2,4.6,12,7.4,66.7,16.1,6.1,52.5,8.6,9.3,21.2,2.7,62.2,21.4,26.1,6.5,23.1,0,62.7,0,3,1.6,0.5,0,8.1,590.4,0,1256.4
"DOM_19",0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,2.3,0,0.2,0,0,0,0.1,1,0,5.1
"DOM_20T21",14.9,0.4,1.9,0.1,15,5.1,6.1,13.8,0,166.3,49.6,9.5,20.8,17,3.8,16.2,7.8,12.7,0.5,6.3,10.6,34.3,24.7,12.9,10.7,1.6,2,2.7,2.1,2.1,19.9,4.8,3.9,17.4,6.1,0,239.5,0,222.8,7.9,7,0,22.1,2708.9,0,3731.7
