"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",5541.4,0,0.3,0.6,15723.4,1008,243.3,98.1,0,370.1,328.2,1.3,0,0.7,0,0,0,0,0.8,95,0,72.1,0,1.6,1057.4,1.3,0.5,1.6,4.4,12.7,31.8,0,76.1,46.1,44.6,0,10397.3,0,208.8,60.9,26.2,0,64.1,3754.5,0,39273
"DOM_05T06",0,518,0,22.7,10.8,6.3,0,13.3,5170.6,499.9,0,87.9,387.1,0,0,0,0,0,0,3.4,1672.8,0,0,3.7,0,1.6,3.4,0.4,0,26.7,7.9,0,0,23.6,0,0,0,0,0,0,-2.3,0,0,1270.9,0,9728.5
"DOM_07T08",5.2,2.2,10.2,0.6,1.8,0.9,0,3.7,0,70,2,195.5,138.6,2,0.9,1.1,2.5,0.8,0.8,15.9,0,112.2,0,1.7,0,0,0,0,0,4,0.4,0,0,0.1,0,0,2,0,0,0,0,0,0,231,0,806
"DOM_09",78.2,239.6,12.7,11.4,4.7,0,0.7,2.5,3,2.4,9.9,3.2,0.4,0.1,0,0,2.8,0.1,0,2.4,16,42.7,0.1,2,0,0,0,0,0,0,0.7,20,1.8,0.1,0.1,0,0,0,15.7,0,0.1,0,0,40.7,0,514.3
"DOM_10T12",3990.9,0,0,0.3,9222.4,350.6,0,51.6,15.3,419.7,28.9,18.7,0,0,0,2.3,0,0,0,37.2,0,0,765.9,46.8,5613.6,10.4,2.2,12.6,48.6,28.2,51,0,199.9,282.3,85.7,0,16058,0,139.6,0,37.8,0,89.8,12035.6,0,49646
"DOM_13T15",64.5,0,0,1.4,24.6,7242.5,0,47.4,0,92.9,274.7,35,2.4,0,47.4,23.9,26.1,277.1,45.1,639.7,9.5,63.9,471.7,59.6,99.3,14,4,3.4,39,7.3,35.9,0,35,112.7,192.6,0,5789,0,16.1,60.6,41.6,0,633.2,7106.3,0,23639.3
"DOM_16",9.4,0,0.4,0.1,5.7,4.9,204.6,19.5,0,8.4,13.1,13.4,0.4,7.4,6.1,4.8,6.8,23.3,7.3,314,0.4,200.1,27.8,0.1,4.3,1.8,0.4,0.5,0.8,25,2.9,0,0,0.6,14.4,0,190.9,0,0,17.4,-1.4,0,7.7,945.7,0,2088.9
"DOM_17T18",20.6,1.7,0.4,0.2,206.9,85.5,24.9,916.9,5.8,95.3,115.9,68.4,4.2,18.4,58.8,31.9,32.5,54.8,5.7,100.6,10.4,28.3,408.2,31.1,63.1,539.7,17.4,19.4,103.3,23.8,57.6,210.2,105.4,33.2,91,0,315.6,0,10.8,3.1,0.6,0,83.9,1113.4,0,5119.2
"DOM_19",1284,385.6,93.6,22.4,285.3,265.8,80.6,111.2,1423.4,1707,271.1,624,402.3,115.2,133,114.4,151.6,215.8,57.9,277.4,847,951.1,1936.6,6859.6,187.5,46.9,52.2,36,202.5,190.8,218.5,0,192.6,121.9,283.7,0,2248.2,0,33.1,0,57.6,0,334.4,5538.5,0,28360
"DOM_20T21",467.5,41.4,11.4,2.2,105.3,616.2,71.6,170.3,177.5,2180.1,2206,204.4,106,88.9,201.6,136.8,81.4,213.1,51.9,248.2,52.2,160.5,171.4,39.3,30.6,31.1,1.4,1.8,8.2,34,32.1,0,37.6,82,135.2,0,2093.4,0,20.9,0,5.7,0,0.4,8381.7,0,18700.8
"DOM_22",58,25.9,7.1,2,307.4,184.2,30.5,70.6,14.5,178.1,1482.9,96.2,29.2,77.2,339.1,217.9,217.4,829.5,82.6,344.6,17.6,470.4,508.2,207.5,43.9,11.1,16,4.7,16.2,25.3,27.9,0,18.6,27.8,62.8,0,766.1,0,2.7,41,30.1,0,0,7083.7,0,13976.7
"DOM_23",48.9,0,0,2.1,190.5,5.9,0,8.5,0,88.5,0,1503,54.8,73,272.6,93.3,82.7,249.9,35.2,116.4,8.9,3012.2,192.1,24,38.3,2.8,4.5,1.7,7.4,67.5,16.3,0,28.1,17.9,0,0,350.8,0,0.7,263,44.5,0,0,1655.7,0,8561.6
"DOM_24",0,0,0,3,2.4,0.5,0,2.4,0,2.2,37.3,40.7,419.3,568.8,104,207.1,429.7,502.5,124.3,269.6,0,491.2,37.6,5.1,0,0.5,0.5,0.1,0,1,1.6,0,0,0.4,7.8,0,0,0,0,2,10.6,0,0,3687.1,0,6959.3
"DOM_25",26.4,0,2.3,1.3,84.8,26.5,21.1,8.6,9.2,30.7,69.3,36,39.8,273.4,109.9,89.3,267.2,330.9,60.2,142.3,16.8,364.3,92,19.8,10.5,2.9,2.1,2,4.1,17.5,11.9,0,8.6,3.5,16.8,0,195.4,0,0.5,793.1,66.2,0,0,3340.2,0,6597.5
"DOM_26",2.9,7.2,0,0.7,5.2,9.8,0,10.7,0,13.1,30.4,11.2,0,19.2,3872.8,208.5,139.1,224.4,34.1,106.5,18.7,76.1,191.9,30.1,15.9,28.5,161,58.3,50.4,7.8,40.8,0,39.4,65.8,150.3,0,252.4,0,80.1,1256.9,226.8,0,0.7,20369.1,0,27816.6
"DOM_27",3.6,4.3,0.4,0.2,3.4,0,1.2,0.3,0,0,0,5,3.9,11.2,193.5,288.7,83,143.3,20.3,32,24.7,121.1,52,13.3,5.2,1.9,12.8,3.1,3.1,7.3,5.8,0,5.3,3.1,27.3,0,225.8,0,0.8,904.6,79,0,48.2,5582.6,0,7921.3
"DOM_28",39.7,59.3,7.1,3.2,14.7,28.4,7,13.6,8.2,15.5,34.4,28.9,21.1,30.4,55.5,39,383,229.9,54.6,57.2,19,103.6,81.4,25.6,1.2,2.8,3.2,2,0,5.9,9.9,0,7.3,3.1,16.4,0,13.9,0,5.5,3832.4,268,0,0,3667.3,0,9199.4
"DOM_29",0,0,0,0.6,0,0,0,0.6,0,0,0,0,0,0,17.5,31.3,73.4,4093.6,25,16.3,0,0,480.2,197.3,0,2.3,2.9,1.5,0,6.1,17,0,0,3,0,0,1473.1,0,11.2,6119,550,0,0.3,7473,0,20595.2
"DOM_30",1.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1,0,0,0,1.5,13.1,0,0,0,0,0,0.1,0.9,0,0,0,0,0,12.1,0,2.9,1332.3,21.2,0,0,1561.7,0,3000.2
"DOM_31T33",62.4,31.6,2.4,1.7,45.8,132.5,18.2,26.1,10.3,41.4,48.1,45.4,49.2,34.4,136.2,56.1,96.4,215.9,17.6,1053.9,55.4,221.2,271.6,118.2,44,24.7,22.4,9.9,60.5,97,52.1,94.4,132.3,275.1,109.9,0,1791.1,0,82.7,1862.9,151,0,381.4,4609,0,12592.4
"DOM_35T39",324.5,354.6,29.9,8.8,387,478.3,95,303,164.5,653.2,494.8,567.3,467.5,157.9,260.6,124.8,218.9,345.2,64.1,237,2099.9,178.1,1355.8,375.2,448.2,69.8,90.4,32.3,186.2,613.5,125.9,2020.7,525.4,263,539.8,0,1312.5,0,342.8,0,7.4,0,0,29.2,0,16352.7
"DOM_41T43",8.6,4.7,0.7,0.3,1.9,3.4,1.2,1.8,1.9,4.7,4.4,5.1,1.8,3.1,4.6,2.3,3.7,4.9,0.8,6.7,12.9,226.2,48.2,16,7.5,1.8,5.7,1,11.1,95.7,7.7,0,15,6.7,4.9,0,32,0,23.7,16967.8,0,0,0,0,0,17550.6
"DOM_45T47",2285.2,215.4,28.8,13.6,5893,2959.8,139.8,353.1,1313.8,1444.4,1253.8,609.8,392.9,386.3,2689.5,581.1,640.2,1725.7,221.6,1141.8,594.4,1385.4,5855.1,1569.8,1905.7,509.1,247,152.3,239.1,175.8,332.8,294.2,253.6,347,708.8,0,12581.3,0.3,160.8,4343.6,474.9,0,499.6,16630.8,0,73551.1
"DOM_49T53",244.1,230.7,38.6,6.2,673.4,372,73.8,132.9,247.5,296.8,277.4,301.6,112.9,109.9,339.5,123.1,180.1,357.5,41.5,260.6,125.1,299.8,2462.6,2285.8,174.3,142.9,63.7,48.3,272.5,63.7,399.9,174.5,185.3,85.7,196.4,0,5613,0,399.2,291,92,0,2191.5,7548,0,27535.5
"DOM_55T56",45.1,36.2,3.4,4.5,94.2,92.1,22.3,35.5,10,86.7,102.5,60.4,16.2,54.9,79.8,41.7,82.8,109.1,42.6,107.8,79.7,190.1,955,523.9,256.6,103.1,29.8,91.2,397.8,296.8,550.4,0,373.6,369.9,220.6,0,9849.4,0,491.4,0,0,0,2220.3,0,0,18127.4
"DOM_58T60",3.2,1.2,0.1,0,34.9,8.2,1.4,26.6,5.4,9.3,7.5,5.1,0.3,3.6,32.4,4.1,7.1,10.7,1,11.5,7.2,8.6,256.2,18.4,11.7,868,151.1,45.3,79,31,124.7,196.4,119.1,22,78,0,929.2,0.3,8.5,1549.1,2.1,0,42.1,151,0,4872.2
"DOM_61",9.4,2.8,0.8,0.3,9,15,2.1,3.7,2.6,8,10.2,6.7,2.1,5.9,18.4,5.3,10.6,13.5,3.5,12.2,10.7,15.7,138.6,37.8,16.2,30.2,275.3,19.6,76.9,18.3,29.8,266.8,20.3,15.3,56.3,0,1824.5,0,7.2,22.6,-0.1,0,562.1,338.2,0,3924
"DOM_62T63",0.4,1.5,0.1,0,2.2,2.2,0.3,1,0.7,2.7,1.9,1.2,0.6,1,6.5,1.6,2.1,3.6,0.6,2.6,2.7,3.1,24.6,7.7,2.3,7.4,6.8,16.6,24.7,3.8,7.6,54.9,4.2,2.8,13.7,0,474.2,0,0.8,923.5,0,0,0.6,15.7,0,1630.4
"DOM_64T66",340.6,200.2,17.9,11.6,227.9,290.9,56.5,113,83.5,230,246.7,158.9,168.2,127.5,276.5,119.4,193.3,338.9,83.1,281.7,209.5,473.4,2053.8,556.3,186.7,181.7,184.1,128.7,3351.7,2574.6,533.3,0,209.2,382.3,302.2,0,1996.1,0,83.9,0,1.1,0,51.7,150.3,0,17176.9
"DOM_68",23.9,22.4,1.1,0.2,41.7,73.7,8.5,18,8.1,24.3,51.1,22,5.8,25.4,47,20,28.5,78,13.3,62.6,33.1,112.3,1626.4,127.7,226,55.5,63.5,35,195,281.8,117.6,792.6,161.7,91.2,318,0,7009.9,0,96.2,241.9,0.5,0,522.4,121.3,0,12805.3
"DOM_69T82",10.6,13.9,0.6,1.2,23.1,27.3,3.2,7.5,2.9,17.3,16.7,26.8,2.3,8.8,40.1,9.7,14.2,25.7,6.4,32.6,12.6,33.2,254.4,590.1,20.3,32.8,26.7,22.7,38.2,47.3,312.3,96.9,15.5,22.9,38.7,0,1012.9,0.4,32.1,147.5,22.5,0,238,4406.8,0,7715.8
"DOM_84",0,0,0,0.2,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0.6,0,4.2,6.8,3.2,0,37.1,17,355.9,0,11.9,0,0,322.9,0,15565.8,0,0,0,0,0,0,16328.9
"DOM_85",0,0,0,0.1,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1.4,0,7.6,9.8,11.6,0,9,27.9,0,208.4,25.4,0,0,1030.6,0,9564.1,0,0,0,1.1,0,0,10901.4
"DOM_86T88",53.8,5.1,0.3,0,85.4,8.3,10.6,18.5,8.1,101,53.3,26.1,6,23.9,46.1,25.6,35.3,64.3,5.5,73.8,44.9,58,447,239.5,49.9,48,36.3,33.4,305.4,47.1,116.6,214.7,14.9,431,366.1,0,2153.7,1997.7,0,306.3,0,0,355.7,0,0,7917.3
"DOM_90T96",55.7,11.4,1,2.4,71.1,61.5,5.6,14.9,12.3,32.1,37.7,33,67.5,17.5,77.6,22.4,31.4,72.6,18.7,69.7,26.8,48.2,310,165,154.8,148.3,74.3,62.5,153,75.9,147.7,0,54.1,200.9,1555.8,0,5333.9,0,983.1,0,0,0,897.2,41.2,0,11148.9
"DOM_97T98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.8,0,0,0,0,0,0,0,0,244.8
"IMP_01T03",211.2,0.2,0.1,0,583.4,39.6,22.9,7.7,0.2,15.7,14.8,0.5,0.2,0.3,0.5,0.3,0.3,0.7,0.2,5.9,0.1,4.1,2.4,1.4,40.8,0.2,0.1,0.1,0.3,0.7,1.5,0.3,3.3,2,2.1,0,397,0,8.5,3.5,0.7,23.6,0,0,1397.2,0
"IMP_05T06",3.5,1076.5,0.8,49.9,3.1,1.9,0.1,6.7,13132,1154.8,1,26.7,93.3,0.2,0.3,0.2,0.7,0.5,0.1,8.2,3097,5.4,1.7,12.2,0.1,4.2,8.9,0.9,0.1,69.2,19,0.9,0.2,51.6,0.2,0,4.2,0,0.9,3.4,0.2,1.3,0,0,18842.3,0
"IMP_07T08",5.6,2.7,10.7,0.6,2.2,1,0,4.3,0.1,73.3,3.3,202.8,201.8,14.3,9.9,20.8,14.8,11,2.8,28.5,0.1,119.4,0.8,2.1,0.1,0,0.1,0,0.1,4.2,0.6,0.1,0.1,0.1,0.7,0,3.9,0,0.2,0.9,0.1,0.2,0,0,744.4,0
"IMP_09",3.9,12.1,0.6,0.6,0.3,0,0,0.1,0.3,0.2,0.5,0.2,0,0,0.1,0,0.2,0.1,0,0.2,0.9,2.2,0,0.1,0,0,0,0,0,0,0,1,0.1,0,0,0,0.1,0,0.8,0.3,0,0,0,0,25.1,0
"IMP_10T12",373.9,0.5,0.1,0.1,731.6,37.4,0.5,6.1,2.9,51.1,16.1,3.4,1.5,1.6,4.4,2.4,2.2,3.5,0.7,6.4,0.6,2.8,72.9,4.2,345.9,1.2,0.4,0.5,1.2,2.7,3.9,1.2,19.2,25.1,9.1,0,994.1,0,14.8,8.6,0.6,111.9,0,0,2867.2,0
"IMP_13T15",13.4,0.4,0.1,0.1,5.5,976.6,0.6,8.5,1.2,25.5,55.1,6.3,2.8,3.3,10.8,5.7,6.5,45.3,5.1,98,1,14.8,51.7,4.6,11.3,1.3,0.4,0.4,2.8,0.8,2.5,0.1,3.7,7.3,21,0,361.7,0,1.1,16.5,2.3,70.4,0,0,1846.2,0
"IMP_16",3.7,0.1,0.2,0.1,2.6,2.9,76.7,7.7,0.1,3.8,6,5.2,0.5,3.3,4.2,2.3,3.3,10.1,2.9,118.6,0.3,75,11.6,0.4,1.8,1,0.2,0.2,0.5,9.4,1.3,0.1,0.5,1.2,5.8,0,84.1,0,0.5,11.9,0.9,3.9,0,0,465.1,0
"IMP_17T18",7.8,0.3,0,0.1,71.5,30,9,297.6,1.7,32.6,42,23.3,1.9,6.6,26.6,11.9,11.8,19.9,1.9,37.5,2.6,10.2,94.2,7.6,20,84.8,2.6,4.3,21.2,5.5,12.7,7.5,20.6,10,10.8,0,72,0,4.7,9.9,1.2,10.9,0,0,1047.1,0
"IMP_19",95,26.2,6.3,1.5,22,33.5,7.3,11.9,98.8,167.7,76.9,46,29.7,11,16.4,12.3,13.4,21.7,5.4,25.8,57,67.6,129.7,427.2,13.1,4.6,3.6,2.5,13.4,13.4,15.1,0.3,13.6,10.1,22.1,0,300.3,0,3.6,3,0.3,30.8,0,0,1860.1,0
"IMP_20T21",435.5,39.1,10.6,2.1,105.2,570.3,67.3,157.3,163.9,1994.6,2021.7,191.1,101.7,87.8,205.6,131.4,83.4,207,49.6,237.3,49.9,163.2,165.4,40.1,32.2,32.5,2.4,2.5,8.5,32.4,31,1.2,36.2,76,126.8,0,1361.9,0,22.9,38.1,3.8,25.4,0,0,9114.9,0
"IMP_22",19.8,8.4,2.2,0.6,95.9,64.4,10.2,23.8,5.3,61.6,464.3,31.8,11.4,27.2,114.4,70.8,72.1,262.2,26.6,112.4,6,152.5,158.5,62.6,14.1,4.1,5.5,1.7,5.4,8.3,9.2,0.2,6.5,9.7,20.8,0,295.9,0,1.8,39.8,4,1,0,0,2293.2,0
