"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",874.4,2,1.4,0.6,1570.7,123.5,76.5,46.7,0.9,51.4,12.2,1,2.4,0.7,0.6,2.1,0.9,0.7,0.3,13.3,3,19,57.2,4.8,198.4,1.4,0.2,0.1,0.5,1.3,4.8,97.8,6.7,53.6,10.4,0,2675.6,0.2,19.8,107.8,34.9,0,6.2,506.6,0,6592.6
"DOM_05T06",9.1,202.3,1,25,7.9,3.3,0.3,5.4,616.4,103.8,3.7,11.9,14.7,1,0.8,3.7,1.5,5.1,0.6,1.3,122.8,3.8,9.5,14.2,15.5,0.7,2,0,0.7,2.1,1.5,16.4,2.5,47.7,11.1,0,51.3,0,0.2,20.7,-0.8,0,0,1637.5,0,2978.3
"DOM_07T08",9,6.5,59.2,4.2,1.9,2.4,0.2,4.4,1.5,85.3,0.6,170.3,53.8,1.9,1,3.6,2.2,0.5,0.5,7.7,4,170.6,3.4,2.5,0.1,0,0.1,0,0.1,3.2,0.5,22.8,0.2,0.7,1,0,6.7,0,0,2.9,0.9,0,0,55.7,0,692
"DOM_09",31.1,236.5,26.9,31,1.7,0,0.1,1.2,0.7,1.1,1.1,1.1,0.2,0,0,0,0.9,0,0,0.5,4.8,24.3,0,1,0,0,0,0,0,0,0.2,10.2,0.5,0.1,0,0,0,0,4.4,0,0,0,0,1.9,0,381.8
"DOM_10T12",593,0.1,0.3,0.2,753.9,58,0.7,6.4,1.1,54.3,1.1,1.8,0.3,0.3,0.6,1,0.5,0.4,0.3,2.2,3.7,6.6,41.2,4.8,796.7,2.3,0.6,0.2,1.4,1.3,4,229.2,15.7,335.2,46.8,0,1001.6,0.6,10.7,0.1,3.9,0,26.5,899.3,0,4908.7
"DOM_13T15",8.5,3.7,0.9,0.8,3.2,1039.1,1.4,5.9,0.3,10.7,8,2.9,0.4,1.3,4.8,6.4,2.3,16.5,2.1,34.6,2.6,11.1,21.6,6.5,11.1,2.9,1,0.2,2.4,0.3,2.9,71.9,2.6,124.7,14.1,0,1399.3,0.1,1.3,6,5.6,0,16.2,2496.2,0,5354.3
"DOM_16",4.5,2,0.9,0.3,1.8,2.9,37.8,7.6,0.2,3.4,1.3,3.9,0.3,1.9,2.2,4.5,1.8,4.7,1.5,56.7,1.6,97.9,5.2,1.6,2.3,1,0.4,0.1,0.2,7.5,1.1,6.2,0.9,2.1,3.5,0,31.8,0,0,13.2,2.6,0,0.7,26.8,0,346.5
"DOM_17T18",0,0,0,0,0.3,0.2,0,1.7,0,0.2,0,0.1,0,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.4,0,0,0.1,0,0.1,0.6,0.1,0.6,0.1,0,168.1,0,0,78.8,0,0,2.3,261,0,515.7
"DOM_19",57.6,26.8,15.5,5.3,8.8,11.1,1.5,4.9,30.8,70.3,2.7,18.3,16.6,2.9,4.8,10.9,4.1,4.4,1,4.9,21.5,46.8,33.2,198.5,10,2.3,5.6,0.9,5.1,3.4,7,104.3,4.6,54.2,9.1,0,415.1,0,0.8,72.7,22.7,0,3.5,733.7,0,2058.1
"DOM_20T21",25.6,4.3,2,0.6,4.1,23.4,1.4,8.4,4.1,100.5,23.9,6.4,4.7,2.4,7.8,14.1,2.4,4.7,1,4.8,2,8.5,3.2,1.5,1.4,1.3,0.2,0,0.3,1.1,1.2,10.8,1.1,152.2,3.5,0,406.6,0,12.7,1.9,8.8,0,4.5,1394.2,0,2263.6
