"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",8066.7,3.9,18.4,0.5,18524.5,2347.2,612.9,189.6,74.9,332.1,83.9,24.5,53.6,11.7,2.8,16.3,19,24.6,1.6,30.7,28.7,350.9,1027.7,71.2,1660.9,3.8,2.6,0.7,2.3,11.1,144.5,123.7,34.7,89.4,58.6,0,41101.5,0,4.7,132.6,855.9,0,359.2,4074.6,0,80578.8
"DOM_05T06",7.8,35.1,3.1,0.7,3.7,4.7,0.8,3.9,127.3,11.1,1,39.4,435,0.3,0,0.2,4.3,0.8,0,0.2,806.3,10,7.4,2.8,0.8,0.1,0.1,0.1,0.3,0.5,0.9,1.9,1.2,0.9,1.5,0,1282.6,0,0,13.6,-5.3,0,0.4,1459.7,0,4265.1
"DOM_07T08",28.5,7.5,187.7,1.3,11.7,9.6,2,15.3,230.1,164.5,7,1050.8,2548.7,73,1.4,23,20.2,6.4,0.8,57.1,71.7,1353.5,36.3,6.8,3.7,0.7,2,0.2,0.5,8.9,11.7,9.8,0.8,8.9,2,0,38.5,0,0,59,9.7,0,2.3,1605.2,0,7679
"DOM_09",26.3,44.5,39.1,4.8,3.7,0,0.5,1.8,6.5,1,4.8,3.3,0.7,0.1,0,0,2.4,0.1,0,1.5,47.4,95.1,0.1,2.4,0,0,0,0,0,0,1.4,1.9,0.4,0,0,0,0,0,0.1,0,0,0,0,1.3,0,291.4
"DOM_10T12",5915.2,2.6,13.8,0.3,9335.1,342.4,21.2,76.1,75,273.8,61.9,47.6,36.2,19.9,4,20.2,17.7,28.5,3,59.5,151.5,220.9,930.7,129.1,6203.1,9.3,6.6,3.5,7.3,13,164.7,286.7,83.6,233.2,339.8,0,32078.9,0,2.4,115,95.2,0,957.1,5222,0,63607.8
"DOM_13T15",103,7.3,26.4,1.1,109.2,16533.7,53.1,94.2,36.2,101.4,327.8,93,43.6,60.9,18.8,69.4,66.2,538,17.3,972.3,52.9,453.4,676.6,194.8,109,11.2,7.7,1.8,6.3,6.2,102.1,115.9,20.2,111.4,155.6,0,20368.7,0,0.8,678.1,3567.6,0,632.2,15753.9,0,62299.2
"DOM_16",27.8,1.5,11.5,0.2,15.9,29.5,600.4,63.3,10.1,20.7,32.2,56.3,10.7,37.4,4.1,27.1,24.6,76.2,4.7,733.5,4.9,1686.6,83.6,24.9,13.5,3.1,1.4,1.3,0.7,41.7,22.8,6.6,3.7,4.7,10.3,0,622.1,0,0,25,38.8,0,38.1,473.2,0,4894.9
"DOM_17T18",74.2,6,25.9,0.3,408.1,326.6,66.8,2203.8,49.9,122.9,207.6,233.1,44.5,78.2,28.4,142,94.5,155.3,4.1,225.2,111.1,239.4,810,169.9,123.8,312.9,25.9,34.2,56.1,19.3,355.8,131.4,72.3,59.7,99.3,0,3267.5,0,0.8,70.8,35.3,0,114.3,951.8,0,11559.3
"DOM_19",455.3,54.9,149.5,4.6,96.8,164,31.3,42.4,1457.6,343.6,78.4,311.3,471.8,70.6,9.8,75.7,65.3,102.4,7.6,68.6,1277.6,1032.4,622.5,4094.6,62.3,6.2,12.7,9.2,18.6,22.9,121.3,112.1,21.3,34.1,62.8,0,4548.8,0,0.3,51.5,56,0,166.7,1995.6,0,18390.9
"DOM_20T21",1018.7,49.1,86.2,2,273,1667.8,130.9,312.1,782.6,1872,2189.8,448.1,536.3,241.2,64.5,392.7,167.7,420.9,21,381.6,317.9,890.4,365.8,206.3,70.8,19.9,6.7,5,6.8,34,161.7,109.5,29.8,1013.2,125.3,0,1910.3,0,41.9,179.5,859,0,124.8,3485.6,0,21022.1
