"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",1029.2,0.2,0.2,0.1,4839,87,22,1.1,0,28.4,18.6,0.1,5.5,0,0.4,0,0.3,0.1,0.5,7.3,0.1,17.6,95.7,0,385.6,0.9,0,0,0,1.8,15.8,29,4,0,13.9,0,10590.8,0,0,85.6,13.4,0,116.1,781.5,0,18191.6
"DOM_05T06",9.6,6.7,0.3,2.8,25.3,4.1,0.4,8.7,650.6,349.6,12.2,21.4,135.7,5.5,7.5,3.1,6.6,9.6,4.3,3.7,156.8,4.1,15.7,8.8,22,0.6,1.1,0.1,1.8,6.7,4.5,7.3,6.5,6.8,14.6,0,25.2,0,0.8,12.8,-4.6,0,0,0.6,0,1559.8
"DOM_07T08",8.9,0.2,15.8,0.4,4.8,1.4,0.2,5.3,1,208.6,1.4,220.5,364,6.9,6.6,2.2,7,0.7,2.3,16.6,4.4,168.3,5.1,2,0.1,0,0,0,0.1,11.7,1.4,9.3,0.5,0.1,1.9,0,21.4,0,0,10.3,2.3,0,0,130.5,0,1244.2
"DOM_09",168.3,35.2,34.6,15.1,21.4,0,0.6,6.5,2.7,13,13,6.7,8,0.6,0,0,13.7,0.1,0.1,5.3,25.5,114.4,0.2,3.6,0,0,0,0,0.2,0,3.6,19.9,5.6,0.1,0.2,0,0,0,52.4,0,0.4,0,0,77.4,0,648.4
"DOM_10T12",943.8,0,0.1,0,2989,44.3,2,1.7,0,26.9,5,0.1,2.7,0,0,0,0.2,0,6.4,0.6,0.1,0,222.7,0.5,1745.4,5.6,0,0,0,9.4,28.1,102.2,20.1,0,300.4,0,19697.5,0,0,0,13.3,0,530.6,2132.4,0,28831.3
"DOM_13T15",55.1,0.4,1,0.1,21.9,3056.9,0.6,39.1,0.2,86.8,144.9,32.7,9.4,26.2,147.1,10.6,26.5,94,38.1,406.5,0.1,11.9,141.6,4.2,76.9,3.3,0.1,0,0,0.2,14.2,18.8,6.4,5.1,69.5,0,2413,0,0,21.8,59.6,0,310.8,9553.4,0,16908.7
"DOM_16",8.3,0.4,0.8,0.1,4.8,2,168.8,32.5,0,1.3,1.6,5.1,5.4,11,3.1,3.2,7.6,6,22.5,387.9,0.3,272,25.7,0.5,3.4,2.6,0,0,0,0.1,8.7,2.7,4.1,0.1,16.8,0,40.4,0,0,0,0.8,0,12.1,184,0,1246.7
"DOM_17T18",26.2,0.6,5.1,0.2,592.3,72.2,15.8,2202.7,0.9,177.5,55.3,98.5,51.4,83.1,358.2,50,55.7,29.1,22.3,149.1,4,60.4,582.3,42,331.1,922.6,40.4,19.3,638.5,18.3,252.5,715.9,277.5,102,269.3,0,795.6,0,0,0,8.4,0,46.3,1781.9,0,10954.5
"DOM_19",1289.3,25.4,109.9,14,786.4,543.3,56.5,406.3,747.2,9742.2,268.2,1105.1,2877.1,510.5,1057.6,174.7,471.9,161.9,164.7,265.1,892.3,1068.3,1393.3,7569.9,344.7,48.8,27.5,16.8,87.6,192.1,457.4,739,62.8,206.8,355.9,0,2727.4,0,0,0,219.8,0,124.2,14882.2,0,52194.4
"DOM_20T21",1159.5,11.4,35.4,3.7,475.2,3077.4,88.9,957.8,66.3,26322.2,5518.4,859,2110.8,1171.6,9685,483.3,298.1,517.4,333.1,674.5,208.2,1167.3,348.9,15.9,302.9,73.1,0.2,0.1,18.8,4.8,220.8,160,290.2,1063.8,371.6,0,2815.1,0,741.3,229.1,186.3,0,107.1,35525.6,0,97700.2
