"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",69983.4,118.9,27.8,13.8,222790.2,2912.1,8290.1,3889.9,14.5,5203.4,220.5,19.7,156.3,36.7,2.6,3.4,21.9,15.4,14.7,883.3,118.8,1592.5,4159,58,1934.4,22.2,12.3,68,55.1,292.4,3858.6,2713.4,688.7,1666.6,1311.1,0,100895.3,2147,73.3,682.7,4.9,0,1845.1,59773.6,0,498591.9
"DOM_05T06",3172.5,39473.7,6433.3,10820.6,9161.5,75.3,73,493.8,253277.9,21710.9,158,753.7,10650.8,98.4,18.6,31.9,214.9,62.1,341.9,232.6,34340.8,1017.1,695.6,5982.7,249.3,80.4,322.1,102.4,327.3,226.4,6154.4,14973.7,402.4,2243.3,2579.5,0,10030.7,115.5,9.1,7664.9,333.5,0,68.8,28120.9,0,473295.6
"DOM_07T08",592.1,2274.6,884.5,879.2,730.9,34.3,32,433.2,1663.6,6993.7,141.7,5768.4,17518.1,921.1,46.8,86,222.1,67,40.3,579.9,456.3,8564.5,605.9,305.9,52.4,6.4,8.1,7.6,11.3,1376.2,606.5,1225.8,33.9,135.5,177.7,0,992.6,0.2,5.5,9552.5,-14.7,0,3.6,7687.7,0,71710.4
"DOM_09",3718.8,47439.8,9955.4,16579.5,10986.8,4.4,8.9,19,728.7,4871.9,22.4,9.6,1265.2,86.6,15.6,17.1,61.5,79.6,128.9,18.2,587.6,143.8,37.3,36,25.7,5.9,10.8,9.9,7.8,81.7,6139.3,112.8,5.8,21.6,162.4,0,238.5,0.5,0.2,10321,17,0,1,2597.4,0,116581.8
"DOM_10T12",31829.9,51.4,19.8,21.7,100939.8,630.4,240.2,1818.8,529.7,9337,1743.4,230.8,294.6,359.7,197,151.4,377.2,613,368.2,483.1,455.1,1130.4,12873.6,785.1,90048.5,355.3,142.4,181.9,456.7,1203.9,3677.7,14444.3,2574.1,18572.7,5701.7,0,549579.4,8762.4,324.2,780.7,235.8,0,7090.2,66613.5,0,936226.5
"DOM_13T15",184.9,26.6,11.2,9.3,347.4,6489.4,251.4,1171.5,41.5,1248.5,1022.5,140.1,56.9,74.3,56.6,31.5,355.1,1479,376.2,2129.1,105.3,648.4,2658.7,367,441,86.1,41.1,68.9,110.3,103.6,923.2,1646.3,129.7,1901,921.9,0,54695.7,199.8,15.6,297.8,57.6,0,1285.4,9057.8,0,91265.1
"DOM_16",563.8,160.3,65.1,29.3,705.7,101.5,16795.3,4089.9,4.1,1075.4,1146.4,265.1,145.8,436.8,155.5,218.3,690.8,2037.7,654.7,13550.6,546.6,19337.9,2961.1,580.9,2855.1,255.4,108,175.9,105.3,3768.3,3598.5,2594.7,205.4,729.5,1578.7,0,5617.4,0.7,0.7,486.4,-9.8,0,194.7,6797.6,0,95381.3
"DOM_17T18",701.2,74.8,63.7,34.9,11484.3,1794.8,571.1,39435.4,91.2,6010.7,5256,1126.8,863.3,2661.1,645.6,870.8,1938.9,3336.9,1242.5,2468.1,1632.9,3461.8,12729.8,2943.7,6323.1,10277.5,2230.6,3177.7,5066.9,676.3,16481.5,12430.5,2547.3,9103.8,5790.7,0,57960.7,44.8,13.2,1868.5,207.1,0,1097.6,30754.2,0,267492.3
"DOM_19",17945.1,884.4,841.5,967,5338.1,454,906.4,5390.3,7679,30877.3,1986.7,1208.9,7298.6,1454.4,242.4,1055.5,1781.5,852.2,2813.3,1551.2,10317.2,36208.5,7924.5,112376.5,3761.4,704.9,1978.6,1912,3293.7,4695.9,14833.3,100811.9,3030.5,9530.4,5790.7,0,220403.2,2.3,38.7,426.2,741.3,0,2836.8,122580.1,0,755726.5
"DOM_20T21",16756.3,999.5,351.6,321,6809.9,5590.1,2467.4,9801.7,8761.7,105622.6,36578.6,3082.6,6743.7,6796.9,3650,2667.5,4966.7,8008.1,4590.5,4798.7,2154.7,10338.5,10093.9,4103.6,2705.6,2139.6,1035.8,681.3,861.8,5969.2,12001.7,10816.2,2552.3,58465.1,7055.5,0,293231.4,73.3,3133.6,7387.8,1056,0,1811.2,145272,0,822305
