"","D01T03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20T21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35T39","D41T43","D45T47","D49T53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T82","D84","D85","D86T88","D90T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T03",6790.1,0.6,1.4,0,16610.9,533.4,428.3,65.2,0.8,84.5,68.7,1.9,0.3,0.6,0.3,0.4,0.1,0.1,0.1,41.2,0.2,31.6,159.4,2,535.1,0,0,0.3,1.5,3,10.3,18.2,16.6,1,2.1,0,14869.6,0,0,886,396.8,0,39.7,5453.2,0,47055.4
"DOM_05T06",100,1244.5,13.7,17.3,68.1,18.3,1.7,25.8,3222.2,122.3,13.8,92.9,464.8,4.7,1.3,1.9,1.2,4,1,10.2,1031.6,12.4,21.1,11.2,14.4,0,0,0,0,2.1,0.6,0,3.1,2.3,6.8,0,721.4,0,0,0,19.2,0,0,9831.2,0,17107.3
"DOM_07T08",115,0.1,226,0,30,0,0,22.8,0.1,238.1,6.1,710.6,561.3,38.9,0,0,0,0,0,84.9,11.3,689.8,16.7,6,0,0,0,0,0,13.8,0,0,0,0,1,0,20.6,0,0,0.1,2.6,0,0,441.9,0,3237.9
"DOM_09",329.9,76.3,40.8,38.8,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,47.6,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,539.1
"DOM_10T12",4708.8,3.1,0.3,0,8185.5,1.6,1.1,22.2,11.8,97.6,7.1,5.8,0.3,1.9,1.3,0.8,0.5,0.7,0.4,14.8,1.5,6.5,198.2,5.1,2487.4,0.5,3.6,0.7,12.1,6.4,7.6,14.7,53.7,39.4,6.8,0,14251,0,1.5,2,47.3,0,174.3,14814.8,0,45201
"DOM_13T15",193.4,66.8,8,0,35.2,5309.3,24.8,27.5,5.3,18.6,71.9,13,1.6,10.8,13.2,12.2,3.7,40.2,13.4,251.2,11.7,52.2,120.6,43.7,46.7,7.6,8,0,27.9,2.2,14.3,47,17.5,46,50.1,0,2656.8,0,0,0,92.4,0,106.1,21853.8,0,31325
"DOM_16",74.6,0,3.4,0,20.6,31.9,1043.5,47.8,0,11.6,16.6,19.9,0.8,15.7,7.3,10.2,7,0,8,680.7,0,483.9,28.4,7.5,9.3,0,1.6,0,1.4,41.7,3.6,2.8,4.9,0,6.7,0,141.5,0,0,0.1,1.1,0,5.2,1340,0,4079.5
"DOM_17T18",111.6,25.9,7.1,0.7,552.8,207.3,67,1235.1,0.2,71.7,83.7,53.8,4.3,22,40.6,37.7,15.4,23.6,7.1,117,23.7,44.3,259.1,45.6,66.8,146.7,59.1,16.5,147.6,14.8,130.6,61.3,101.2,19.5,65.7,0,162,0,0.1,3.8,2.2,0,11.9,411.9,0,4478.9
"DOM_19",1529.7,534.7,149.5,25,241.4,131.1,62.1,42.2,977.6,360.1,51.8,139.9,112.5,36.7,24,36.8,23.6,23.3,24.5,88.2,271,347.3,283.2,1372.1,62.3,4.9,33.7,6.8,62.9,25.3,62.1,71.4,39.5,17.4,41.6,0,190.5,0,0,0,22.4,0,21.3,2023.5,0,9573.9
"DOM_20T21",1064.5,181.3,36.5,4.6,220.6,628.9,109.8,125.1,236.1,1080.6,829.6,89.8,56.5,55.7,70.4,85.1,24.5,44.5,23.3,160.5,27.7,115,59.9,14.7,12.3,4.7,1.8,0.6,6.2,16.4,33.6,30.4,23.7,319,33.5,0,492.6,0,0,0,11.8,0,18.5,2334.6,0,8685.3
"DOM_22",210.8,106.1,36.3,0,615.3,528.5,70.5,80.5,30,111.6,849.2,64.7,24.1,73.8,183.4,209.9,101.4,268.2,73.4,335.7,21.8,513.7,201.8,103.3,52.8,3.6,31,2.7,11.7,16.4,34,14.5,11.5,12.6,15.4,0,163.2,0,0,0,7.5,0,0,2285.1,0,7475.7
